filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
03201-4000-1.zip,盛岡市,03201,繋土地改良,任意座標系,ver1.0,,,,,8
03201-4000-10.zip,盛岡市,03201,上堂３丁目区画整理,任意座標系,ver1.0,,,,,7
03201-4000-100.zip,盛岡市,03201,盛岡市上米内字道ノ下,任意座標系,ver1.0,,,,,25
03201-4000-101.zip,盛岡市,03201,盛岡市上米内字白石,任意座標系,ver1.0,,,,,24
03201-4000-102.zip,盛岡市,03201,盛岡市上米内字白石外Ａ,任意座標系,ver1.0,,,,,24
03201-4000-103.zip,盛岡市,03201,盛岡市上米内字白石外Ｂ,任意座標系,ver1.0,,,,,23
03201-4000-104.zip,盛岡市,03201,盛岡市上米内字白石外Ｃ,任意座標系,ver1.0,,,,,40
03201-4000-105.zip,盛岡市,03201,盛岡市上米内字畑Ａ,任意座標系,ver1.0,,,,,14
03201-4000-106.zip,盛岡市,03201,盛岡市上米内字畑Ｂ,任意座標系,ver1.0,,,,,34
03201-4000-107.zip,盛岡市,03201,盛岡市上米内字畑井野Ａ,任意座標系,ver1.0,,,,,21
03201-4000-108.zip,盛岡市,03201,盛岡市上米内字畑井野Ｂ,任意座標系,ver1.0,,,,,23
03201-4000-109.zip,盛岡市,03201,盛岡市上米内字米内沢Ａ,任意座標系,ver1.0,,,,,14
03201-4000-11.zip,盛岡市,03201,新城八木田土地改良,任意座標系,ver1.0,,,,,11
03201-4000-110.zip,盛岡市,03201,盛岡市上米内字米内沢Ｂ,任意座標系,ver1.0,,,,,41
03201-4000-111.zip,盛岡市,03201,盛岡市上米内字明通,任意座標系,ver1.0,,,,,15
03201-4000-112.zip,盛岡市,03201,盛岡市新庄,任意座標系,ver1.0,,,,,24
03201-4000-113.zip,盛岡市,03201,盛岡市新庄字貝田Ａ,任意座標系,ver1.0,,,,,19
03201-4000-114.zip,盛岡市,03201,盛岡市新庄字貝田Ｂ,任意座標系,ver1.0,,,,,22
03201-4000-115.zip,盛岡市,03201,盛岡市新庄字貝田Ｃ,任意座標系,ver1.0,,,,,22
03201-4000-116.zip,盛岡市,03201,盛岡市新庄字岩山・中津川,任意座標系,ver1.0,,,,,17
03201-4000-117.zip,盛岡市,03201,盛岡市新庄字小貝沢,任意座標系,ver1.0,,,,,25
03201-4000-118.zip,盛岡市,03201,盛岡市新庄字小貝沢（和紙）,任意座標系,ver1.0,,,,,25
03201-4000-119.zip,盛岡市,03201,盛岡市新庄町,任意座標系,ver1.0,,,,,1
03201-4000-12.zip,盛岡市,03201,神子田第一土地区画整理事業,任意座標系,ver1.0,,,,,4
03201-4000-120.zip,盛岡市,03201,盛岡市新庄八木田・上八木田,任意座標系,ver1.0,,,,,24
03201-4000-121.zip,盛岡市,03201,盛岡市神明町,任意座標系,ver1.0,,,,,3
03201-4000-122.zip,盛岡市,03201,盛岡市厨川１丁目,任意座標系,ver1.0,,,,,4
03201-4000-123.zip,盛岡市,03201,盛岡市清水町外,任意座標系,ver1.0,,,,,16
03201-4000-124.zip,盛岡市,03201,盛岡市西青山３丁目,任意座標系,ver1.0,,,,,1
03201-4000-125.zip,盛岡市,03201,盛岡市青山４丁目,任意座標系,ver1.0,,,,,2
03201-4000-126.zip,盛岡市,03201,盛岡市川目１５地割,任意座標系,ver1.0,,,,,28
03201-4000-127.zip,盛岡市,03201,盛岡市川目Ａ,任意座標系,ver1.0,,,,,24
03201-4000-128.zip,盛岡市,03201,盛岡市川目Ｂ,任意座標系,ver1.0,,,,,4
03201-4000-129.zip,盛岡市,03201,盛岡市川目第１地割Ａ,任意座標系,ver1.0,,,,,19
03201-4000-13.zip,盛岡市,03201,盛岡市愛宕町,任意座標系,ver1.0,,,,,4
03201-4000-130.zip,盛岡市,03201,盛岡市川目第１地割Ｂ,任意座標系,ver1.0,,,,,24
03201-4000-131.zip,盛岡市,03201,盛岡市川目第１地割Ｃ,任意座標系,ver1.0,,,,,34
03201-4000-132.zip,盛岡市,03201,盛岡市川目第１地割Ｄ,任意座標系,ver1.0,,,,,25
03201-4000-133.zip,盛岡市,03201,盛岡市川目第２地割,任意座標系,ver1.0,,,,,8
