filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
04101-3700-1.zip,仙台市青葉区,04101,あけぼの,任意座標系,ver1.0,,,,,7
04101-3700-10.zip,仙台市青葉区,04101,芋沢字一本木東・一本木・板橋・他,任意座標系,ver1.0,,,,,23
04101-3700-100.zip,仙台市青葉区,04101,大倉字根地木・野川・白山・橋本・他,任意座標系,ver1.0,,,,,21
04101-3700-101.zip,仙台市青葉区,04101,大倉字青下・赤岩・赤坂・荒沢口・他,任意座標系,ver1.0,,,,,22
04101-3700-102.zip,仙台市青葉区,04101,大倉字石野立・栗林・長沼・西風側・他,任意座標系,ver1.0,,,,,20
04101-3700-103.zip,仙台市青葉区,04101,大倉字大原・大手門・越底内・大葉羅・他,任意座標系,ver1.0,,,,,22
04101-3700-104.zip,仙台市青葉区,04101,大倉字塚田・堤沢・寺下・鳥谷峯・他,任意座標系,ver1.0,,,,,22
04101-3700-105.zip,仙台市青葉区,04101,大倉字湯湧・横川・横根・夜盗沢・他,任意座標系,ver1.0,,,,,24
04101-3700-106.zip,仙台市青葉区,04101,中江１・２丁目,任意座標系,ver1.0,,,,,26
04101-3700-107.zip,仙台市青葉区,04101,大倉字道合・南・南ノ沢・宮・宮前・他,任意座標系,ver1.0,,,,,21
04101-3700-108.zip,仙台市青葉区,04101,大倉字木戸・切払・久保・窪田・他,任意座標系,ver1.0,,,,,22
04101-3700-109.zip,仙台市青葉区,04101,中山１・５丁目,任意座標系,ver1.0,,,,,1
04101-3700-11.zip,仙台市青葉区,04101,芋沢字奥武士東・小倉東・小倉・他,任意座標系,ver1.0,,,,,24
04101-3700-110.zip,仙台市青葉区,04101,通町１・２丁目,任意座標系,ver1.0,,,,,8
04101-3700-111.zip,仙台市青葉区,04101,堤通雨宮町,任意座標系,ver1.0,,,,,11
04101-3700-112.zip,仙台市青葉区,04101,東勝山１～３丁目,任意座標系,ver1.0,,,,,21
04101-3700-113.zip,仙台市青葉区,04101,東照宮１・２丁目,任意座標系,ver1.0,,,,,18
04101-3700-114.zip,仙台市青葉区,04101,藤松,任意座標系,ver1.0,,,,,10
