filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
14209-0219-3.zip,相模原市,14209,新戸Ａ,任意座標系,ver1.0,,,,,39
14118-0224-3.zip,横浜市都筑区,14118,荏田東３，４丁目,任意座標系,ver1.0,,,,,24
14384-0203-2.zip,足柄下郡湯河原町,14384,吉浜（区画整理図）,任意座標系,ver1.0,,,,,1
14102-0205-19.zip,横浜市神奈川区,14102,KNG14232,任意座標系,ver1.0,,,,,8
14151-0219-131.zip,相模原市緑区,14151,津久井町又野字道上６００図無Ｈ１７,任意座標系,ver1.0,,,,,4
14205-0210-408.zip,藤沢市,14205,藤沢市村岡東２丁目土地区画整理,公共座標9系,ver1.0,測量,,,,7
14209-0219-43.zip,相模原市,14209,10138_hosei_20121217085110,公共座標9系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,5
14151-0219-70.zip,相模原市緑区,14151,寸沢嵐Ｃ,任意座標系,ver1.0,,,,,37
14117-0207-509.zip,横浜市青葉区,14117,10634_hosei_20121031093908,公共座標9系,ver1.0,測量,,,,17
14342-0203-27.zip,中郡二宮町,14342,二宮Ｅ,任意座標系,ver1.0,,,,,22
14211-0203-36.zip,秦野市,14211,新町,任意座標系,ver1.0,,,,,4
14205-0210-277.zip,藤沢市,14205,10733_hosei_20121017090429,公共座標9系,ver1.0,測量,,,,3
14117-0207-56.zip,横浜市青葉区,14117,青葉区下谷本町Ｃ,任意座標系,ver1.0,,,,,3
14201-0202-157.zip,横須賀市,14201,追浜南町３丁目,任意座標系,ver1.0,,,,,1
14106-0205-36.zip,横浜市保土ヶ谷区,14106,KNG14527,任意座標系,ver1.0,,,,,9
14152-0219-47.zip,相模原市中央区,14152,星ヶ丘三丁目,任意座標系,ver1.0,,,,,3
14153-0219-117.zip,相模原市南区,14153,下溝字東沢・十三ノ原・十四ノ原,任意座標系,ver1.0,,,,,11
14151-0219-98.zip,相模原市緑区,14151,鳥屋Ａ,任意座標系,ver1.0,,,,,2
14103-0200-22.zip,横浜市西区,14103,緑町・みなとみらい２丁目,任意座標系,ver1.0,,,,,3
14203-0203-84.zip,平塚市,14203,土屋１０／１３,任意座標系,ver1.0,,,,,20
14205-0210-14.zip,藤沢市,14205,高谷Ｂ,任意座標系,ver1.0,,,,,1
14205-0210-117.zip,藤沢市,14205,菖蒲沢,任意座標系,ver1.0,,,,,26
14209-0219-42.zip,相模原市,14209,10135_hosei_20121217084949,公共座標9系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,6
14104-0200-111.zip,横浜市中区,14104,10205_hosei_20121129081136,公共座標9系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,23
14366-0203-20.zip,足柄上郡開成町,14366,10597_hosei_20121211110318,公共座標9系,ver1.0,測量,,,,4
14203-0203-101.zip,平塚市,14203,南豊田,任意座標系,ver1.0,,,,,15
14218-0218-16.zip,綾瀬市,14218,上土棚中１～７丁目,任意座標系,ver1.0,,,,,26
14401-0204-44.zip,愛甲郡愛川町,14401,半原Ａ,任意座標系,ver1.0,,,,,24
14211-0203-45.zip,秦野市,14211,曽屋Ｅ,任意座標系,ver1.0,,,,,6
14205-0210-220.zip,藤沢市,14205,10420_hosei_20121017083900,公共座標9系,ver1.0,測量,,,,1
14105-0200-7.zip,横浜市南区,14105,浦舟町一～三丁目,任意座標系,ver1.0,,,,,1
14205-0210-248.zip,藤沢市,14205,10608_hosei_20121017085115,公共座標9系,ver1.0,測量,,,,10
14217-0203-55.zip,南足柄市,14217,南足柄市矢倉沢Ｇ（和紙）,任意座標系,ver1.0,,,,,27
14110-0208-52.zip,横浜市戸塚区,14110,10065_hosei_20121108122631,公共座標9系,ver1.0,変換,1.3.77,TKY2JGD.par,2.1.1,9
14151-0219-27.zip,相模原市緑区,14151,小原Ｂ,任意座標系,ver1.0,,,,,31
14364-0203-10.zip,足柄上郡山北町,14364,山北町山市場Ｃ（和紙）,任意座標系,ver1.0,,,,,38
14152-0219-13.zip,相模原市中央区,14152,宮下３丁目,任意座標系,ver1.0,,,,,6
14117-0207-15.zip,横浜市青葉区,14117,荏田西２丁目,任意座標系,ver1.0,,,,,18
14134-0212-5.zip,川崎市高津区,14134,向ケ丘Ａ,任意座標系,ver1.0,,,,,2
14201-0202-168.zip,横須賀市,14201,東逸見町２丁目,任意座標系,ver1.0,,,,,4
14209-0219-48.zip,相模原市,14209,10549_hosei_20121217093212,公共座標9系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,14
14152-0219-125.zip,相模原市中央区,14152,並木二丁目,任意座標系,ver1.0,,,,,2
14111-0225-13.zip,横浜市港南区,14111,港南区港南台１丁目Ｂ６００図無Ｈ１７,任意座標系,ver1.0,,,,,7
