filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
15101-1100-1.zip,新潟市北区,15101,１４太郎代,任意座標系,ver1.0,,,,,2
15101-1100-10.zip,新潟市北区,15101,太夫浜・三軒屋町・新元島町・新崎,任意座標系,ver1.0,,,,,3
15101-1100-11.zip,新潟市北区,15101,太夫浜Ｃ,任意座標系,ver1.0,,,,,26
15101-1100-12.zip,新潟市北区,15101,太夫浜Ｄ,任意座標系,ver1.0,,,,,27
15101-1100-13.zip,新潟市北区,15101,太夫浜Ｅ,任意座標系,ver1.0,,,,,28
15101-1100-14.zip,新潟市北区,15101,太夫浜Ｆ,任意座標系,ver1.0,,,,,25
15101-1100-15.zip,新潟市北区,15101,太夫浜Ｇ,任意座標系,ver1.0,,,,,26
15101-1100-16.zip,新潟市北区,15101,太郎代１７Ａ０１,任意座標系,ver1.0,,,,,1
15101-1100-17.zip,新潟市北区,15101,太郎代Ｂ,任意座標系,ver1.0,,,,,12
15101-1100-18.zip,新潟市北区,15101,東栄町,任意座標系,ver1.0,,,,,5
15101-1100-19.zip,新潟市北区,15101,島見町Ａ,任意座標系,ver1.0,,,,,28
15101-1100-2.zip,新潟市北区,15101,すみれ野１７Ａ０１,任意座標系,ver1.0,,,,,1
15101-1100-20.zip,新潟市北区,15101,島見町Ｂ,任意座標系,ver1.0,,,,,26
15101-1100-21.zip,新潟市北区,15101,島見町Ｅ,任意座標系,ver1.0,,,,,28
15101-1100-22.zip,新潟市北区,15101,名目所,任意座標系,ver1.0,,,,,27
15101-1100-23.zip,新潟市北区,15101,名目所１～３丁目,任意座標系,ver1.0,,,,,26
15101-1100-24.zip,新潟市北区,15101,（北）松浜町Ａ,任意座標系,ver1.0,,,,,21
15101-1100-25.zip,新潟市北区,15101,（北）松浜町Ｃ,任意座標系,ver1.0,,,,,2
15101-1100-26.zip,新潟市北区,15101,（北）松浜町Ｄ,任意座標系,ver1.0,,,,,24
15101-1100-27.zip,新潟市北区,15101,（北）中蒲原郡横越町大字横越－１２,任意座標系,ver1.0,,,,,20
15101-1100-28.zip,新潟市北区,15101,（北）中蒲原郡横越町大字小杉－１０,任意座標系,ver1.0,,,,,9
15101-1100-29.zip,新潟市北区,15101,１５細山Ａ,任意座標系,ver1.0,,,,,7
15101-1100-3.zip,新潟市北区,15101,松栄町,任意座標系,ver1.0,,,,,24
15101-1100-30.zip,新潟市北区,15101,つくし野１・２丁目,任意座標系,ver1.0,,,,,22
15101-1100-31.zip,新潟市北区,15101,三軒屋町,任意座標系,ver1.0,,,,,2
15101-1100-32.zip,新潟市北区,15101,松浜１丁目,任意座標系,ver1.0,,,,,6
15101-1100-33.zip,新潟市北区,15101,松浜２丁目,任意座標系,ver1.0,,,,,5
15101-1100-34.zip,新潟市北区,15101,松浜３丁目,任意座標系,ver1.0,,,,,5
15101-1100-35.zip,新潟市北区,15101,松浜４丁目,任意座標系,ver1.0,,,,,3
15101-1100-36.zip,新潟市北区,15101,松浜７丁目,任意座標系,ver1.0,,,,,5
15101-1100-37.zip,新潟市北区,15101,松浜８丁目,任意座標系,ver1.0,,,,,8
15101-1100-38.zip,新潟市北区,15101,松浜町Ｅ,任意座標系,ver1.0,,,,,8
15101-1100-39.zip,新潟市北区,15101,松浜東町１丁目,任意座標系,ver1.0,,,,,9
15101-1100-4.zip,新潟市北区,15101,松潟Ａ,任意座標系,ver1.0,,,,,19
15101-1100-40.zip,新潟市北区,15101,松浜東町２丁目,任意座標系,ver1.0,,,,,8
15101-1100-41.zip,新潟市北区,15101,松浜本町１・２丁目・三軒屋町Ａ,任意座標系,ver1.0,,,,,8
15101-1100-42.zip,新潟市北区,15101,松浜本町１・２丁目・三軒屋町Ｂ,任意座標系,ver1.0,,,,,4
15101-1100-43.zip,新潟市北区,15101,松浜本町３丁目,任意座標系,ver1.0,,,,,6
15101-1100-44.zip,新潟市北区,15101,松浜本町４丁目,任意座標系,ver1.0,,,,,3
15101-1100-45.zip,新潟市北区,15101,西名目所,任意座標系,ver1.0,,,,,10
15101-1100-46.zip,新潟市北区,15101,太郎代・島見町・白勢町,任意座標系,ver1.0,,,,,28
15101-1100-47.zip,新潟市北区,15101,太郎代Ｄ,任意座標系,ver1.0,,,,,21
15101-1100-48.zip,新潟市北区,15101,濁川Ａ,任意座標系,ver1.0,,,,,25
15101-1100-49.zip,新潟市北区,15101,濁川Ｃ,任意座標系,ver1.0,,,,,18
15101-1100-5.zip,新潟市北区,15101,松潟Ｂ,任意座標系,ver1.0,,,,,28
15101-1100-50.zip,新潟市北区,15101,島見町Ｃ,任意座標系,ver1.0,,,,,26
15101-1100-51.zip,新潟市北区,15101,島見町Ｄ,任意座標系,ver1.0,,,,,24
15101-1100-52.zip,新潟市北区,15101,島見町Ｆ,任意座標系,ver1.0,,,,,21
15101-1100-53.zip,新潟市北区,15101,白勢町,任意座標系,ver1.0,,,,,27
15101-1100-54.zip,新潟市北区,15101,新潟市北区三軒屋町,任意座標系,ver1.0,,,,,2
15101-1100-55.zip,新潟市北区,15101,10159_hosei_20121102095850,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,5
15101-1100-56.zip,新潟市北区,15101,10160_hosei_20121102095907,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
15101-1100-57.zip,新潟市北区,15101,10163_hosei_20121102095940,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
15101-1100-58.zip,新潟市北区,15101,10228_hosei_20121102100549,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
15101-1100-59.zip,新潟市北区,15101,10591_hosei_20121106094501,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
15101-1100-6.zip,新潟市北区,15101,新崎Ａ,任意座標系,ver1.0,,,,,23
15101-1100-60.zip,新潟市北区,15101,10592_hosei_20121106094518,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
15101-1100-61.zip,新潟市北区,15101,10595_hosei_20121106094607,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,11
15101-1100-62.zip,新潟市北区,15101,10899_hosei_20121106102311,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,7
15101-1100-63.zip,新潟市北区,15101,10910_hosei_20121106102402,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,6
15101-1100-64.zip,新潟市北区,15101,10949_hosei_20121106104118,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,24
15101-1100-65.zip,新潟市北区,15101,10960_hosei_20121106104702,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,11
15101-1100-66.zip,新潟市北区,15101,10968_hosei_20121106104734,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,15
15101-1100-67.zip,新潟市北区,15101,10970_hosei_20121106104751,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,13
15101-1100-68.zip,新潟市北区,15101,10989_hosei_20121106110004,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,21
15101-1100-69.zip,新潟市北区,15101,11103_hosei_20121106111250,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,9
15101-1100-7.zip,新潟市北区,15101,新崎Ｂ,任意座標系,ver1.0,,,,,33
15101-1100-70.zip,新潟市北区,15101,11339_hosei_20121106115446,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,18
15101-1100-71.zip,新潟市北区,15101,11609_hosei_20121108104903,公共座標8系,ver1.0,測量,,,,7
15101-1100-72.zip,新潟市北区,15101,新潟市北区新崎地区土地区画整理,公共座標8系,ver1.0,測量,,,,8
15101-1100-73.zip,新潟市北区,15101,西名目所地区土地区画整理事業,公共座標8系,ver1.0,測量,,,,19
15101-1100-8.zip,新潟市北区,15101,神谷内,任意座標系,ver1.0,,,,,18
15101-1100-9.zip,新潟市北区,15101,新崎１～３丁目,任意座標系,ver1.0,,,,,27
15101-1102-1.zip,新潟市北区,15101,横井１７Ｂ０１,任意座標系,ver1.0,,,,,26
15101-1102-10.zip,新潟市北区,15101,嘉山１７Ｂ０６,任意座標系,ver1.0,,,,,3
15101-1102-100.zip,新潟市北区,15101,葛塚１７Ｂ０２,任意座標系,ver1.0,,,,,14
15101-1102-101.zip,新潟市北区,15101,葛塚１７Ｂ０３,任意座標系,ver1.0,,,,,13
15101-1102-102.zip,新潟市北区,15101,上土地亀１７Ｂ０３,任意座標系,ver1.0,,,,,13
15101-1102-103.zip,新潟市北区,15101,上土地亀１７Ｂ０５,任意座標系,ver1.0,,,,,2
15101-1102-104.zip,新潟市北区,15101,新潟市北区すみれ野２丁目,任意座標系,ver1.0,,,,,1
15101-1102-105.zip,新潟市北区,15101,新潟市北区浦ノ入Ｂ,任意座標系,ver1.0,,,,,36
15101-1102-106.zip,新潟市北区,15101,新潟市北区浦ノ入Ｃ,任意座標系,ver1.0,,,,,27
15101-1102-107.zip,新潟市北区,15101,新潟市北区浦木Ａ,任意座標系,ver1.0,,,,,48
15101-1102-108.zip,新潟市北区,15101,新潟市北区浦木Ｂ,任意座標系,ver1.0,,,,,24
15101-1102-109.zip,新潟市北区,15101,新潟市北区横土居Ａ,任意座標系,ver1.0,,,,,29
15101-1102-11.zip,新潟市北区,15101,嘉山１７Ｂ０７,任意座標系,ver1.0,,,,,2
15101-1102-110.zip,新潟市北区,15101,新潟市北区蓮野,任意座標系,ver1.0,,,,,1
15101-1102-111.zip,新潟市北区,15101,新潟市北区横土居Ｂ,任意座標系,ver1.0,,,,,24
15101-1102-112.zip,新潟市北区,15101,新潟市北区横土居Ｃ,任意座標系,ver1.0,,,,,20
15101-1102-113.zip,新潟市北区,15101,新潟市北区岡新田Ａ,任意座標系,ver1.0,,,,,13
15101-1102-114.zip,新潟市北区,15101,新潟市北区下大谷内,任意座標系,ver1.0,,,,,45
15101-1102-115.zip,新潟市北区,15101,新潟市北区灰塚Ａ,任意座標系,ver1.0,,,,,10
15101-1102-116.zip,新潟市北区,15101,新潟市北区下土地亀Ａ,任意座標系,ver1.0,,,,,57
15101-1102-117.zip,新潟市北区,15101,新潟市北区下土地亀Ｂ,任意座標系,ver1.0,,,,,17
15101-1102-118.zip,新潟市北区,15101,新潟市北区灰塚Ｂ,任意座標系,ver1.0,,,,,4
15101-1102-119.zip,新潟市北区,15101,新潟市北区灰塚Ｃ,任意座標系,ver1.0,,,,,3
15101-1102-12.zip,新潟市北区,15101,嘉山１７Ｂ０８,任意座標系,ver1.0,,,,,1
15101-1102-120.zip,新潟市北区,15101,新潟市北区笠柳Ａ,任意座標系,ver1.0,,,,,29
