filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
20201-1000-1.zip,長野市,20201,Aookura01,任意座標系,ver1.0,,,,,1
20201-1000-10.zip,長野市,20201,Atoyooka03,任意座標系,ver1.0,,,,,1
20201-1000-100.zip,長野市,20201,Km_higasijou01,任意座標系,ver1.0,,,,,72
20201-1000-1000.zip,長野市,20201,10579_hosei_20121029085320,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,2
20201-1000-1001.zip,長野市,20201,10581_hosei_20121029085337,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,1
20201-1000-1002.zip,長野市,20201,10583_hosei_20121029085354,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,2
20201-1000-1003.zip,長野市,20201,10584_hosei_20121029085411,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,1
20201-1000-1004.zip,長野市,20201,10585_hosei_20121029085428,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,1
20201-1000-1005.zip,長野市,20201,10594_hosei_20121029085445,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,1
20201-1000-1006.zip,長野市,20201,10635_hosei_20121029085502,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,13
20201-1000-1007.zip,長野市,20201,10677_hosei_20121029085536,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,1
20201-1000-1008.zip,長野市,20201,10685_hosei_20121029085553,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.2,9
20201-1000-1009.zip,長野市,20201,10690_hosei_20121029085610,公共座標8系,ver1.0,測量,,,,22
20201-1000-101.zip,長野市,20201,Km_higasijou02,任意座標系,ver1.0,,,,,68
20201-1000-1010.zip,長野市,20201,10694_hosei_20121029085627,公共座標8系,ver1.0,測量,,,,15
20201-1000-1011.zip,長野市,20201,10695_hosei_20121029085701,公共座標8系,ver1.0,測量,,,,14
20201-1000-1012.zip,長野市,20201,10696_hosei_20121029085735,公共座標8系,ver1.0,測量,,,,4
20201-1000-1013.zip,長野市,20201,10742_hosei_20121029085752,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,130
20201-1000-1014.zip,長野市,20201,10848_hosei_20121029090136,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,20
20201-1000-1015.zip,長野市,20201,10851_hosei_20121029090227,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,1
20201-1000-1016.zip,長野市,20201,10866_hosei_20121029090244,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,88
20201-1000-1017.zip,長野市,20201,10867_hosei_20121029090803,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,13
20201-1000-1018.zip,長野市,20201,11051_hosei_20121029090820,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,134
20201-1000-1019.zip,長野市,20201,11053_hosei_20121029091237,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,74
20201-1000-102.zip,長野市,20201,Km_higasiterao01,任意座標系,ver1.0,,,,,30
20201-1000-1020.zip,長野市,20201,11153_hosei_20121029091434,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,19
20201-1000-1021.zip,長野市,20201,11216_hosei_20121029091609,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,8
20201-1000-1022.zip,長野市,20201,11217_hosei_20121029091626,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,7
20201-1000-1023.zip,長野市,20201,11218_hosei_20121029091659,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,1
20201-1000-1024.zip,長野市,20201,11219_hosei_20121029091716,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,10
20201-1000-1025.zip,長野市,20201,11225_hosei_20121029091750,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,12
20201-1000-1026.zip,長野市,20201,11226_hosei_20121029091808,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,2
20201-1000-1027.zip,長野市,20201,11228_hosei_20121029091824,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,3
20201-1000-1028.zip,長野市,20201,11241_hosei_20121029091841,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,17
20201-1000-1029.zip,長野市,20201,11242_hosei_20121029091947,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,32
20201-1000-103.zip,長野市,20201,Km_higasiterao02,任意座標系,ver1.0,,,,,63
20201-1000-1030.zip,長野市,20201,11243_hosei_20121029092122,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,30
20201-1000-1031.zip,長野市,20201,11244_hosei_20121029092155,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,7
20201-1000-1032.zip,長野市,20201,11245_hosei_20121029092212,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,46
20201-1000-1033.zip,長野市,20201,11246_hosei_20121029092403,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,15
20201-1000-1034.zip,長野市,20201,11247_hosei_20121029092421,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,4
20201-1000-1035.zip,長野市,20201,11248_hosei_20121029092438,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,2
20201-1000-1036.zip,長野市,20201,11271_hosei_20121029092455,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,17
20201-1000-1037.zip,長野市,20201,11272_hosei_20121029092536,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,6
20201-1000-1038.zip,長野市,20201,11280_hosei_20121029092553,公共座標8系,ver1.0,測量,,,,20
20201-1000-1039.zip,長野市,20201,11281_hosei_20121029092627,公共座標8系,ver1.0,測量,,,,25
20201-1000-104.zip,長野市,20201,Km_iwano01,任意座標系,ver1.0,,,,,14
20201-1000-1040.zip,長野市,20201,11282_hosei_20121029092717,公共座標8系,ver1.0,測量,,,,22
20201-1000-1041.zip,長野市,20201,11338_hosei_20121029092824,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,73
20201-1000-1042.zip,長野市,20201,11340_hosei_20121029092945,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,37
20201-1000-1043.zip,長野市,20201,11341_hosei_20121029093053,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,61
20201-1000-1044.zip,長野市,20201,11342_hosei_20121029093401,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,52
20201-1000-1045.zip,長野市,20201,11344_hosei_20121029093641,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,25
20201-1000-1046.zip,長野市,20201,11345_hosei_20121029093816,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,32
20201-1000-1047.zip,長野市,20201,11346_hosei_20121029094007,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,26
20201-1000-1048.zip,長野市,20201,11355_hosei_20121029094056,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,23
20201-1000-1049.zip,長野市,20201,11343_hosei_20121029094145,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,36
20201-1000-105.zip,長野市,20201,Km_makisima01,任意座標系,ver1.0,,,,,4
20201-1000-1050.zip,長野市,20201,11356_hosei_20121029094250,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,32
20201-1000-1051.zip,長野市,20201,11357_hosei_20121029094340,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,19
20201-1000-1052.zip,長野市,20201,11358_hosei_20121029094413,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,53
20201-1000-1053.zip,長野市,20201,11370_hosei_20121029094619,公共座標8系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,39
