filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
28101-1413-1.zip,神戸市東灘区,28101,渦森台・鴨子ケ原,任意座標系,ver1.0,,,,,12
28101-1413-10.zip,神戸市東灘区,28101,御影中町・御影石町・御影町郡家他,任意座標系,ver1.0,,,,,4
28101-1413-11.zip,神戸市東灘区,28101,御影中町・御影本町・御影町御影,任意座標系,ver1.0,,,,,29
28101-1413-12.zip,神戸市東灘区,28101,住吉台,任意座標系,ver1.0,,,,,7
28101-1413-13.zip,神戸市東灘区,28101,御影町西平野,任意座標系,ver1.0,,,,,1
28101-1413-14.zip,神戸市東灘区,28101,住吉宮町,公共座標5系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,1
28101-1413-15.zip,神戸市東灘区,28101,住吉山手・住吉台,任意座標系,ver1.0,,,,,3
28101-1413-16.zip,神戸市東灘区,28101,住吉山手・住吉町・住吉本町・御影山手他,任意座標系,ver1.0,,,,,36
28101-1413-17.zip,神戸市東灘区,28101,住吉南町・魚崎西町・魚崎町魚崎,任意座標系,ver1.0,,,,,17
28101-1413-18.zip,神戸市東灘区,28101,住吉浜町,任意座標系,ver1.0,,,,,11
28101-1413-19.zip,神戸市東灘区,28101,森南町・本山中町・本庄町,任意座標系,ver1.0,,,,,26
28101-1413-2.zip,神戸市東灘区,28101,岡本,任意座標系,ver1.0,,,,,6
28101-1413-20.zip,神戸市東灘区,28101,森南町（数値）１７Ａ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,7
28101-1413-21.zip,神戸市東灘区,28101,深江浜町,任意座標系,ver1.0,,,,,0
28101-1413-22.zip,神戸市東灘区,28101,西岡本,任意座標系,ver1.0,,,,,9
28101-1413-23.zip,神戸市東灘区,28101,西岡本・本山町岡本・本山町野寄,任意座標系,ver1.0,,,,,22
28101-1413-24.zip,神戸市東灘区,28101,青木・深江南町,任意座標系,ver1.0,,,,,25
28101-1413-25.zip,神戸市東灘区,28101,青木・深江本町・本庄町深江,任意座標系,ver1.0,,,,,15
28101-1413-26.zip,神戸市東灘区,28101,北青木,任意座標系,ver1.0,,,,,9
28101-1413-27.zip,神戸市東灘区,28101,北青木・本山南町・甲南町・田中町他,任意座標系,ver1.0,,,,,31
28101-1413-28.zip,神戸市東灘区,28101,本山町岡本・田中町・岡本,任意座標系,ver1.0,,,,,26
28101-1413-29.zip,神戸市東灘区,28101,本山町森・本山町岡本・森北町,任意座標系,ver1.0,,,,,14
28101-1413-3.zip,神戸市東灘区,28101,岡本・岡本町田辺・岡本町岡本・本山北町,任意座標系,ver1.0,,,,,14
28101-1413-30.zip,神戸市東灘区,28101,本山町田中・甲南町,任意座標系,ver1.0,,,,,10
28101-1413-31.zip,神戸市東灘区,28101,本山町野寄・西岡本,任意座標系,ver1.0,,,,,11
28101-1413-32.zip,神戸市東灘区,28101,本山北町・本山町中野・本山町北畑他,任意座標系,ver1.0,,,,,14
28101-1413-33.zip,神戸市東灘区,28101,本山北町・本山町北畑・本山町田辺他,任意座標系,ver1.0,,,,,37
28101-1413-34.zip,神戸市東灘区,28101,本庄町青木・本庄町西青木・本庄町深江他,任意座標系,ver1.0,,,,,12
28101-1413-35.zip,神戸市東灘区,28101,鴨子ケ原・住吉町・御影山手,任意座標系,ver1.0,,,,,11
28101-1413-36.zip,神戸市東灘区,28101,魚崎北町・魚崎中町・魚崎町魚崎他,任意座標系,ver1.0,,,,,21
28101-1413-37.zip,神戸市東灘区,28101,御影塚町,任意座標系,ver1.0,,,,,1
