filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
33101-2600-1.zip,岡山市北区,33101,宇垣１５Ｂ０１,任意座標系,ver1.0,,,,,5
33101-2600-10.zip,岡山市北区,33101,角石畝１４Ｂ０４,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,19
33101-2600-100.zip,岡山市北区,33101,大字虎倉１６Ａ０２,任意座標系,ver1.0,,,,,64
33101-2600-101.zip,岡山市北区,33101,大字虎倉１６Ａ０３,任意座標系,ver1.0,,,,,1
33101-2600-102.zip,岡山市北区,33101,大字高津１４Ｂ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,13
33101-2600-103.zip,岡山市北区,33101,大字高津１４Ｂ０２,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,27
33101-2600-104.zip,岡山市北区,33101,大字紙工１４Ｂ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,17
33101-2600-105.zip,岡山市北区,33101,大字紙工１４Ｂ０２,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,57
33101-2600-106.zip,岡山市北区,33101,大字紙工１６Ａ０１,任意座標系,ver1.0,,,,,48
33101-2600-107.zip,岡山市北区,33101,大字紙工１６Ａ０３,任意座標系,ver1.0,,,,,39
33101-2600-108.zip,岡山市北区,33101,大字鹿瀬１４Ｂ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,36
33101-2600-109.zip,岡山市北区,33101,大字鹿瀬１４Ｂ０２,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,4
33101-2600-11.zip,岡山市北区,33101,角石畝１４Ｂ０５,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,15
33101-2600-110.zip,岡山市北区,33101,大字鹿瀬１４Ｂ０３,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,19
33101-2600-111.zip,岡山市北区,33101,大字勝尾１４Ｂ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,25
33101-2600-112.zip,岡山市北区,33101,大字勝尾１５Ａ０１,任意座標系,ver1.0,,,,,45
33101-2600-113.zip,岡山市北区,33101,大字新庄１４Ｂ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,23
33101-2600-114.zip,岡山市北区,33101,大字新庄１４Ｂ０２,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,45
33101-2600-115.zip,岡山市北区,33101,大字新庄１４Ｃ０１,任意座標系,ver1.0,,,,,64
33101-2600-116.zip,岡山市北区,33101,大字石上１４Ｂ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,29
33101-2600-117.zip,岡山市北区,33101,大字石上１５Ａ０１,任意座標系,ver1.0,,,,,23
33101-2600-118.zip,岡山市北区,33101,大字草生１４Ｂ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,21
33101-2600-119.zip,岡山市北区,33101,大字草生１４Ｂ０２,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,17
33101-2600-12.zip,岡山市北区,33101,角石畝１８Ａ０１,公共座標5系,ver1.0,測量,,,,17
33101-2600-120.zip,岡山市北区,33101,大字草生１４Ｂ０３,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,19
33101-2600-121.zip,岡山市北区,33101,大字草生１４Ｂ０４,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,42
33101-2600-122.zip,岡山市北区,33101,大字草生１４Ｂ０５,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,15
33101-2600-123.zip,岡山市北区,33101,大字草生１４Ｂ０６,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,16
33101-2600-124.zip,岡山市北区,33101,大字草生１４Ｂ０７,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,23
33101-2600-125.zip,岡山市北区,33101,大字草生１４Ｂ０８,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,12
33101-2600-126.zip,岡山市北区,33101,大字中牧１６Ａ０１,任意座標系,ver1.0,,,,,1
33101-2600-127.zip,岡山市北区,33101,大字平岡西１４Ｂ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,27
33101-2600-128.zip,岡山市北区,33101,大字矢原１４Ｂ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,14
33101-2600-129.zip,岡山市北区,33101,大字矢原１４Ｂ０２,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,19
33101-2600-13.zip,岡山市北区,33101,角石畝１８Ａ０２,公共座標5系,ver1.0,測量,,,,17
33101-2600-130.zip,岡山市北区,33101,大田１４Ｂ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,13
33101-2600-131.zip,岡山市北区,33101,大字矢原１５Ａ０１,公共座標5系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,8
