filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
36368-4801-165.zip,那賀郡那賀町,36368,36368_2011_1,公共座標4系,ver1.0,測量,,,,113
36201-4800-31.zip,徳島市,36201,国府町東黒田（数値）１４Ａ０１,公共座標4系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,64
36468-4802-94.zip,美馬郡つるぎ町,36468,BYA1sadamitu22F09_2000,公共座標4系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,38
36208-4802-76.zip,三好市,36208,DWP1higasiiya22G09,公共座標4系,ver1.0,測量,,,,17
36201-4800-55.zip,徳島市,36201,上八万町上中筋・下中筋・樋口－１,任意座標系,ver1.0,,,,,1
36208-4802-305.zip,三好市,36208,釣井８地区修正後,公共座標4系,ver1.0,測量,,,,13
36368-4801-5.zip,那賀郡那賀町,36368,AWP1izuhara21A03,公共座標4系,ver1.0,測量,,,,62
36368-4801-158.zip,那賀郡那賀町,36368,36368_2010_2,公共座標4系,ver1.0,測量,,,,31
36302-4800-50.zip,勝浦郡上勝町,36302,36302_2009_3,公共座標4系,ver1.0,測量,,,,35
36205-4800-75.zip,吉野川市,36205,飯尾１２Ｄ,公共座標4系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,19
36341-4800-42.zip,名西郡石井町,36341,藍畑（数値）２６Ｕ０１,公共座標4系,ver1.0,測量,,,,24
36205-4800-68.zip,吉野川市,36205,中島１２Ｃ,公共座標4系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,16
36202-4800-121.zip,鳴門市,36202,ZK1itiba15B01,任意座標系,ver1.0,,,,,28
36387-4801-16.zip,海部郡美波町,36387,BZK1hiwasaura21A01,任意座標系,ver1.0,,,,,16
36204-4801-130.zip,阿南市,36204,DZK2kurotutityo20A01,任意座標系,ver1.0,,,,,5
36468-4802-74.zip,美馬郡つるぎ町,36468,EYA1handa22E18_2000,公共座標4系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,15
