filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
37208-4702-48.zip,三豊市,37208,KOJ16065,公共座標4系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,227
37203-4701-78.zip,坂出市,37203,久米町２０Ｃ０１,公共座標4系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,19
37387-4700-86.zip,綾歌郡綾川町,37387,陶Ｉ,公共座標4系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,7
37205-4702-130.zip,観音寺市,37205,YB1HURUKAWATYOU02,公共座標4系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,6
37386-4701-10.zip,綾歌郡宇多津町,37386,綾歌郡宇多津町（数値）２９Ｒ０１,公共座標4系,ver1.0,測量,,,,20
37208-4702-67.zip,三豊市,37208,KOJ16084,公共座標4系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,10
37201-4700-316.zip,高松市,37201,安原上東１４Ａ０９,公共座標4系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,68
37202-4701-79.zip,丸亀市,37202,新田町,任意座標系,ver1.0,,,,,9
37201-4700-423.zip,高松市,37201,牟礼町牟礼（数値）２２Ｒ０２,公共座標4系,ver1.0,測量,,,,2
37206-4705-14.zip,さぬき市,37206,AYA1isidanisi22D02_2000,公共座標4系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,11
37406-4701-123.zip,仲多度郡まんのう町,37406,長尾確定図（１９８６・９調査）,任意座標系,ver1.0,,,,,6
37387-4700-69.zip,綾歌郡綾川町,37387,東分Ａ,公共座標4系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,24
37406-4701-40.zip,仲多度郡まんのう町,37406,七箇地籍図（１／５００）Ａ,公共座標4系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,27
37203-4701-11.zip,坂出市,37203,笠指町２０Ｃ０１,任意座標系,ver1.0,,,,,2
