filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
43104-3300-122.zip,熊本市南区,43104,ZK4idenakama114A01,任意座標系,ver1.0,,,,,1
43215-3308-316.zip,天草市,43215,昭和５４年度旧天草町１／５００,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,174
43102-3300-80.zip,熊本市東区,43102,10132_hosei_20180109143500,公共座標2系,ver1.0,測量,,,,37
43210-3305-39.zip,菊池市,43210,原Ｊ,任意座標系,ver1.0,,,,,1
43208-3304-232.zip,山鹿市,43208,10297_hosei_20170207143957,公共座標2系,ver1.0,測量,,,,44
43202-3306-227.zip,八代市,43202,10623_hosei_20170224113604,公共座標2系,ver1.0,測量,,,,73
43101-3300-38.zip,熊本市中央区,43101,二の丸・楡木町１～３丁目,任意座標系,ver1.0,,,,,24
43206-3302-104.zip,玉名市,43206,10449_hosei_20170216111004,公共座標2系,ver1.0,変換,1.3.79,TKY2JGD.par,2.0.6,35
43215-3308-208.zip,天草市,43215,平成４年度旧牛深市１／１０００,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,53
43214-3305-93.zip,阿蘇市,43214,10065_hosei_20181011112317,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,43
43104-3300-117.zip,熊本市南区,43104,ZK3okukoga14A02,任意座標系,ver1.0,,,,,2
43433-3305-46.zip,阿蘇郡南阿蘇村,43433,10233_hosei_20170215113029,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,19
43104-3300-32.zip,熊本市南区,43104,ZK2kawaguti14A01,任意座標系,ver1.0,,,,,35
43364-3302-10.zip,玉名郡玉東町,43364,10398_hosei_20170216100946,公共座標2系,ver1.0,変換,1.3.79,TKY2JGD.par,2.0.6,125
43348-3315-96.zip,下益城郡美里町,43348,10307_hosei_20170228113750,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,22
43441-3300-46.zip,上益城郡御船町,43441,大字豊秋（数値）２４Ｒ０１,公共座標2系,ver1.0,測量,,,,33
43514-3307-54.zip,球磨郡あさぎり町,43514,10282_hosei_20170602123306,公共座標2系,ver1.0,測量,,,,51
43505-3307-21.zip,球磨郡多良木町,43505,10108_hosei_20170601181139,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,39
43202-3306-84.zip,八代市,43202,八代市東町Ａ,任意座標系,ver1.0,,,,,34
43202-3306-96.zip,八代市,43202,八代市麦島東町,任意座標系,ver1.0,,,,,4
43447-3300-127.zip,上益城郡山都町,43447,21073_hosei_20170207112538,公共座標2系,ver1.0,測量,,,,55
43102-3300-37.zip,熊本市東区,43102,ZK2kotou214B02,任意座標系,ver1.0,,,,,3
43403-3305-11.zip,菊池郡大津町,43403,20829_hosei_20180110103512,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.1.1,36
43447-3300-173.zip,上益城郡山都町,43447,52942_hosei_20170207140527,公共座標2系,ver1.0,測量,,,,6
43505-3307-25.zip,球磨郡多良木町,43505,10253_hosei_20170602121321,公共座標2系,ver1.0,測量,,,,8
43482-3306-36.zip,葦北郡芦北町,43482,10468_hosei_20170223132929,公共座標2系,ver1.0,測量,,,,42
43432-3305-41.zip,阿蘇郡西原村,43432,大字河原修正後,公共座標2系,ver1.0,測量,,,,32
43208-3304-175.zip,山鹿市,43208,10220_hosei_20170207123059,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,6
43443-3300-60.zip,上益城郡益城町,43443,21052_hosei_20180110101413,公共座標2系,ver1.0,測量,,,,42
43211-3315-53.zip,宇土市,43211,10353_hosei_20170228121349,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,31
43202-3306-72.zip,八代市,43202,八代市川田町東,任意座標系,ver1.0,,,,,9
43348-3315-92.zip,下益城郡美里町,43348,10297_hosei_20170227142633,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,4
43428-3305-16.zip,阿蘇郡高森町,43428,10050_hosei_20170215102604,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,54
43103-3300-56.zip,熊本市西区,43103,ZK2sintogawara114B01,任意座標系,ver1.0,,,,,8
43433-3305-4.zip,阿蘇郡南阿蘇村,43433,昭和６３年度長陽村１／５００,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,93
43210-3305-29.zip,菊池市,43210,班蛇口Ａ,任意座標系,ver1.0,,,,,1
43103-3300-68.zip,熊本市西区,43103,ZK2yasimamati14C01,任意座標系,ver1.0,,,,,2
43468-3306-28.zip,八代郡氷川町,43468,10391_hosei_20170223124851,公共座標2系,ver1.0,測量,,,,34
43105-3300-128.zip,熊本市北区,43105,21318_hosei_20170207130031,公共座標2系,ver1.0,測量,,,,54
43215-3308-337.zip,天草市,43215,昭和５７年度旧五和町１／５００Ａ,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,107
43512-3307-26.zip,球磨郡山江村,43512,10303_hosei_20170602124835,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,12
43205-3306-35.zip,水俣市,43205,10486_hosei_20170223134250,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,13
43514-3307-18.zip,球磨郡あさぎり町,43514,10087_hosei_20170601175247,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,32
43104-3300-166.zip,熊本市南区,43104,20700_hosei_20170207101557,公共座標2系,ver1.0,変換,TKY2JGD,1.3.79,2.1.1,77
43403-3305-43.zip,菊池郡大津町,43403,20998_hosei_20180110112632,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,18
43215-3308-348.zip,天草市,43215,昭和５８年度旧栖本町１／５００,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,139
43428-3305-42.zip,阿蘇郡高森町,43428,10394_hosei_20170215132011,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,16
43103-3300-65.zip,熊本市西区,43103,ZK2toumonji14A01,任意座標系,ver1.0,,,,,2
43201-3300-116.zip,熊本市,43201,20710_hosei_20170207102221,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,86
43364-3302-14.zip,玉名郡玉東町,43364,10414_hosei_20170216104321,公共座標2系,ver1.0,変換,1.3.79,TKY2JGD.par,2.0.6,6
43205-3306-10.zip,水俣市,43205,10159_hosei_20170223120252,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,13
43208-3304-209.zip,山鹿市,43208,10271_hosei_20170207140410,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,61
43103-3300-29.zip,熊本市西区,43103,ZK2jyouzankami14B03,任意座標系,ver1.0,,,,,5
43512-3307-36.zip,球磨郡山江村,43512,10354_hosei_20170602132514,公共座標2系,ver1.0,変換,1.3.77,TKY2JGD.par,2.0.6,4
43206-3302-98.zip,玉名市,43206,10418_hosei_20170216104426,公共座標2系,ver1.0,変換,1.3.79,TKY2JGD.par,2.0.6,37
43423-3305-2.zip,阿蘇郡南小国町,43423,大字満願寺Ｃ,任意座標系,ver1.0,,,,,5
43205-3306-92.zip,水俣市,43205,水俣市七浦地区深川工区土地改良,公共座標2系,ver1.0,測量,,,,7
43441-3300-51.zip,上益城郡御船町,43441,21214_hosei_20180110102032,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,9
43202-3306-135.zip,八代市,43202,10003_hosei_20170223103023,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,43
43482-3306-65.zip,葦北郡芦北町,43482,10616_hosei_20170224112607,公共座標2系,ver1.0,測量,,,,109
