filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
44201-3200-1.zip,大分市,44201,かたしま台１～３丁目,任意座標系,ver1.0,,,,,9
44201-3200-10.zip,大分市,44201,安藤Ｂ,任意座標系,ver1.0,,,,,34
44201-3200-100.zip,大分市,44201,月形Ｂ,任意座標系,ver1.0,,,,,25
44201-3200-101.zip,大分市,44201,硯田町１丁目,任意座標系,ver1.0,,,,,1
44201-3200-102.zip,大分市,44201,硯田町２丁目,任意座標系,ver1.0,,,,,3
44201-3200-103.zip,大分市,44201,硯田町３丁目,任意座標系,ver1.0,,,,,3
44201-3200-104.zip,大分市,44201,顕徳町１丁目,任意座標系,ver1.0,,,,,3
44201-3200-105.zip,大分市,44201,顕徳町２丁目,任意座標系,ver1.0,,,,,3
44201-3200-106.zip,大分市,44201,元町,任意座標系,ver1.0,,,,,6
44201-3200-107.zip,大分市,44201,原新町,任意座標系,ver1.0,,,,,10
44201-3200-108.zip,大分市,44201,原川１丁目,任意座標系,ver1.0,,,,,2
44201-3200-109.zip,大分市,44201,原川２丁目,任意座標系,ver1.0,,,,,2
44201-3200-11.zip,大分市,44201,羽屋Ａ,任意座標系,ver1.0,,,,,22
44201-3200-110.zip,大分市,44201,原川３丁目,任意座標系,ver1.0,,,,,2
44201-3200-111.zip,大分市,44201,古ヶ鶴２丁目,任意座標系,ver1.0,,,,,3
44201-3200-112.zip,大分市,44201,高砂町,任意座標系,ver1.0,,,,,2
44201-3200-113.zip,大分市,44201,向原沖３丁目,任意座標系,ver1.0,,,,,3
44201-3200-114.zip,大分市,44201,向原西１丁目Ｂ,任意座標系,ver1.0,,,,,4
44201-3200-115.zip,大分市,44201,高江西１・２丁目,任意座標系,ver1.0,,,,,19
44201-3200-116.zip,大分市,44201,高江中央１～３丁目,任意座標系,ver1.0,,,,,16
44201-3200-117.zip,大分市,44201,高江南１～３丁目,任意座標系,ver1.0,,,,,19
44201-3200-118.zip,大分市,44201,高江北１・２丁目,任意座標系,ver1.0,,,,,10
44201-3200-119.zip,大分市,44201,高城新町,任意座標系,ver1.0,,,,,6
44201-3200-12.zip,大分市,44201,羽屋Ｂ,任意座標系,ver1.0,,,,,13
44201-3200-120.zip,大分市,44201,高城西町,任意座標系,ver1.0,,,,,6
44201-3200-121.zip,大分市,44201,高城南町,任意座標系,ver1.0,,,,,3
44201-3200-122.zip,大分市,44201,寿町,任意座標系,ver1.0,,,,,5
44201-3200-123.zip,大分市,44201,高城本町,任意座標系,ver1.0,,,,,3
44201-3200-124.zip,大分市,44201,高尾台１丁目,任意座標系,ver1.0,,,,,10
44201-3200-125.zip,大分市,44201,高尾台２丁目,任意座標系,ver1.0,,,,,4
44201-3200-126.zip,大分市,44201,今津留１丁目,任意座標系,ver1.0,,,,,5
44201-3200-127.zip,大分市,44201,桜ヶ丘,任意座標系,ver1.0,,,,,3
44201-3200-128.zip,大分市,44201,今津留２丁目,任意座標系,ver1.0,,,,,5
44201-3200-129.zip,大分市,44201,今津留３丁目,任意座標系,ver1.0,,,,,5
44201-3200-13.zip,大分市,44201,荏隈１／２Ａ,任意座標系,ver1.0,,,,,16
