filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
01101-4300-1.zip,札幌市中央区,01101,区Ｃ（１／５００）　図郭座標無,任意座標系,ver1.0,,,,,40
01101-4300-10.zip,札幌市中央区,01101,区Ｂ（１／５００）　図郭座標無,任意座標系,ver1.0,,,,,32
01101-4300-11.zip,札幌市中央区,01101,区Ｄ（１／１０００）　図郭座標無,任意座標系,ver1.0,,,,,1
01101-4300-12.zip,札幌市中央区,01101,連Ａ　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,74
01101-4300-13.zip,札幌市中央区,01101,連Ｂ（１／１２００）　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,0
01101-4300-14.zip,札幌市中央区,01101,連Ｂ（１／６００）　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,22
01101-4300-15.zip,札幌市中央区,01101,連Ｃ　図郭座標有４２枚・無１０枚,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,53
01101-4300-16.zip,札幌市中央区,01101,連Ｄ（１／１２００）　図郭座標無,公共座標12系,ver1.0,測量,,,,34
01101-4300-17.zip,札幌市中央区,01101,連Ｅ（１／１２００）　図郭座標無,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,17
01101-4300-18.zip,札幌市中央区,01101,連Ｅ（１／５００）　図郭座標無,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,236
01101-4300-19.zip,札幌市中央区,01101,連Ｆ（１／１０００）　図郭座標無,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,25
01101-4300-2.zip,札幌市中央区,01101,明　宮の森・数値　Ｈ１１,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,1
01101-4300-20.zip,札幌市中央区,01101,連Ｇ（１／１２００）　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,27
01101-4300-21.zip,札幌市中央区,01101,連Ｇ（１／３０００）　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,10
01101-4300-22.zip,札幌市中央区,01101,連Ｈ（１／３０００）　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,10
01101-4300-23.zip,札幌市中央区,01101,明　連Ｃ（１／５００）・数値,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,3
01101-4300-24.zip,札幌市中央区,01101,連Ｊ（１／１０００）　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,0
01101-4300-25.zip,札幌市中央区,01101,連Ｊ（１／１０００）　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,0
01101-4300-26.zip,札幌市中央区,01101,明　連Ｂ（１／５００）・数値　Ｈ１１,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,5
01101-4300-27.zip,札幌市中央区,01101,明細図　ＦＨ・ＥＨ・ＥＪ・連整・明　数値,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,29
01101-4300-28.zip,札幌市中央区,01101,連Ｊ（１／１０００）　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
01101-4300-29.zip,札幌市中央区,01101,連Ｂ（１／１２００）　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,0
01101-4300-3.zip,札幌市中央区,01101,区Ｄ（１／５００）　図郭座標無,任意座標系,ver1.0,,,,,19
01101-4300-30.zip,札幌市中央区,01101,連Ｂ（１／１２００）　図郭座標有,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,15
01101-4300-31.zip,札幌市中央区,01101,連Ａ明細図　数値,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
01101-4300-32.zip,札幌市中央区,01101,01101_2010_1,公共座標12系,ver1.0,測量,,,,7
01101-4300-33.zip,札幌市中央区,01101,01101_2011_1,公共座標12系,ver1.0,測量,,,,7
01101-4300-34.zip,札幌市中央区,01101,01101_2011_1,公共座標12系,ver1.0,測量,,,,15
01101-4300-35.zip,札幌市中央区,01101,01101,公共座標12系,ver1.0,測量,,,,9
01101-4300-36.zip,札幌市中央区,01101,01101_2014_1,公共座標12系,ver1.0,測量,,,,10
01101-4300-37.zip,札幌市中央区,01101,01101_2014_0,公共座標12系,ver1.0,測量,,,,15
01101-4300-38.zip,札幌市中央区,01101,01101_2015_1,公共座標12系,ver1.0,測量,,,,19
01101-4300-39.zip,札幌市中央区,01101,01101_2016_0,公共座標12系,ver1.0,測量,,,,13
01101-4300-4.zip,札幌市中央区,01101,区Ｅ（１／５００）・数値　Ｈ１１,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,5
01101-4300-40.zip,札幌市中央区,01101,01101_2018_0,公共座標12系,ver1.0,測量,,,,13
01101-4300-41.zip,札幌市中央区,01101,01101_2019_0,公共座標12系,ver1.0,測量,,,,21
01101-4300-42.zip,札幌市中央区,01101,01101_2018_1,公共座標12系,ver1.0,測量,,,,2
01101-4300-43.zip,札幌市中央区,01101,01100_2018_2,公共座標12系,ver1.0,測量,,,,2
01101-4300-44.zip,札幌市中央区,01101,01101_2019_1,公共座標12系,ver1.0,測量,,,,1
01101-4300-45.zip,札幌市中央区,01101,01101_2020_0,公共座標12系,ver1.0,測量,,,,22
01101-4300-46.zip,札幌市中央区,01101,01101_2020_0,公共座標12系,ver1.0,測量,,,,11
01101-4300-47.zip,札幌市中央区,01101,01101_2021_0,公共座標12系,ver1.0,測量,,,,21
01101-4300-48.zip,札幌市中央区,01101,01100_2020_1,公共座標12系,ver1.0,測量,,,,2
01101-4300-49.zip,札幌市中央区,01101,01101_2020_1,公共座標12系,ver1.0,測量,,,,3
01101-4300-5.zip,札幌市中央区,01101,明　円山西町・数値　Ｈ１１,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,7
01101-4300-6.zip,札幌市中央区,01101,明　伏見・数値　Ｈ１１,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,7
01101-4300-7.zip,札幌市中央区,01101,明　北１４・１５条図郭座標無・Ｈ１１,任意座標系,ver1.0,,,,,2
01101-4300-8.zip,札幌市中央区,01101,明　連整（１／５００）・数値　Ｈ１１,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
01101-4300-9.zip,札幌市中央区,01101,区Ａ（１／６００）　図郭座標無,任意座標系,ver1.0,,,,,50
01102-4306-1.zip,札幌市北区,01102,H14SK040112,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,15
01102-4306-10.zip,札幌市北区,01102,H15SK041005,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,11
01102-4306-11.zip,札幌市北区,01102,H15SK041105,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,8
01102-4306-12.zip,札幌市北区,01102,H15SK041205,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,16
01102-4306-13.zip,札幌市北区,01102,H15SK041305,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,15
01102-4306-14.zip,札幌市北区,01102,H15SK041405,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,20
01102-4306-15.zip,札幌市北区,01102,H15SK041505,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,20
01102-4306-16.zip,札幌市北区,01102,H15SK041605,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,2
01102-4306-17.zip,札幌市北区,01102,H15SK041705,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,3
01102-4306-18.zip,札幌市北区,01102,H15SK041805,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,7
01102-4306-19.zip,札幌市北区,01102,H15SK041810,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,1
01102-4306-2.zip,札幌市北区,01102,H14SK040205,公共座標12系,ver1.0,変換,TKY2JGD,1.3.77,2.1.1,20
