filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
05201-4100-1.zip,秋田市,05201,１７年度秋田市旧土地台帳下北手,任意座標系,ver1.0,,,,,2
05201-4100-10.zip,秋田市,05201,１７年度秋田市旧土地台帳土崎港Ｅ,任意座標系,ver1.0,,,,,31
05201-4100-100.zip,秋田市,05201,下北手黒川字黒川・新田・寺田・務沢,任意座標系,ver1.0,,,,,7
05201-4100-101.zip,秋田市,05201,下北手桜字小堤ヶ沢,任意座標系,ver1.0,,,,,2
05201-4100-102.zip,秋田市,05201,下北手桜字小堤ヶ沢・桜３丁目～４丁目,任意座標系,ver1.0,,,,,6
05201-4100-103.zip,秋田市,05201,下北手桜字真実ヶ沢・桜谷地,任意座標系,ver1.0,,,,,2
05201-4100-104.zip,秋田市,05201,下北手桜字袖ノ沢・宮ヶ沢・新桜谷地・他,任意座標系,ver1.0,,,,,12
05201-4100-105.zip,秋田市,05201,下北手桜字苔良谷地・他（和紙）,任意座標系,ver1.0,,,,,17
05201-4100-106.zip,秋田市,05201,下北手松崎・下北手寒川・大平目長崎・他,任意座標系,ver1.0,,,,,2
05201-4100-107.zip,秋田市,05201,下北手松崎字大沢田・字上崎・字前谷地・他,任意座標系,ver1.0,,,,,11
05201-4100-108.zip,秋田市,05201,下北手松崎字大沢田・字堤沢・字巻ノ沢,任意座標系,ver1.0,,,,,3
05201-4100-109.zip,秋田市,05201,下北手松崎字谷崎・字大巻・字碇・他,任意座標系,ver1.0,,,,,25
05201-4100-11.zip,秋田市,05201,１７年度秋田市旧土地台帳土崎港Ｆ,任意座標系,ver1.0,,,,,4
05201-4100-110.zip,秋田市,05201,下北手通沢字下前田,任意座標系,ver1.0,,,,,1
05201-4100-111.zip,秋田市,05201,下北手通沢字合ノ沢・他（和紙）,任意座標系,ver1.0,,,,,28
05201-4100-112.zip,秋田市,05201,下北手通沢字内山・字合沢・字中前田・他,任意座標系,ver1.0,,,,,12
05201-4100-113.zip,秋田市,05201,下北手通沢字内山・字上前田・他,任意座標系,ver1.0,,,,,23
05201-4100-114.zip,秋田市,05201,下北手宝川字愛ノ沢・姥ヶ沢・潤ヶ崎・他,任意座標系,ver1.0,,,,,16
05201-4100-115.zip,秋田市,05201,下北手宝川字姥ヶ沢,任意座標系,ver1.0,,,,,1
05201-4100-116.zip,秋田市,05201,下北手宝川字種ヶ崎・字堂ヶ下・他,任意座標系,ver1.0,,,,,14
05201-4100-117.zip,秋田市,05201,下北手宝川字大西ヶ沢・種ヶ崎・堂ノ下・他,任意座標系,ver1.0,,,,,16
05201-4100-118.zip,秋田市,05201,下北手柳館・下北手通沢・他,任意座標系,ver1.0,,,,,13
05201-4100-119.zip,秋田市,05201,萱ヶ沢・左手子,任意座標系,ver1.0,,,,,8
05201-4100-12.zip,秋田市,05201,１７年度秋田市旧土地台帳土崎港Ｊ,任意座標系,ver1.0,,,,,2
05201-4100-120.zip,秋田市,05201,下北手柳館字矢潟・潟頭・向田・和田・他,任意座標系,ver1.0,,,,,20
05201-4100-121.zip,秋田市,05201,下北手柳館字和田・新細谷,任意座標系,ver1.0,,,,,9
05201-4100-122.zip,秋田市,05201,下北手梨平字梨平・字登館・字向田,任意座標系,ver1.0,,,,,7
05201-4100-123.zip,秋田市,05201,萱ヶ沢Ａ,任意座標系,ver1.0,,,,,21
05201-4100-124.zip,秋田市,05201,外旭川字一本木・字土手下・他,任意座標系,ver1.0,,,,,23
05201-4100-125.zip,秋田市,05201,外旭川字梶ノ目・字神田,任意座標系,ver1.0,,,,,20
05201-4100-126.zip,秋田市,05201,外旭川字梶ノ目・他（和紙）,任意座標系,ver1.0,,,,,29
05201-4100-127.zip,秋田市,05201,外旭川字山崎・字梶ノ目・他,任意座標系,ver1.0,,,,,14
05201-4100-128.zip,秋田市,05201,外旭川字山崎・字潟ノ前・字家ノ前・他,任意座標系,ver1.0,,,,,23
05201-4100-129.zip,秋田市,05201,外旭川字神宮田・堂ノ前・在家・野村・他,任意座標系,ver1.0,,,,,16
05201-4100-13.zip,秋田市,05201,１７年度秋田市旧土地台帳土崎港Ｋ,任意座標系,ver1.0,,,,,1
05201-4100-130.zip,秋田市,05201,外旭川字神田・字一ノ堰・字木崎,任意座標系,ver1.0,,,,,10
05201-4100-131.zip,秋田市,05201,外旭川字大堤・字梶ノ目・他,任意座標系,ver1.0,,,,,26
