filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
17201-2200-1.zip,金沢市,17201,つつじが丘地区,任意座標系,ver1.0,,,,,1
17201-2200-10.zip,金沢市,17201,円光寺町ナ地区,任意座標系,ver1.0,,,,,1
17201-2200-100.zip,金沢市,17201,四十万町山林（元富奥村下新庄）他地区,任意座標系,ver1.0,,,,,21
17201-2200-101.zip,金沢市,17201,寺地,任意座標系,ver1.0,,,,,1
17201-2200-102.zip,金沢市,17201,寺津町地区,任意座標系,ver1.0,,,,,18
17201-2200-103.zip,金沢市,17201,寺町・清川町・法島町・十一屋町地区,任意座標系,ver1.0,,,,,27
17201-2200-104.zip,金沢市,17201,七曲町チ・前・川・野・坂字地区,任意座標系,ver1.0,,,,,8
17201-2200-105.zip,金沢市,17201,七曲町耕地区,任意座標系,ver1.0,,,,,8
17201-2200-106.zip,金沢市,17201,七曲町山林地区,任意座標系,ver1.0,,,,,3
17201-2200-107.zip,金沢市,17201,小立野,任意座標系,ver1.0,,,,,60
17201-2200-108.zip,金沢市,17201,住吉町耕地地区,任意座標系,ver1.0,,,,,22
17201-2200-109.zip,金沢市,17201,住吉町山林地区,任意座標系,ver1.0,,,,,8
17201-2200-11.zip,金沢市,17201,鴛原チ～ツ,任意座標系,ver1.0,,,,,12
17201-2200-110.zip,金沢市,17201,出羽町・本多町２丁目地区,任意座標系,ver1.0,,,,,3
17201-2200-111.zip,金沢市,17201,小原町山林地区,任意座標系,ver1.0,,,,,25
17201-2200-112.zip,金沢市,17201,小将・東兼六・扇・暁町・桜・天神地区,任意座標系,ver1.0,,,,,23
17201-2200-113.zip,金沢市,17201,上原町イ之部・白見町イ之部地区,任意座標系,ver1.0,,,,,1
17201-2200-114.zip,金沢市,17201,上原町耕地地区,任意座標系,ver1.0,,,,,7
17201-2200-115.zip,金沢市,17201,上原町山林地区,任意座標系,ver1.0,,,,,7
17201-2200-116.zip,金沢市,17201,上荒屋４丁目地区Ｂ,任意座標系,ver1.0,,,,,1
17201-2200-117.zip,金沢市,17201,上辰巳町（元土清水）,任意座標系,ver1.0,,,,,1
17201-2200-118.zip,金沢市,17201,上辰巳町イ・口地区,任意座標系,ver1.0,,,,,6
17201-2200-119.zip,金沢市,17201,上辰巳町壱・四～壱〇・壱六,任意座標系,ver1.0,,,,,11
17201-2200-12.zip,金沢市,17201,鴛原町イ,任意座標系,ver1.0,,,,,1
17201-2200-120.zip,金沢市,17201,城力町ロ之部地区,任意座標系,ver1.0,,,,,1
17201-2200-121.zip,金沢市,17201,城力町耕地地区,任意座標系,ver1.0,,,,,3
17201-2200-122.zip,金沢市,17201,城力町山林地区,任意座標系,ver1.0,,,,,8
17201-2200-123.zip,金沢市,17201,新保町山林・耕地地区,任意座標系,ver1.0,,,,,29
17201-2200-124.zip,金沢市,17201,新保本１丁目～５丁目地区,任意座標系,ver1.0,,,,,20
17201-2200-125.zip,金沢市,17201,進和町,任意座標系,ver1.0,,,,,1
17201-2200-126.zip,金沢市,17201,水渕町耕地地区,任意座標系,ver1.0,,,,,11
17201-2200-127.zip,金沢市,17201,水渕町山林地区,任意座標系,ver1.0,,,,,6
17201-2200-128.zip,金沢市,17201,菅池町耕地,任意座標系,ver1.0,,,,,2
17201-2200-129.zip,金沢市,17201,菅池町山林,任意座標系,ver1.0,,,,,3
17201-2200-13.zip,金沢市,17201,鴛原町ハ・ロ・ニ・ホ・ト・ヘ・イ,任意座標系,ver1.0,,,,,7
17201-2200-130.zip,金沢市,17201,瀬領町イ・ロ地区,任意座標系,ver1.0,,,,,8
17201-2200-131.zip,金沢市,17201,瀬領町地区,任意座標系,ver1.0,,,,,15
17201-2200-132.zip,金沢市,17201,清瀬町耕地地区,任意座標系,ver1.0,,,,,5
17201-2200-133.zip,金沢市,17201,清瀬町山林地区,任意座標系,ver1.0,,,,,10
17201-2200-134.zip,金沢市,17201,西金沢Ａ,任意座標系,ver1.0,,,,,2
17201-2200-135.zip,金沢市,17201,西金沢Ｂ,任意座標系,ver1.0,,,,,4
17201-2200-136.zip,金沢市,17201,西金沢Ｃ,任意座標系,ver1.0,,,,,3
17201-2200-137.zip,金沢市,17201,西金沢Ｄ,任意座標系,ver1.0,,,,,2
17201-2200-138.zip,金沢市,17201,西市瀬町イ字地区,任意座標系,ver1.0,,,,,5
17201-2200-139.zip,金沢市,17201,西市瀬町耕地地区,任意座標系,ver1.0,,,,,10
17201-2200-14.zip,金沢市,17201,鴛原町ホ,任意座標系,ver1.0,,,,,1
17201-2200-140.zip,金沢市,17201,西市瀬町山林地区,任意座標系,ver1.0,,,,,9
17201-2200-141.zip,金沢市,17201,石引１・２・３・４丁目地区,任意座標系,ver1.0,,,,,21
17201-2200-142.zip,金沢市,17201,石引町・飛梅町地区,任意座標系,ver1.0,,,,,2
17201-2200-143.zip,金沢市,17201,泉野町,任意座標系,ver1.0,,,,,2
17201-2200-144.zip,金沢市,17201,倉谷町耕地地区,任意座標系,ver1.0,,,,,2
17201-2200-145.zip,金沢市,17201,倉谷町山林地区,任意座標系,ver1.0,,,,,15
17201-2200-146.zip,金沢市,17201,相合谷町耕地,任意座標系,ver1.0,,,,,10
