filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
18201-2100-1.zip,福井市,18201,つくし野１丁目,任意座標系,ver1.0,,,,,1
18201-2100-10.zip,福井市,18201,鮎川町Ｆ,任意座標系,ver1.0,,,,,24
18201-2100-100.zip,福井市,18201,花野谷町,任意座標系,ver1.0,,,,,9
18201-2100-1000.zip,福井市,18201,帆谷町Ｂ,任意座標系,ver1.0,,,,,30
18201-2100-1001.zip,福井市,18201,品ケ瀬Ａ,任意座標系,ver1.0,,,,,11
18201-2100-1002.zip,福井市,18201,品ケ瀬Ｂ,任意座標系,ver1.0,,,,,20
18201-2100-1003.zip,福井市,18201,浜住町Ｂ,任意座標系,ver1.0,,,,,31
18201-2100-1004.zip,福井市,18201,浜島町Ｂ,任意座標系,ver1.0,,,,,11
18201-2100-1005.zip,福井市,18201,浜別所町,任意座標系,ver1.0,,,,,37
18201-2100-1006.zip,福井市,18201,布施田町Ｂ,任意座標系,ver1.0,,,,,24
18201-2100-1007.zip,福井市,18201,舞屋町Ａ,任意座標系,ver1.0,,,,,21
18201-2100-1008.zip,福井市,18201,本折Ａ,任意座標系,ver1.0,,,,,18
18201-2100-1009.zip,福井市,18201,別所町Ｂ,任意座標系,ver1.0,,,,,16
18201-2100-101.zip,福井市,18201,海老助町,任意座標系,ver1.0,,,,,15
18201-2100-1010.zip,福井市,18201,福井市一光奥平地区,任意座標系,ver1.0,,,,,31
18201-2100-1011.zip,福井市,18201,文京１～３丁目,任意座標系,ver1.0,,,,,42
18201-2100-1012.zip,福井市,18201,鉾々崎町,任意座標系,ver1.0,,,,,18
18201-2100-1013.zip,福井市,18201,鉾ケ崎町Ｂ,任意座標系,ver1.0,,,,,34
18201-2100-1014.zip,福井市,18201,北四ツ居１～３丁目,任意座標系,ver1.0,,,,,5
18201-2100-1015.zip,福井市,18201,北菅生町,任意座標系,ver1.0,,,,,17
18201-2100-1016.zip,福井市,18201,北楢原町,任意座標系,ver1.0,,,,,9
18201-2100-1017.zip,福井市,18201,末町Ｄ,任意座標系,ver1.0,,,,,20
18201-2100-1018.zip,福井市,18201,末広町Ｂ,任意座標系,ver1.0,,,,,10
18201-2100-1019.zip,福井市,18201,末町Ｅ,任意座標系,ver1.0,,,,,17
18201-2100-102.zip,福井市,18201,開発１～５丁目,任意座標系,ver1.0,,,,,14
18201-2100-1020.zip,福井市,18201,末町Ｆ,任意座標系,ver1.0,,,,,22
18201-2100-1021.zip,福井市,18201,蓑町Ｂ,任意座標系,ver1.0,,,,,18
18201-2100-1022.zip,福井市,18201,木田１丁目,任意座標系,ver1.0,,,,,9
18201-2100-1023.zip,福井市,18201,寮町Ｂ,任意座標系,ver1.0,,,,,40
18201-2100-1024.zip,福井市,18201,林町Ａ,任意座標系,ver1.0,,,,,20
18201-2100-1025.zip,福井市,18201,和田１・２丁目,任意座標系,ver1.0,,,,,14
18201-2100-1026.zip,福井市,18201,和田中町Ｂ,任意座標系,ver1.0,,,,,10
18201-2100-1027.zip,福井市,18201,和布町Ｂ,任意座標系,ver1.0,,,,,29
18201-2100-1028.zip,福井市,18201,脇三ケ町Ａ,任意座標系,ver1.0,,,,,21
18201-2100-1029.zip,福井市,18201,脇三ケ町Ｅ,任意座標系,ver1.0,,,,,13
