filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
29201-1500-1.zip,奈良市,29201,AWS1myougatyou20A01,公共座標6系,ver1.0,測量,,,,32
29201-1500-10.zip,奈良市,29201,BXF2harigabessy20A01,任意座標系,ver1.0,,,,,4
29201-1500-100.zip,奈良市,29201,BZK4hyakurakuen20A01,任意座標系,ver1.0,,,,,1
29201-1500-101.zip,奈良市,29201,BZK4isikityou20A01,任意座標系,ver1.0,,,,,1
29201-1500-102.zip,奈良市,29201,BZK4kodonotyou20A01,任意座標系,ver1.0,,,,,1
29201-1500-103.zip,奈良市,29201,BZK4mitugarasu20A01,任意座標系,ver1.0,,,,,1
29201-1500-104.zip,奈良市,29201,BZK4mitugarasu20A02,任意座標系,ver1.0,,,,,1
29201-1500-105.zip,奈良市,29201,BZK4mitugarasu20A03,任意座標系,ver1.0,,,,,1
29201-1500-106.zip,奈良市,29201,BZK4nakamati20A01,任意座標系,ver1.0,,,,,1
29201-1500-107.zip,奈良市,29201,BZK4nakamati20A02,任意座標系,ver1.0,,,,,1
29201-1500-108.zip,奈良市,29201,BZK4nakayamatyo20A01,任意座標系,ver1.0,,,,,1
29201-1500-109.zip,奈良市,29201,BZK4oguratyou20A01,任意座標系,ver1.0,,,,,1
29201-1500-11.zip,奈良市,29201,BXF2iutyou20A01,任意座標系,ver1.0,,,,,3
29201-1500-110.zip,奈良市,29201,BZK4oguratyou20A02,任意座標系,ver1.0,,,,,0
29201-1500-111.zip,奈良市,29201,BZK4osikumatyou20A01,任意座標系,ver1.0,,,,,1
29201-1500-112.zip,奈良市,29201,BZK4osikumatyou20A02,任意座標系,ver1.0,,,,,1
29201-1500-113.zip,奈良市,29201,BZK4osikumatyou20A03,任意座標系,ver1.0,,,,,1
29201-1500-114.zip,奈良市,29201,BZK4rokujyou20A01,任意座標系,ver1.0,,,,,1
29201-1500-115.zip,奈良市,29201,BZK4rokujyounis20A01,任意座標系,ver1.0,,,,,1
29201-1500-116.zip,奈良市,29201,BZK4saidaiziako20A01,任意座標系,ver1.0,,,,,1
29201-1500-117.zip,奈良市,29201,BZK4saidaizikun20A01,任意座標系,ver1.0,,,,,1
29201-1500-118.zip,奈良市,29201,BZK4tedukayaman20A01,任意座標系,ver1.0,,,,,1
29201-1500-119.zip,奈良市,29201,BZK4tomigaoka20A01,任意座標系,ver1.0,,,,,1
29201-1500-12.zip,奈良市,29201,BXF2iutyou20A02,任意座標系,ver1.0,,,,,2
29201-1500-120.zip,奈良市,29201,BZK4tomiokawani20A01,任意座標系,ver1.0,,,,,1
29201-1500-121.zip,奈良市,29201,BZK4tomiokita20A01,任意座標系,ver1.0,,,,,1
29201-1500-122.zip,奈良市,29201,BZK4tugehayamat20A01,任意座標系,ver1.0,,,,,1
29201-1500-123.zip,奈良市,29201,BZK4tugehayamat20A02,任意座標系,ver1.0,,,,,1
29201-1500-124.zip,奈良市,29201,BZK4tugeminamin20A01,任意座標系,ver1.0,,,,,0
29201-1500-125.zip,奈良市,29201,BZK4tugeminamin20A02,任意座標系,ver1.0,,,,,1
29201-1500-126.zip,奈良市,29201,BZK4utahimetyou20A01,任意座標系,ver1.0,,,,,1
29201-1500-127.zip,奈良市,29201,H16N1701500,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.1.2,19
29201-1500-128.zip,奈良市,29201,H16N1702500,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.1.2,1
29201-1500-129.zip,奈良市,29201,H16N1703500,公共座標6系,ver1.0,測量,,,,2
