filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
34101-2400-1.zip,広島市中区,34101,基町Ｄ,任意座標系,ver1.0,,,,,1
34101-2400-10.zip,広島市中区,34101,西白島町-100,任意座標系,ver1.0,,,,,4
34101-2400-100.zip,広島市中区,34101,吉島町,公共座標3系,ver1.0,測量,,,,1
34101-2400-101.zip,広島市中区,34101,吉島東二丁目Z,公共座標3系,ver1.0,測量,,,,1
34101-2400-102.zip,広島市中区,34101,江波南一丁目埋立地,公共座標3系,ver1.0,測量,,,,1
34101-2400-103.zip,広島市中区,34101,南千田西町Ａ,公共座標3系,ver1.0,測量,,,,1
34101-2400-104.zip,広島市中区,34101,南千田西町Ａ,公共座標3系,ver1.0,測量,,,,1
34101-2400-11.zip,広島市中区,34101,千田町Ａ,任意座標系,ver1.0,,,,,1
34101-2400-12.zip,広島市中区,34101,千田町Ｂ,任意座標系,ver1.0,,,,,4
34101-2400-13.zip,広島市中区,34101,中区・羽衣町,任意座標系,ver1.0,,,,,5
34101-2400-14.zip,広島市中区,34101,中区・榎町,任意座標系,ver1.0,,,,,4
34101-2400-15.zip,広島市中区,34101,中区・加古町,任意座標系,ver1.0,,,,,3
34101-2400-16.zip,広島市中区,34101,中区・河原町,任意座標系,ver1.0,,,,,4
34101-2400-17.zip,広島市中区,34101,中区・基町Ａ,任意座標系,ver1.0,,,,,29
34101-2400-18.zip,広島市中区,34101,中区・基町Ｂ,任意座標系,ver1.0,,,,,1
34101-2400-19.zip,広島市中区,34101,中区・吉島町,任意座標系,ver1.0,,,,,4
34101-2400-2.zip,広島市中区,34101,吉島東２丁目,任意座標系,ver1.0,,,,,3
34101-2400-20.zip,広島市中区,34101,中区・橋本町,任意座標系,ver1.0,,,,,3
34101-2400-21.zip,広島市中区,34101,中区・銀山町,任意座標系,ver1.0,,,,,3
34101-2400-22.zip,広島市中区,34101,中区・胡町,任意座標系,ver1.0,,,,,2
34101-2400-23.zip,広島市中区,34101,中区・国泰寺町,任意座標系,ver1.0,,,,,10
34101-2400-24.zip,広島市中区,34101,中区・三川町,任意座標系,ver1.0,,,,,2
34101-2400-25.zip,広島市中区,34101,中区・紙屋町,任意座標系,ver1.0,,,,,3
34101-2400-26.zip,広島市中区,34101,中区・舟入中町,任意座標系,ver1.0,,,,,4
34101-2400-27.zip,広島市中区,34101,中区・舟入町,任意座標系,ver1.0,,,,,4
34101-2400-28.zip,広島市中区,34101,中区・舟入南Ａ,任意座標系,ver1.0,,,,,1
34101-2400-29.zip,広島市中区,34101,中区・舟入南Ｂ,任意座標系,ver1.0,,,,,1
34101-2400-3.zip,広島市中区,34101,江波沖町,任意座標系,ver1.0,,,,,1
34101-2400-30.zip,広島市中区,34101,中区・舟入本町,任意座標系,ver1.0,,,,,4
34101-2400-31.zip,広島市中区,34101,中区・住吉町,任意座標系,ver1.0,,,,,3
34101-2400-32.zip,広島市中区,34101,中区・十日市町,任意座標系,ver1.0,,,,,4
34101-2400-33.zip,広島市中区,34101,中区・小町,任意座標系,ver1.0,,,,,7
34101-2400-34.zip,広島市中区,34101,中区・小網町,任意座標系,ver1.0,,,,,2
34101-2400-35.zip,広島市中区,34101,中区・昭和町,任意座標系,ver1.0,,,,,5
34101-2400-36.zip,広島市中区,34101,中区・上織町Ａ,任意座標系,ver1.0,,,,,1
34101-2400-37.zip,広島市中区,34101,中区・上織町Ｂ,任意座標系,ver1.0,,,,,1
34101-2400-38.zip,広島市中区,34101,中区・上八丁堀,任意座標系,ver1.0,,,,,9
34101-2400-39.zip,広島市中区,34101,中区・新天地,任意座標系,ver1.0,,,,,1
34101-2400-4.zip,広島市中区,34101,江波西２丁目,任意座標系,ver1.0,,,,,3
34101-2400-40.zip,広島市中区,34101,中区・西十日市町,任意座標系,ver1.0,,,,,2
34101-2400-41.zip,広島市中区,34101,中区・西平塚町,任意座標系,ver1.0,,,,,3
34101-2400-42.zip,広島市中区,34101,中区・袋町,任意座標系,ver1.0,,,,,4
34101-2400-43.zip,広島市中区,34101,中区・大手町,任意座標系,ver1.0,,,,,24
34101-2400-44.zip,広島市中区,34101,中区・竹屋町,任意座標系,ver1.0,,,,,3
34101-2400-45.zip,広島市中区,34101,中区・中町,任意座標系,ver1.0,,,,,3
34101-2400-46.zip,広島市中区,34101,中区・中島町,任意座標系,ver1.0,,,,,9
34101-2400-47.zip,広島市中区,34101,中区・鶴見町,任意座標系,ver1.0,,,,,6
34101-2400-48.zip,広島市中区,34101,中区・鉄砲町,任意座標系,ver1.0,,,,,3
34101-2400-49.zip,広島市中区,34101,中区・田中町,任意座標系,ver1.0,,,,,1
34101-2400-5.zip,広島市中区,34101,江波東２丁目,任意座標系,ver1.0,,,,,1
34101-2400-50.zip,広島市中区,34101,中区・土橋町,任意座標系,ver1.0,,,,,2
34101-2400-51.zip,広島市中区,34101,中区・東平塚町,任意座標系,ver1.0,,,,,3
34101-2400-52.zip,広島市中区,34101,中区・白島北町Ａ,任意座標系,ver1.0,,,,,1
34101-2400-53.zip,広島市中区,34101,中区・八丁堀,任意座標系,ver1.0,,,,,4
34101-2400-54.zip,広島市中区,34101,中区・富士見町,任意座標系,ver1.0,,,,,7
34101-2400-55.zip,広島市中区,34101,中区・宝町,任意座標系,ver1.0,,,,,5
34101-2400-56.zip,広島市中区,34101,中区・堀川町,任意座標系,ver1.0,,,,,2
34101-2400-57.zip,広島市中区,34101,中区・本通,任意座標系,ver1.0,,,,,3
34101-2400-58.zip,広島市中区,34101,中区・弥生町,任意座標系,ver1.0,,,,,1
34101-2400-59.zip,広島市中区,34101,中区・立町,任意座標系,ver1.0,,,,,2
34101-2400-6.zip,広島市中区,34101,江波南１丁目,任意座標系,ver1.0,,,,,5
34101-2400-60.zip,広島市中区,34101,中区・流川町,任意座標系,ver1.0,,,,,2
34101-2400-61.zip,広島市中区,34101,中区・幟町,任意座標系,ver1.0,,,,,7
34101-2400-62.zip,広島市中区,34101,南吉島一丁目,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,1
34101-2400-63.zip,広島市中区,34101,南千田西町１５Ａ０１,任意座標系,ver1.0,,,,,2
34101-2400-64.zip,広島市中区,34101,南千田西町Ｂ,任意座標系,ver1.0,,,,,6
34101-2400-65.zip,広島市中区,34101,南千田西町Ｃ,任意座標系,ver1.0,,,,,2
34101-2400-66.zip,広島市中区,34101,南千田東町,任意座標系,ver1.0,,,,,4
34101-2400-67.zip,広島市中区,34101,南千田東町新規,公共座標3系,ver1.0,測量,,,,2
34101-2400-68.zip,広島市中区,34101,楠木町１～４丁目,任意座標系,ver1.0,,,,,14
34101-2400-69.zip,広島市中区,34101,白島北町100,任意座標系,ver1.0,,,,,1
