filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
41201-3000-1.zip,佐賀市,41201,愛敬町,任意座標系,ver1.0,,,,,2
41201-3000-10.zip,佐賀市,41201,１９９４土地改良図諸富町大字為重,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,1
41201-3000-100.zip,佐賀市,41201,大字藤原１９９９年１１月Ｂ,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,82
41201-3000-101.zip,佐賀市,41201,大字福富,任意座標系,ver1.0,,,,,1
41201-3000-102.zip,佐賀市,41201,大字薬師丸,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,62
41201-3000-103.zip,佐賀市,41201,大堂・山領・徳富（１９８９年調査）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,48
41201-3000-104.zip,佐賀市,41201,大堂・山領（１９９２年１１月調査）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,12
41201-3000-105.zip,佐賀市,41201,大堂・徳富（１９８５年調査）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,56
41201-3000-106.zip,佐賀市,41201,大堂（１９８７年調査）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,81
41201-3000-107.zip,佐賀市,41201,大詫間・大川市（平成９年１１月調査）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,26
41201-3000-108.zip,佐賀市,41201,柳町,任意座標系,ver1.0,,,,,1
41201-3000-109.zip,佐賀市,41201,大詫間（平成７年１０月調査）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,170
41201-3000-11.zip,佐賀市,41201,１９９５土改・犬井道,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,171
41201-3000-110.zip,佐賀市,41201,大詫間（平成７年１月調査）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,66
41201-3000-111.zip,佐賀市,41201,大詫間（平成９年１月調査）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,35
41201-3000-112.zip,佐賀市,41201,中原平成８年度土地改良,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
41201-3000-113.zip,佐賀市,41201,朝日町・赤松町・今宿町・鬼丸町・他,任意座標系,ver1.0,,,,,16
41201-3000-114.zip,佐賀市,41201,天神１～３丁目,任意座標系,ver1.0,,,,,7
41201-3000-115.zip,佐賀市,41201,唐人１丁目,任意座標系,ver1.0,,,,,2
41201-3000-116.zip,佐賀市,41201,唐人２丁目,任意座標系,ver1.0,,,,,4
41201-3000-117.zip,佐賀市,41201,東与賀町（１９８６）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,135
41201-3000-118.zip,佐賀市,41201,東与賀町（１９９０）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,89
41201-3000-119.zip,佐賀市,41201,東与賀町（１９９１）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,89
41201-3000-12.zip,佐賀市,41201,１９９４土地改良図大字福富・鹿江・他,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,157
41201-3000-120.zip,佐賀市,41201,東与賀町（土地改良１９７４、１９８２）Ａ,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,123
41201-3000-121.zip,佐賀市,41201,徳富字大津,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,7
41201-3000-122.zip,佐賀市,41201,東与賀町下古賀（１９９４年）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,6
41201-3000-123.zip,佐賀市,41201,藤瀬・古場昭和５２年度地籍図,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,6
41201-3000-124.zip,佐賀市,41201,藤瀬平成８年度土地改良,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,8
41201-3000-125.zip,佐賀市,41201,白山１・２丁目,任意座標系,ver1.0,,,,,3
41201-3000-126.zip,佐賀市,41201,尼寺年度不明地籍図,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
41201-3000-127.zip,佐賀市,41201,尼寺平成１１年度地籍図,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
41201-3000-128.zip,佐賀市,41201,梅野昭和５１年度地籍図Ｃ,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,6
41201-3000-129.zip,佐賀市,41201,梅野平成１１年度土地改良,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,8
41201-3000-13.zip,佐賀市,41201,１９９６土改・久保泉町下和泉外,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,77
41201-3000-130.zip,佐賀市,41201,八戸・上深町,任意座標系,ver1.0,,,,,17
41201-3000-131.zip,佐賀市,41201,八戸（１９７９年調査）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,13
41201-3000-132.zip,佐賀市,41201,八戸１・２丁目・六座町・与賀町字四谷・他,任意座標系,ver1.0,,,,,1
41201-3000-133.zip,佐賀市,41201,緑小路,任意座標系,ver1.0,,,,,3
41201-3000-134.zip,佐賀市,41201,飯盛（１９８２調査）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
41201-3000-135.zip,佐賀市,41201,兵庫南１・２丁目,任意座標系,ver1.0,,,,,18
41201-3000-136.zip,佐賀市,41201,兵庫南３・４丁目,任意座標系,ver1.0,,,,,14
