filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
42201-3100-1.zip,長崎市,42201,かき道１・４～６丁目,公共座標1系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,8
42201-3100-10.zip,長崎市,42201,かき道４～６丁目,公共座標1系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,13
42201-3100-100.zip,長崎市,42201,古河町・国分・小菅・戸田２・３丁目Ｃ地区,任意座標系,ver1.0,,,,,16
42201-3100-101.zip,長崎市,42201,古賀町・つつじが丘１～３丁目,任意座標系,ver1.0,,,,,22
42201-3100-102.zip,長崎市,42201,古賀町・鶴の尾町,任意座標系,ver1.0,,,,,19
42201-3100-103.zip,長崎市,42201,古道町,任意座標系,ver1.0,,,,,6
42201-3100-104.zip,長崎市,42201,古道町（２３８ー４別図）,任意座標系,ver1.0,,,,,1
42201-3100-105.zip,長崎市,42201,戸石町Ｂ,公共座標1系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
42201-3100-106.zip,長崎市,42201,戸石町土地改良所在図,任意座標系,ver1.0,,,,,3
42201-3100-107.zip,長崎市,42201,戸町１丁目,任意座標系,ver1.0,,,,,1
42201-3100-108.zip,長崎市,42201,戸町３丁目,任意座標系,ver1.0,,,,,1
42201-3100-109.zip,長崎市,42201,御船蔵町・西坂町・他,任意座標系,ver1.0,,,,,3
42201-3100-11.zip,長崎市,42201,かき道５・６丁目,公共座標1系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
42201-3100-110.zip,長崎市,42201,向町Ａ地区,任意座標系,ver1.0,,,,,29
42201-3100-111.zip,長崎市,42201,向町Ｂ地区,任意座標系,ver1.0,,,,,17
42201-3100-112.zip,長崎市,42201,向町Ｃ地区,任意座標系,ver1.0,,,,,15
42201-3100-113.zip,長崎市,42201,江の浦別図４,任意座標系,ver1.0,,,,,1
42201-3100-114.zip,長崎市,42201,江川町,任意座標系,ver1.0,,,,,7
42201-3100-115.zip,長崎市,42201,江平１・２・３丁目Ａ,任意座標系,ver1.0,,,,,11
42201-3100-116.zip,長崎市,42201,江平１・２・３丁目Ｂ,任意座標系,ver1.0,,,,,10
42201-3100-117.zip,長崎市,42201,江平１丁目（数値図）,公共座標1系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,7
42201-3100-118.zip,長崎市,42201,高島町Ｂ地区,任意座標系,ver1.0,,,,,2
42201-3100-119.zip,長崎市,42201,高浜Ａ,公共座標1系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,156
42201-3100-12.zip,長崎市,42201,かき道５丁目,公共座標1系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
42201-3100-120.zip,長崎市,42201,高浜Ｂ,公共座標1系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,46
42201-3100-121.zip,長崎市,42201,高平町・愛宕１・２丁目,任意座標系,ver1.0,,,,,4
42201-3100-122.zip,長崎市,42201,高平町・愛宕１丁目（拡大）,任意座標系,ver1.0,,,,,5
42201-3100-123.zip,長崎市,42201,高平町他（拡大）,任意座標系,ver1.0,,,,,5
42201-3100-124.zip,長崎市,42201,黒浜以下宿,公共座標1系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,79
