filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
08201-0500-1.zip,水戸市,08201,栄町１丁目,任意座標系,ver1.0,,,,,4
08201-0500-10.zip,水戸市,08201,牛伏Ａ,任意座標系,ver1.0,,,,,0
08201-0500-100.zip,水戸市,08201,圷大野,任意座標系,ver1.0,,,,,5
08201-0500-101.zip,水戸市,08201,千波町Ａ,任意座標系,ver1.0,,,,,16
08201-0500-102.zip,水戸市,08201,千波町Ｄ,任意座標系,ver1.0,,,,,14
08201-0500-103.zip,水戸市,08201,千波町Ｆ,任意座標系,ver1.0,,,,,17
08201-0500-104.zip,水戸市,08201,元吉田町Ｃ,任意座標系,ver1.0,,,,,4
08201-0500-105.zip,水戸市,08201,吉沢町・住吉町,任意座標系,ver1.0,,,,,8
08201-0500-106.zip,水戸市,08201,吉沢町・東野町,任意座標系,ver1.0,,,,,0
08201-0500-107.zip,水戸市,08201,元吉田町Ｋ,任意座標系,ver1.0,,,,,3
08201-0500-108.zip,水戸市,08201,五平,任意座標系,ver1.0,,,,,0
08201-0500-109.zip,水戸市,08201,酒門町,任意座標系,ver1.0,,,,,1
08201-0500-11.zip,水戸市,08201,牛伏Ｂ,任意座標系,ver1.0,,,,,1
08201-0500-110.zip,水戸市,08201,千波町・笠原町・米沢町,任意座標系,ver1.0,,,,,1
08201-0500-111.zip,水戸市,08201,鯉淵・五平・小林・小原,任意座標系,ver1.0,,,,,4
08201-0500-112.zip,水戸市,08201,笠原町Ａ,任意座標系,ver1.0,,,,,26
08201-0500-113.zip,水戸市,08201,笠原町Ｂ,任意座標系,ver1.0,,,,,28
08201-0500-114.zip,水戸市,08201,笠原町Ｃ,任意座標系,ver1.0,,,,,20
08201-0500-115.zip,水戸市,08201,金谷町,任意座標系,ver1.0,,,,,13
08201-0500-116.zip,水戸市,08201,金町１丁目,任意座標系,ver1.0,,,,,4
08201-0500-117.zip,水戸市,08201,金町２丁目,任意座標系,ver1.0,,,,,4
08201-0500-118.zip,水戸市,08201,金町３丁目,任意座標系,ver1.0,,,,,5
08201-0500-119.zip,水戸市,08201,赤塚２丁目,任意座標系,ver1.0,,,,,6
08201-0500-12.zip,水戸市,08201,見川町・小吹町,任意座標系,ver1.0,,,,,3
08201-0500-120.zip,水戸市,08201,大町１丁目,任意座標系,ver1.0,,,,,2
08201-0500-121.zip,水戸市,08201,栄町２丁目,任意座標系,ver1.0,,,,,5
08201-0500-122.zip,水戸市,08201,河和田１丁目,任意座標系,ver1.0,,,,,21
08201-0500-123.zip,水戸市,08201,河和田２・３丁目,任意座標系,ver1.0,,,,,7
08201-0500-124.zip,水戸市,08201,五軒町１～３丁目,任意座標系,ver1.0,,,,,8
08201-0500-125.zip,水戸市,08201,柵町２丁目,任意座標系,ver1.0,,,,,3
08201-0500-126.zip,水戸市,08201,住吉町,任意座標系,ver1.0,,,,,1
08201-0500-127.zip,水戸市,08201,小吹町Ｄ,任意座標系,ver1.0,,,,,19
08201-0500-128.zip,水戸市,08201,上河内町,任意座標系,ver1.0,,,,,13
08201-0500-129.zip,水戸市,08201,上水戸２丁目,任意座標系,ver1.0,,,,,1
08201-0500-13.zip,水戸市,08201,元吉田町Ａ,任意座標系,ver1.0,,,,,1
08201-0500-130.zip,水戸市,08201,上水戸３丁目,任意座標系,ver1.0,,,,,1
08201-0500-131.zip,水戸市,08201,新原２丁目,任意座標系,ver1.0,,,,,10
08201-0500-132.zip,水戸市,08201,西大野,任意座標系,ver1.0,,,,,10
08201-0500-133.zip,水戸市,08201,中丸町Ｂ,任意座標系,ver1.0,,,,,4
08201-0500-134.zip,水戸市,08201,北見町,任意座標系,ver1.0,,,,,6
08201-0500-135.zip,水戸市,08201,末広町１丁目,任意座標系,ver1.0,,,,,3
08201-0500-136.zip,水戸市,08201,上水戸１丁目,任意座標系,ver1.0,,,,,2
08201-0500-137.zip,水戸市,08201,新原１丁目,任意座標系,ver1.0,,,,,0
08201-0500-138.zip,水戸市,08201,大工町２丁目,任意座標系,ver1.0,,,,,3
08201-0500-139.zip,水戸市,08201,ちとせ２丁目,任意座標系,ver1.0,,,,,4
08201-0500-14.zip,水戸市,08201,元吉田町Ｂ,任意座標系,ver1.0,,,,,3
08201-0500-140.zip,水戸市,08201,ちとせ１丁目,任意座標系,ver1.0,,,,,6
08201-0500-141.zip,水戸市,08201,愛宕町,任意座標系,ver1.0,,,,,9
08201-0500-142.zip,水戸市,08201,見川１丁目,任意座標系,ver1.0,,,,,18
08201-0500-143.zip,水戸市,08201,見川２丁目,任意座標系,ver1.0,,,,,19
08201-0500-144.zip,水戸市,08201,見川４丁目Ａ,任意座標系,ver1.0,,,,,20
08201-0500-145.zip,水戸市,08201,三の丸１丁目,任意座標系,ver1.0,,,,,9
08201-0500-146.zip,水戸市,08201,三の丸２丁目,任意座標系,ver1.0,,,,,10
