filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
10201-0700-1.zip,前橋市,10201,ヌデ島町,任意座標系,ver1.0,,,,,23
10201-0700-10.zip,前橋市,10201,下細井町（５）,任意座標系,ver1.0,,,,,1
10201-0700-100.zip,前橋市,10201,三俣町三丁目,任意座標系,ver1.0,,,,,11
10201-0700-101.zip,前橋市,10201,山王町２丁目昭和５５年,任意座標系,ver1.0,,,,,10
10201-0700-102.zip,前橋市,10201,若宮１丁目Ｂ,任意座標系,ver1.0,,,,,0
10201-0700-103.zip,前橋市,10201,若宮町一丁目,任意座標系,ver1.0,,,,,4
10201-0700-104.zip,前橋市,10201,若宮町三丁目,任意座標系,ver1.0,,,,,8
10201-0700-105.zip,前橋市,10201,若宮町四丁目,任意座標系,ver1.0,,,,,12
10201-0700-106.zip,前橋市,10201,若宮町二丁目,任意座標系,ver1.0,,,,,6
10201-0700-107.zip,前橋市,10201,住吉町一丁目Ａ,任意座標系,ver1.0,,,,,4
10201-0700-108.zip,前橋市,10201,昭和町,任意座標系,ver1.0,,,,,4
10201-0700-109.zip,前橋市,10201,住吉町二丁目,任意座標系,ver1.0,,,,,4
10201-0700-11.zip,前橋市,10201,下石倉町,任意座標系,ver1.0,,,,,8
10201-0700-110.zip,前橋市,10201,女屋町（２）,任意座標系,ver1.0,,,,,9
10201-0700-111.zip,前橋市,10201,女屋町（３）,任意座標系,ver1.0,,,,,7
10201-0700-112.zip,前橋市,10201,女屋町（和紙）,任意座標系,ver1.0,,,,,4
10201-0700-113.zip,前橋市,10201,勝沢町Ａ,任意座標系,ver1.0,,,,,5
10201-0700-114.zip,前橋市,10201,勝沢町Ｂ,任意座標系,ver1.0,,,,,2
10201-0700-115.zip,前橋市,10201,勝沢町Ｃ,任意座標系,ver1.0,,,,,3
10201-0700-116.zip,前橋市,10201,勝沢町Ｄ,任意座標系,ver1.0,,,,,4
10201-0700-117.zip,前橋市,10201,小屋原町,任意座標系,ver1.0,,,,,1
10201-0700-118.zip,前橋市,10201,小屋原町（和紙、マイラー）,任意座標系,ver1.0,,,,,30
10201-0700-119.zip,前橋市,10201,小屋原町昭和４４年,任意座標系,ver1.0,,,,,13
10201-0700-12.zip,前橋市,10201,下川町,任意座標系,ver1.0,,,,,16
10201-0700-120.zip,前橋市,10201,小屋原町昭和５３年,任意座標系,ver1.0,,,,,30
10201-0700-121.zip,前橋市,10201,小坂子町Ａ,任意座標系,ver1.0,,,,,2
10201-0700-122.zip,前橋市,10201,小坂子町Ｂ,任意座標系,ver1.0,,,,,6
10201-0700-123.zip,前橋市,10201,小坂子町昭和５７年Ｂ,任意座標系,ver1.0,,,,,2
10201-0700-124.zip,前橋市,10201,小坂子町昭和５８年Ａ,任意座標系,ver1.0,,,,,47
10201-0700-125.zip,前橋市,10201,小坂子町昭和５８年Ｂ,任意座標系,ver1.0,,,,,35
