filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
11101-0300-1.zip,さいたま市西区,11101,ＪＲ－２（西区）,任意座標系,ver1.0,,,,,10
11101-0300-10.zip,さいたま市西区,11101,西遊馬Ａ,任意座標系,ver1.0,,,,,33
11101-0300-11.zip,さいたま市西区,11101,西遊馬Ｂ,任意座標系,ver1.0,,,,,30
11101-0300-12.zip,さいたま市西区,11101,西遊馬Ｃ,任意座標系,ver1.0,,,,,25
11101-0300-13.zip,さいたま市西区,11101,西遊馬Ｄ,任意座標系,ver1.0,,,,,23
11101-0300-14.zip,さいたま市西区,11101,塚本,任意座標系,ver1.0,,,,,22
11101-0300-15.zip,さいたま市西区,11101,塚本町１丁目,任意座標系,ver1.0,,,,,8
11101-0300-16.zip,さいたま市西区,11101,塚本町２丁目,任意座標系,ver1.0,,,,,10
11101-0300-17.zip,さいたま市西区,11101,塚本町３丁目,任意座標系,ver1.0,,,,,9
11101-0300-18.zip,さいたま市西区,11101,島根Ａ,任意座標系,ver1.0,,,,,35
11101-0300-19.zip,さいたま市西区,11101,島根Ｂ,任意座標系,ver1.0,,,,,3
11101-0300-2.zip,さいたま市西区,11101,宮前町,任意座標系,ver1.0,,,,,23
11101-0300-20.zip,さいたま市西区,11101,湯木町１丁目,任意座標系,ver1.0,,,,,4
11101-0300-21.zip,さいたま市西区,11101,湯木町２丁目,任意座標系,ver1.0,,,,,5
11101-0300-22.zip,さいたま市西区,11101,二ツ宮Ｂ,任意座標系,ver1.0,,,,,31
11101-0300-23.zip,さいたま市西区,11101,二ツ宮Ｃ,任意座標系,ver1.0,,,,,28
11101-0300-24.zip,さいたま市西区,11101,飯田,任意座標系,ver1.0,,,,,18
11101-0300-25.zip,さいたま市西区,11101,飯田新田,任意座標系,ver1.0,,,,,29
11101-0300-26.zip,さいたま市西区,11101,平成１５年度　飯田,任意座標系,ver1.0,,,,,1
11101-0300-27.zip,さいたま市西区,11101,平方領領家,任意座標系,ver1.0,,,,,7
11101-0300-28.zip,さいたま市西区,11101,宝来,任意座標系,ver1.0,,,,,49
11101-0300-29.zip,さいたま市西区,11101,峰岸,任意座標系,ver1.0,,,,,7
11101-0300-3.zip,さいたま市西区,11101,高木,任意座標系,ver1.0,,,,,35
11101-0300-30.zip,さいたま市西区,11101,プラザ,任意座標系,ver1.0,,,,,11
11101-0300-31.zip,さいたま市西区,11101,佐知川,任意座標系,ver1.0,,,,,31
