filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
12101-0400-1.zip,千葉市中央区,12101,旭町,任意座標系,ver1.0,,,,,1
12101-0400-10.zip,千葉市中央区,12101,花輪町,任意座標系,ver1.0,,,,,21
12101-0400-100.zip,千葉市中央区,12101,弁天３丁目Ｂ,任意座標系,ver1.0,,,,,1
12101-0400-101.zip,千葉市中央区,12101,弁天町・弁天１～４丁目,任意座標系,ver1.0,,,,,14
12101-0400-102.zip,千葉市中央区,12101,本千葉町Ａ,任意座標系,ver1.0,,,,,2
12101-0400-103.zip,千葉市中央区,12101,本千葉町Ｂ,任意座標系,ver1.0,,,,,6
12101-0400-104.zip,千葉市中央区,12101,本町１丁目,任意座標系,ver1.0,,,,,1
12101-0400-105.zip,千葉市中央区,12101,末広２丁目,任意座標系,ver1.0,,,,,3
12101-0400-106.zip,千葉市中央区,12101,問屋町,任意座標系,ver1.0,,,,,7
12101-0400-107.zip,千葉市中央区,12101,矢作町Ｂ,任意座標系,ver1.0,,,,,13
12101-0400-108.zip,千葉市中央区,12101,祐光１・２丁目,任意座標系,ver1.0,,,,,1
12101-0400-109.zip,千葉市中央区,12101,祐光１丁目別図,任意座標系,ver1.0,,,,,1
12101-0400-11.zip,千葉市中央区,12101,塩田町Ａ,任意座標系,ver1.0,,,,,12
12101-0400-110.zip,千葉市中央区,12101,祐光１～４丁目,任意座標系,ver1.0,,,,,19
12101-0400-111.zip,千葉市中央区,12101,祐光２丁目,任意座標系,ver1.0,,,,,1
12101-0400-112.zip,千葉市中央区,12101,要町Ｂ,任意座標系,ver1.0,,,,,5
12101-0400-113.zip,千葉市中央区,12101,亥鼻町Ａ,任意座標系,ver1.0,,,,,8
12101-0400-114.zip,千葉市中央区,12101,院内１・２丁目,任意座標系,ver1.0,,,,,6
12101-0400-115.zip,千葉市中央区,12101,葛城１～３丁目,任意座標系,ver1.0,,,,,3
12101-0400-116.zip,千葉市中央区,12101,寒川町１～３丁目,任意座標系,ver1.0,,,,,8
12101-0400-117.zip,千葉市中央区,12101,宮崎町Ｂ,任意座標系,ver1.0,,,,,12
12101-0400-118.zip,千葉市中央区,12101,作草部町・作草部１・２丁目,任意座標系,ver1.0,,,,,15
12101-0400-119.zip,千葉市中央区,12101,春日１・２丁目,任意座標系,ver1.0,,,,,6
12101-0400-12.zip,千葉市中央区,12101,塩田町Ｂ,任意座標系,ver1.0,,,,,11
12101-0400-120.zip,千葉市中央区,12101,松ケ丘町,任意座標系,ver1.0,,,,,14
12101-0400-121.zip,千葉市中央区,12101,星久喜町Ａ,任意座標系,ver1.0,,,,,24
12101-0400-122.zip,千葉市中央区,12101,星久喜町Ｃ,任意座標系,ver1.0,,,,,11
12101-0400-123.zip,千葉市中央区,12101,生実町（１）,任意座標系,ver1.0,,,,,25
12101-0400-124.zip,千葉市中央区,12101,生実町（３）,任意座標系,ver1.0,,,,,25
12101-0400-125.zip,千葉市中央区,12101,生実町（４）,任意座標系,ver1.0,,,,,26
12101-0400-126.zip,千葉市中央区,12101,千葉港Ａ,任意座標系,ver1.0,,,,,3
12101-0400-127.zip,千葉市中央区,12101,千葉寺町Ａ,任意座標系,ver1.0,,,,,24
12101-0400-128.zip,千葉市中央区,12101,蘇我町１・２丁目,任意座標系,ver1.0,,,,,21
12101-0400-129.zip,千葉市中央区,12101,蘇我町２丁目Ａ,任意座標系,ver1.0,,,,,19
12101-0400-13.zip,千葉市中央区,12101,塩田町Ｃ,任意座標系,ver1.0,,,,,1
12101-0400-130.zip,千葉市中央区,12101,村田町Ａ,任意座標系,ver1.0,,,,,23
12101-0400-131.zip,千葉市中央区,12101,村田町Ｂ,任意座標系,ver1.0,,,,,23
12101-0400-132.zip,千葉市中央区,12101,大森町Ａ,任意座標系,ver1.0,,,,,18
12101-0400-133.zip,千葉市中央区,12101,中央１～４丁目,任意座標系,ver1.0,,,,,15
12101-0400-134.zip,千葉市中央区,12101,長洲１・２丁目,任意座標系,ver1.0,,,,,12
12101-0400-135.zip,千葉市中央区,12101,椿森１～６丁目,任意座標系,ver1.0,,,,,23
12101-0400-136.zip,千葉市中央区,12101,登戸町１～３丁目・登戸１～５丁目,任意座標系,ver1.0,,,,,24
12101-0400-137.zip,千葉市中央区,12101,都町・都町１丁目・道場南２丁目,任意座標系,ver1.0,,,,,30
12101-0400-138.zip,千葉市中央区,12101,東千葉１～３丁目,任意座標系,ver1.0,,,,,8
12101-0400-139.zip,千葉市中央区,12101,道場南１・２丁目,任意座標系,ver1.0,,,,,7
12101-0400-14.zip,千葉市中央区,12101,亀岡町,任意座標系,ver1.0,,,,,3
12101-0400-140.zip,千葉市中央区,12101,道場北町・道場北１・２丁目,任意座標系,ver1.0,,,,,8
12101-0400-141.zip,千葉市中央区,12101,南生実町Ｃ,任意座標系,ver1.0,,,,,17
12101-0400-142.zip,千葉市中央区,12101,浜野町Ａ,任意座標系,ver1.0,,,,,24
12101-0400-143.zip,千葉市中央区,12101,浜野町Ｂ,任意座標系,ver1.0,,,,,22
12101-0400-144.zip,千葉市中央区,12101,本町１～３丁目,任意座標系,ver1.0,,,,,9
12101-0400-145.zip,千葉市中央区,12101,末広１～４丁目,任意座標系,ver1.0,,,,,12
12101-0400-146.zip,千葉市中央区,12101,矢作町Ａ,任意座標系,ver1.0,,,,,12
12101-0400-147.zip,千葉市中央区,12101,要町Ａ,任意座標系,ver1.0,,,,,1
12101-0400-148.zip,千葉市中央区,12101,中央港２丁目,任意座標系,ver1.0,,,,,9
12101-0400-149.zip,千葉市中央区,12101,中央区椿森町（追加）,任意座標系,ver1.0,,,,,1
12101-0400-15.zip,千葉市中央区,12101,亀井町Ａ,任意座標系,ver1.0,,,,,1
12101-0400-150.zip,千葉市中央区,12101,加曽利町Ａ,任意座標系,ver1.0,,,,,32
12101-0400-151.zip,千葉市中央区,12101,加曽利町Ｂ,任意座標系,ver1.0,,,,,32
12101-0400-152.zip,千葉市中央区,12101,千葉市中央区汐見丘町,任意座標系,ver1.0,,,,,2
12101-0400-153.zip,千葉市中央区,12101,10140_hosei_20121217082754,公共座標9系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,8
12101-0400-154.zip,千葉市中央区,12101,10217_hosei_20121217082811,公共座標9系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,3
12101-0400-155.zip,千葉市中央区,12101,10229_hosei_20121217082844,公共座標9系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
12101-0400-156.zip,千葉市中央区,12101,10297_hosei_20121217082901,公共座標9系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,57
12101-0400-157.zip,千葉市中央区,12101,10302_hosei_20121217083206,公共座標9系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
12101-0400-158.zip,千葉市中央区,12101,10303_hosei_20121217083223,公共座標9系,ver1.0,測量,,,,20
12101-0400-159.zip,千葉市中央区,12101,10332_hosei_20121217083412,公共座標9系,ver1.0,測量,,,,21
12101-0400-16.zip,千葉市中央区,12101,亀井町Ｂ,任意座標系,ver1.0,,,,,2
12101-0400-160.zip,千葉市中央区,12101,10333_hosei_20121217083601,公共座標9系,ver1.0,変換,1.3.77,TKY2JGD.par,2.1.1,19
12101-0400-161.zip,千葉市中央区,12101,10344_hosei_20121217084509,公共座標9系,ver1.0,変換,1.3.77,TKY2JGD.par,2.1.1,11
12101-0400-162.zip,千葉市中央区,12101,10346_hosei_20121217084557,公共座標9系,ver1.0,変換,1.3.79,TKY2JGD.par,2.1.1,9
12101-0400-163.zip,千葉市中央区,12101,10347_hosei_20121217084614,公共座標9系,ver1.0,測量,,,,4
12101-0400-164.zip,千葉市中央区,12101,20562_hosei_20121217084943,公共座標9系,ver1.0,測量,,,,1
12101-0400-165.zip,千葉市中央区,12101,10339_hosei_20121219084808,公共座標9系,ver1.0,測量,,,,59
12101-0400-166.zip,千葉市中央区,12101,千葉市中央区登戸,任意座標系,ver1.0,,,,,2
12101-0400-167.zip,千葉市中央区,12101,千葉市中央区都町,任意座標系,ver1.0,,,,,1
12101-0400-168.zip,千葉市中央区,12101,中央区末広町２丁目,任意座標系,ver1.0,,,,,2
12101-0400-169.zip,千葉市中央区,12101,中央区都町,任意座標系,ver1.0,,,,,1
12101-0400-17.zip,千葉市中央区,12101,宮崎町Ａ,任意座標系,ver1.0,,,,,15
12101-0400-170.zip,千葉市中央区,12101,中央区都町３丁目,任意座標系,ver1.0,,,,,1
12101-0400-171.zip,千葉市中央区,12101,30本局,公共座標9系,ver1.0,測量,,,,39
12101-0400-172.zip,千葉市中央区,12101,千葉市中央区今井町駒之内,任意座標系,ver1.0,,,,,1
12101-0400-173.zip,千葉市中央区,12101,千葉市中央区今井町四反目,任意座標系,ver1.0,,,,,1
12101-0400-174.zip,千葉市中央区,12101,千葉市中央区今井町谷原,任意座標系,ver1.0,,,,,1
12101-0400-175.zip,千葉市中央区,12101,千葉市中央区今井町南田,任意座標系,ver1.0,,,,,1
12101-0400-176.zip,千葉市中央区,12101,千葉市中央区今井町廣田,任意座標系,ver1.0,,,,,1
12101-0400-177.zip,千葉市中央区,12101,12101_2016_0,公共座標9系,ver1.0,測量,,,,36
12101-0400-178.zip,千葉市中央区,12101,椿森６丁目,任意座標系,ver1.0,,,,,1
12101-0400-179.zip,千葉市中央区,12101,千葉市中央区今井町川間,任意座標系,ver1.0,,,,,1
12101-0400-18.zip,千葉市中央区,12101,港町Ａ,任意座標系,ver1.0,,,,,3
12101-0400-180.zip,千葉市中央区,12101,12101,任意座標系,ver1.0,,,,,1
