filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
16201-2300-1.zip,富山市,16201,羽根,任意座標系,ver1.0,,,,,9
16201-2300-10.zip,富山市,16201,１１年度開ヶ丘,任意座標系,ver1.0,,,,,7
16201-2300-100.zip,富山市,16201,岩瀬高畠町,任意座標系,ver1.0,,,,,1
16201-2300-1000.zip,富山市,16201,H19230716201744,任意座標系,ver1.0,,,,,30
16201-2300-1001.zip,富山市,16201,H19230716201745,任意座標系,ver1.0,,,,,9
16201-2300-1002.zip,富山市,16201,H19230716201746,任意座標系,ver1.0,,,,,3
16201-2300-1003.zip,富山市,16201,H19230716201747,任意座標系,ver1.0,,,,,19
16201-2300-1004.zip,富山市,16201,H19230716201748,任意座標系,ver1.0,,,,,4
16201-2300-1005.zip,富山市,16201,H19230716201749,任意座標系,ver1.0,,,,,13
16201-2300-1006.zip,富山市,16201,H19230716201750,任意座標系,ver1.0,,,,,3
16201-2300-1007.zip,富山市,16201,H19230716201752,任意座標系,ver1.0,,,,,9
16201-2300-1008.zip,富山市,16201,H19230716201754,任意座標系,ver1.0,,,,,2
16201-2300-1009.zip,富山市,16201,H19230716201756,任意座標系,ver1.0,,,,,24
16201-2300-101.zip,富山市,16201,岩瀬諏訪町,任意座標系,ver1.0,,,,,5
16201-2300-1010.zip,富山市,16201,H19230716201757,任意座標系,ver1.0,,,,,3
16201-2300-1011.zip,富山市,16201,H19230716201758,任意座標系,ver1.0,,,,,5
16201-2300-1012.zip,富山市,16201,H19230716201759,任意座標系,ver1.0,,,,,29
16201-2300-1013.zip,富山市,16201,H19230716201760,任意座標系,ver1.0,,,,,47
16201-2300-1014.zip,富山市,16201,H19230716201761,任意座標系,ver1.0,,,,,10
16201-2300-1015.zip,富山市,16201,H19230716201762,任意座標系,ver1.0,,,,,27
16201-2300-1016.zip,富山市,16201,H19230716201763,任意座標系,ver1.0,,,,,2
16201-2300-1017.zip,富山市,16201,H19230716201764,任意座標系,ver1.0,,,,,9
16201-2300-1018.zip,富山市,16201,H19230716201765,任意座標系,ver1.0,,,,,3
16201-2300-1019.zip,富山市,16201,H19230716201767,任意座標系,ver1.0,,,,,6
16201-2300-102.zip,富山市,16201,岩瀬天神町,任意座標系,ver1.0,,,,,5
16201-2300-1020.zip,富山市,16201,H19230716201768,任意座標系,ver1.0,,,,,21
16201-2300-1021.zip,富山市,16201,H19230716201769,任意座標系,ver1.0,,,,,4
16201-2300-1022.zip,富山市,16201,H19230716201770,任意座標系,ver1.0,,,,,18
16201-2300-1023.zip,富山市,16201,H19230716201771,任意座標系,ver1.0,,,,,4
16201-2300-1024.zip,富山市,16201,H19230716201772,任意座標系,ver1.0,,,,,31
16201-2300-1025.zip,富山市,16201,H19230716201774,任意座標系,ver1.0,,,,,7
16201-2300-1026.zip,富山市,16201,H19230716201775,任意座標系,ver1.0,,,,,1
16201-2300-1027.zip,富山市,16201,H19230716201776,任意座標系,ver1.0,,,,,8
16201-2300-1028.zip,富山市,16201,H19230716201777,任意座標系,ver1.0,,,,,26
16201-2300-1029.zip,富山市,16201,H19230716201778,任意座標系,ver1.0,,,,,2
16201-2300-103.zip,富山市,16201,岩瀬天池町Ｂ,任意座標系,ver1.0,,,,,1
16201-2300-1030.zip,富山市,16201,H1923071620177901,任意座標系,ver1.0,,,,,19
16201-2300-1031.zip,富山市,16201,H1923071620177902,任意座標系,ver1.0,,,,,30
16201-2300-1032.zip,富山市,16201,H19230716201780,任意座標系,ver1.0,,,,,4
16201-2300-1033.zip,富山市,16201,H19230716201781,任意座標系,ver1.0,,,,,7
16201-2300-1034.zip,富山市,16201,H19230716201782,任意座標系,ver1.0,,,,,39
16201-2300-1035.zip,富山市,16201,H1923071620178301,任意座標系,ver1.0,,,,,16
16201-2300-1036.zip,富山市,16201,H19230716201784,任意座標系,ver1.0,,,,,1
16201-2300-1037.zip,富山市,16201,H19230716201785,任意座標系,ver1.0,,,,,6
16201-2300-1038.zip,富山市,16201,H19230716201786,任意座標系,ver1.0,,,,,27
16201-2300-1039.zip,富山市,16201,H19230716201787,任意座標系,ver1.0,,,,,4
16201-2300-104.zip,富山市,16201,願海寺Ｄ,任意座標系,ver1.0,,,,,1
16201-2300-1040.zip,富山市,16201,H19230716201788,任意座標系,ver1.0,,,,,54
16201-2300-1041.zip,富山市,16201,H19230716201789,任意座標系,ver1.0,,,,,3
16201-2300-1042.zip,富山市,16201,H19230716201791,任意座標系,ver1.0,,,,,32
16201-2300-1043.zip,富山市,16201,H19230716201792,任意座標系,ver1.0,,,,,12
16201-2300-1044.zip,富山市,16201,H19230716201793,任意座標系,ver1.0,,,,,19
16201-2300-1045.zip,富山市,16201,H19230716201794,任意座標系,ver1.0,,,,,1
16201-2300-1046.zip,富山市,16201,H19230716201795,任意座標系,ver1.0,,,,,9
16201-2300-1047.zip,富山市,16201,H19230716201796,任意座標系,ver1.0,,,,,16
16201-2300-1048.zip,富山市,16201,H19230716201797,任意座標系,ver1.0,,,,,2
16201-2300-1049.zip,富山市,16201,H19230716201798,任意座標系,ver1.0,,,,,12
16201-2300-105.zip,富山市,16201,宮条Ａ,任意座標系,ver1.0,,,,,13
16201-2300-1050.zip,富山市,16201,H19230716201799,任意座標系,ver1.0,,,,,4
16201-2300-1051.zip,富山市,16201,H19230716201800,任意座標系,ver1.0,,,,,28
16201-2300-1052.zip,富山市,16201,H1923071620180101,任意座標系,ver1.0,,,,,23
16201-2300-1053.zip,富山市,16201,H1923071620180102,任意座標系,ver1.0,,,,,22
16201-2300-1054.zip,富山市,16201,H19230716201802,任意座標系,ver1.0,,,,,7
16201-2300-1055.zip,富山市,16201,H19230716201803,任意座標系,ver1.0,,,,,8
16201-2300-1056.zip,富山市,16201,H1923071620180401,任意座標系,ver1.0,,,,,31
16201-2300-1057.zip,富山市,16201,H1923071620180402,任意座標系,ver1.0,,,,,19
16201-2300-1058.zip,富山市,16201,H19230716201805,任意座標系,ver1.0,,,,,1
16201-2300-1059.zip,富山市,16201,H19230716201806,任意座標系,ver1.0,,,,,33
16201-2300-106.zip,富山市,16201,宮成、宮成新、宮条Ｂ,任意座標系,ver1.0,,,,,16
16201-2300-1060.zip,富山市,16201,H19230716201807,任意座標系,ver1.0,,,,,17
16201-2300-1061.zip,富山市,16201,H19230716201808,任意座標系,ver1.0,,,,,10
16201-2300-1062.zip,富山市,16201,H19230716201809,任意座標系,ver1.0,,,,,29
16201-2300-1063.zip,富山市,16201,H19230716201810,任意座標系,ver1.0,,,,,14
16201-2300-1064.zip,富山市,16201,H19230716201811,任意座標系,ver1.0,,,,,16
16201-2300-1065.zip,富山市,16201,H19230716201812,任意座標系,ver1.0,,,,,13
16201-2300-1066.zip,富山市,16201,H19230716201813,任意座標系,ver1.0,,,,,3
16201-2300-1067.zip,富山市,16201,H19230716201814,任意座標系,ver1.0,,,,,31
16201-2300-1068.zip,富山市,16201,H19230716201815,任意座標系,ver1.0,,,,,4
16201-2300-1069.zip,富山市,16201,H19230716201816,任意座標系,ver1.0,,,,,9
16201-2300-107.zip,富山市,16201,牛島新町,任意座標系,ver1.0,,,,,3
16201-2300-1070.zip,富山市,16201,H19230716201818,任意座標系,ver1.0,,,,,1
16201-2300-1071.zip,富山市,16201,H19230716201819,任意座標系,ver1.0,,,,,11
16201-2300-1072.zip,富山市,16201,H19230716201821,任意座標系,ver1.0,,,,,3
16201-2300-1073.zip,富山市,16201,H19230716201822,任意座標系,ver1.0,,,,,10
16201-2300-1074.zip,富山市,16201,H1923071620182401,任意座標系,ver1.0,,,,,23
16201-2300-1075.zip,富山市,16201,H1923071620182402,任意座標系,ver1.0,,,,,15
16201-2300-1076.zip,富山市,16201,H1923071620182601,任意座標系,ver1.0,,,,,10
16201-2300-1077.zip,富山市,16201,H1923071620182602,任意座標系,ver1.0,,,,,22
16201-2300-1078.zip,富山市,16201,H19230716201827,任意座標系,ver1.0,,,,,2
16201-2300-1079.zip,富山市,16201,H19230716201829,任意座標系,ver1.0,,,,,9
16201-2300-108.zip,富山市,16201,宮町、宮園町,任意座標系,ver1.0,,,,,18
16201-2300-1080.zip,富山市,16201,H19230716201830,任意座標系,ver1.0,,,,,2
16201-2300-1081.zip,富山市,16201,H19230716201832,任意座標系,ver1.0,,,,,2
16201-2300-1082.zip,富山市,16201,H19230716201833,任意座標系,ver1.0,,,,,2
16201-2300-1083.zip,富山市,16201,H19230716201835,任意座標系,ver1.0,,,,,3
16201-2300-1084.zip,富山市,16201,H19230716201836,任意座標系,ver1.0,,,,,9
16201-2300-1085.zip,富山市,16201,H19230716201837,任意座標系,ver1.0,,,,,2
16201-2300-1086.zip,富山市,16201,H19230716201839,任意座標系,ver1.0,,,,,10
16201-2300-1087.zip,富山市,16201,H1923071620184001,任意座標系,ver1.0,,,,,31
16201-2300-1088.zip,富山市,16201,H1923071620184002,任意座標系,ver1.0,,,,,44
16201-2300-1089.zip,富山市,16201,H19230716201841,任意座標系,ver1.0,,,,,16
16201-2300-109.zip,富山市,16201,牛島町,任意座標系,ver1.0,,,,,3
16201-2300-1090.zip,富山市,16201,H1923071620184301,任意座標系,ver1.0,,,,,19
16201-2300-1091.zip,富山市,16201,H1923071620184302,任意座標系,ver1.0,,,,,19
16201-2300-1092.zip,富山市,16201,H19230716201844,任意座標系,ver1.0,,,,,26
16201-2300-1093.zip,富山市,16201,H19230716201845,任意座標系,ver1.0,,,,,2
16201-2300-1094.zip,富山市,16201,H19230716201846,任意座標系,ver1.0,,,,,1
16201-2300-1095.zip,富山市,16201,H19230716201847,任意座標系,ver1.0,,,,,17
16201-2300-1096.zip,富山市,16201,H19230716201848,任意座標系,ver1.0,,,,,11
16201-2300-1097.zip,富山市,16201,H19230716201849,任意座標系,ver1.0,,,,,56
16201-2300-1098.zip,富山市,16201,H19230716201850,任意座標系,ver1.0,,,,,10
16201-2300-1099.zip,富山市,16201,H19230716201852,任意座標系,ver1.0,,,,,27
16201-2300-11.zip,富山市,16201,１１年度久方町,任意座標系,ver1.0,,,,,5
16201-2300-110.zip,富山市,16201,金屋Ａ,任意座標系,ver1.0,,,,,33
16201-2300-1100.zip,富山市,16201,H19230716201854,任意座標系,ver1.0,,,,,9
16201-2300-1101.zip,富山市,16201,H19230716201855,任意座標系,ver1.0,,,,,5
16201-2300-1102.zip,富山市,16201,H19230716201856,任意座標系,ver1.0,,,,,8
16201-2300-1103.zip,富山市,16201,H19230716201857,任意座標系,ver1.0,,,,,7
16201-2300-1104.zip,富山市,16201,H19230716201858,任意座標系,ver1.0,,,,,3
16201-2300-1105.zip,富山市,16201,H19230716201859,任意座標系,ver1.0,,,,,16
16201-2300-1106.zip,富山市,16201,H19230716201861,任意座標系,ver1.0,,,,,18
