filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
23101-1800-1.zip,名古屋市千種区,23101,SHW14001,任意座標系,ver1.0,,,,,1
23101-1800-10.zip,名古屋市千種区,23101,SHW14011,任意座標系,ver1.0,,,,,19
23101-1800-11.zip,名古屋市千種区,23101,SHW14012,任意座標系,ver1.0,,,,,18
23101-1800-12.zip,名古屋市千種区,23101,SHW14013,任意座標系,ver1.0,,,,,19
23101-1800-13.zip,名古屋市千種区,23101,SHW14014,任意座標系,ver1.0,,,,,17
23101-1800-14.zip,名古屋市千種区,23101,SHW14016,任意座標系,ver1.0,,,,,20
23101-1800-15.zip,名古屋市千種区,23101,SHW14018,任意座標系,ver1.0,,,,,17
23101-1800-16.zip,名古屋市千種区,23101,SHW14019,任意座標系,ver1.0,,,,,13
23101-1800-17.zip,名古屋市千種区,23101,SHW14020,任意座標系,ver1.0,,,,,19
23101-1800-18.zip,名古屋市千種区,23101,SHW14021,任意座標系,ver1.0,,,,,11
23101-1800-19.zip,名古屋市千種区,23101,SHW14022,任意座標系,ver1.0,,,,,15
23101-1800-2.zip,名古屋市千種区,23101,SHW14002,任意座標系,ver1.0,,,,,13
23101-1800-20.zip,名古屋市千種区,23101,SHW14023,任意座標系,ver1.0,,,,,18
23101-1800-21.zip,名古屋市千種区,23101,SHW14024,任意座標系,ver1.0,,,,,22
23101-1800-22.zip,名古屋市千種区,23101,SHW14026,任意座標系,ver1.0,,,,,19
23101-1800-23.zip,名古屋市千種区,23101,SHW14027,任意座標系,ver1.0,,,,,14
23101-1800-24.zip,名古屋市千種区,23101,SHW14028,任意座標系,ver1.0,,,,,11
23101-1800-25.zip,名古屋市千種区,23101,SHW14029,任意座標系,ver1.0,,,,,24
23101-1800-26.zip,名古屋市千種区,23101,SHW14030,任意座標系,ver1.0,,,,,15
23101-1800-27.zip,名古屋市千種区,23101,SHW14031,任意座標系,ver1.0,,,,,19
23101-1800-28.zip,名古屋市千種区,23101,SHW14032,任意座標系,ver1.0,,,,,9
23101-1800-29.zip,名古屋市千種区,23101,SHW14034,任意座標系,ver1.0,,,,,27
23101-1800-3.zip,名古屋市千種区,23101,SHW14003,任意座標系,ver1.0,,,,,9
23101-1800-30.zip,名古屋市千種区,23101,SHW14035,任意座標系,ver1.0,,,,,18
