filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
24201-1900-1.zip,津市,24201,Ｈ．１０．３．１８第７４３０号土改,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,3
24201-1900-10.zip,津市,24201,Ｈ．３．８．２１第６５５０号土改,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,22
24201-1900-100.zip,津市,24201,一身田上津部田Ｃ,任意座標系,ver1.0,,,,,15
24201-1900-1000.zip,津市,24201,榊原町Ｓ,任意座標系,ver1.0,,,,,26
24201-1900-1001.zip,津市,24201,三ケ野Ｅ,任意座標系,ver1.0,,,,,26
24201-1900-1002.zip,津市,24201,山田野Ｆ,任意座標系,ver1.0,,,,,14
24201-1900-1003.zip,津市,24201,寺町・中町・西鷹跡・二ノ町,任意座標系,ver1.0,,,,,17
24201-1900-1004.zip,津市,24201,持川町・元町,任意座標系,ver1.0,,,,,36
24201-1900-1005.zip,津市,24201,小山字片平,任意座標系,ver1.0,,,,,4
24201-1900-1006.zip,津市,24201,小山字北谷,任意座標系,ver1.0,,,,,4
24201-1900-1007.zip,津市,24201,庄田町Ａ,任意座標系,ver1.0,,,,,28
24201-1900-1008.zip,津市,24201,庄田町Ｂ,任意座標系,ver1.0,,,,,25
24201-1900-1009.zip,津市,24201,庄田町Ｃ,任意座標系,ver1.0,,,,,24
24201-1900-101.zip,津市,24201,一身田上津部田Ｄ,任意座標系,ver1.0,,,,,10
24201-1900-1010.zip,津市,24201,城山二丁目,任意座標系,ver1.0,,,,,9
24201-1900-1011.zip,津市,24201,新家町Ａ,任意座標系,ver1.0,,,,,8
24201-1900-1012.zip,津市,24201,新家町Ｂ,任意座標系,ver1.0,,,,,13
24201-1900-1013.zip,津市,24201,新家町Ｅ,任意座標系,ver1.0,,,,,21
24201-1900-1014.zip,津市,24201,須ケ瀬町Ａ,任意座標系,ver1.0,,,,,4
