filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
25201-1600-1.zip,大津市,25201,12-17-3,任意座標系,ver1.0,,,,,1
25201-1600-10.zip,大津市,25201,伊香立向在地町Ａ,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,29
25201-1600-100.zip,大津市,25201,上田上桐生町字桐生Ａ,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,22
25201-1600-101.zip,大津市,25201,上田上新免町Ｂ,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,19
25201-1600-102.zip,大津市,25201,上田上桐生町字桐生Ｂ,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,7
25201-1600-103.zip,大津市,25201,上田上桐生町字桐生Ｃ,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,16
25201-1600-104.zip,大津市,25201,上田上芝町字森添・流黒木・大西・木戸・他,任意座標系,ver1.0,,,,,9
25201-1600-105.zip,大津市,25201,上田上新免町字真光寺・皿谷・カナクソ・他,任意座標系,ver1.0,,,,,10
25201-1600-106.zip,大津市,25201,上田上大鳥居,任意座標系,ver1.0,,,,,1
25201-1600-107.zip,大津市,25201,上田上大鳥居町字水越,任意座標系,ver1.0,,,,,2
25201-1600-108.zip,大津市,25201,上田上大鳥居町字唐辻水鳥・小谷・他,任意座標系,ver1.0,,,,,22
25201-1600-109.zip,大津市,25201,上田上中野字前田,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
25201-1600-11.zip,大津市,25201,伊香立向在地町Ｂ,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
25201-1600-110.zip,大津市,25201,上田上中野町,任意座標系,ver1.0,,,,,5
25201-1600-111.zip,大津市,25201,上田上堂町,任意座標系,ver1.0,,,,,14
25201-1600-112.zip,大津市,25201,上田上堂町Ｂ,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,17
25201-1600-113.zip,大津市,25201,真野６丁目,任意座標系,ver1.0,,,,,2
25201-1600-114.zip,大津市,25201,上田上平野町字深田,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,5
25201-1600-115.zip,大津市,25201,上田上平野町字里ノ内・大塚・東萓尾,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,41
25201-1600-116.zip,大津市,25201,上田上牧町字牧・綾井・中島,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,32
25201-1600-117.zip,大津市,25201,森２丁目字堂山谷・他,任意座標系,ver1.0,,,,,5
25201-1600-118.zip,大津市,25201,森２丁目字北木戸・他,任意座標系,ver1.0,,,,,21
25201-1600-119.zip,大津市,25201,真野家田町,任意座標系,ver1.0,,,,,35
25201-1600-12.zip,大津市,25201,伊香立向在地町字本谷・堂ノ下・川原・他,任意座標系,ver1.0,,,,,26
25201-1600-120.zip,大津市,25201,真野１丁目～６丁目（昭和６２年調査）,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,36
25201-1600-121.zip,大津市,25201,真野５丁目字サカエ，別図,任意座標系,ver1.0,,,,,1
25201-1600-122.zip,大津市,25201,真野佐川町,任意座標系,ver1.0,,,,,20
25201-1600-123.zip,大津市,25201,真野字石ノ堂・須野・他,任意座標系,ver1.0,,,,,20
25201-1600-124.zip,大津市,25201,真野大野Ａ,任意座標系,ver1.0,,,,,22
25201-1600-125.zip,大津市,25201,真野谷口町Ａ,任意座標系,ver1.0,,,,,19
25201-1600-126.zip,大津市,25201,真野谷口町Ｂ,任意座標系,ver1.0,,,,,13
25201-1600-127.zip,大津市,25201,真野普門町字上沼・２丁目字石山・他,任意座標系,ver1.0,,,,,9
25201-1600-128.zip,大津市,25201,神領字青江・念仏谷・雛済,任意座標系,ver1.0,,,,,1
25201-1600-129.zip,大津市,25201,清和町,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,7
25201-1600-13.zip,大津市,25201,伊香立上在地町,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,18
25201-1600-130.zip,大津市,25201,瀬田橋本町Ａ,任意座標系,ver1.0,,,,,12
25201-1600-131.zip,大津市,25201,瀬田橋本町Ｃ,任意座標系,ver1.0,,,,,14
25201-1600-132.zip,大津市,25201,瀬田橋本町Ｄ,任意座標系,ver1.0,,,,,9
25201-1600-133.zip,大津市,25201,瀬田神領町Ａ,任意座標系,ver1.0,,,,,8
25201-1600-134.zip,大津市,25201,瀬田大江６７ー３７,任意座標系,ver1.0,,,,,1
25201-1600-135.zip,大津市,25201,青山１丁目,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
25201-1600-136.zip,大津市,25201,千石台,任意座標系,ver1.0,,,,,6
25201-1600-137.zip,大津市,25201,青山２丁目,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,5
25201-1600-138.zip,大津市,25201,青山３丁目,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,9
25201-1600-139.zip,大津市,25201,青山４丁目,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,5
25201-1600-14.zip,大津市,25201,伊香立上在地町（準地図）,任意座標系,ver1.0,,,,,3
25201-1600-140.zip,大津市,25201,青山５丁目,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,6
25201-1600-141.zip,大津市,25201,青山６丁目,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
25201-1600-142.zip,大津市,25201,青山７丁目,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,5
25201-1600-143.zip,大津市,25201,青山８丁目,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,10
25201-1600-144.zip,大津市,25201,石居２丁目字古川・他,任意座標系,ver1.0,,,,,11
