filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
40101-2908-1.zip,北九州市門司区,40101,伊川Ａ,任意座標系,ver1.0,,,,,34
40101-2908-10.zip,北九州市門司区,40101,喜多久Ａ,任意座標系,ver1.0,,,,,26
40101-2908-100.zip,北九州市門司区,40101,風師４丁目１４条地図作成地区,公共座標2系,ver1.0,測量,,,,12
40101-2908-101.zip,北九州市門司区,40101,吉志新町（数値）２０Ｒ０１,公共座標2系,ver1.0,測量,,,,32
40101-2908-102.zip,北九州市門司区,40101,上藤松（数値）２０Ｒ０１,公共座標2系,ver1.0,測量,,,,27
40101-2908-103.zip,北九州市門司区,40101,西新町,公共座標2系,ver1.0,測量,,,,22
40101-2908-11.zip,北九州市門司区,40101,喜多久Ｂ,任意座標系,ver1.0,,,,,23
40101-2908-12.zip,北九州市門司区,40101,吉志Ａ,任意座標系,ver1.0,,,,,52
40101-2908-13.zip,北九州市門司区,40101,旧門司１～２丁目・畑田町・門司,任意座標系,ver1.0,,,,,25
40101-2908-14.zip,北九州市門司区,40101,錦町・栄町・本町・港町,任意座標系,ver1.0,,,,,8
40101-2908-15.zip,北九州市門司区,40101,恒見Ａ,任意座標系,ver1.0,,,,,4
40101-2908-16.zip,北九州市門司区,40101,恒見Ｂ,任意座標系,ver1.0,,,,,27
40101-2908-17.zip,北九州市門司区,40101,恒見Ｃ,任意座標系,ver1.0,,,,,19
40101-2908-18.zip,北九州市門司区,40101,恒見Ｄ,任意座標系,ver1.0,,,,,28
40101-2908-19.zip,北九州市門司区,40101,高砂町,任意座標系,ver1.0,,,,,2
40101-2908-2.zip,北九州市門司区,40101,伊川Ｂ,任意座標系,ver1.0,,,,,30
40101-2908-20.zip,北九州市門司区,40101,黒川Ａ,任意座標系,ver1.0,,,,,30
40101-2908-21.zip,北九州市門司区,40101,黒川Ｂ,任意座標系,ver1.0,,,,,35
40101-2908-22.zip,北九州市門司区,40101,黒川Ｃ,任意座標系,ver1.0,,,,,28
40101-2908-23.zip,北九州市門司区,40101,今津,任意座標系,ver1.0,,,,,22
40101-2908-24.zip,北九州市門司区,40101,寺内,任意座標系,ver1.0,,,,,29
40101-2908-25.zip,北九州市門司区,40101,寺内（数値分）１６Ｂ０１,公共座標2系,ver1.0,測量,,,,49
40101-2908-26.zip,北九州市門司区,40101,寺内１～３丁目・永黒２丁目・城山町,任意座標系,ver1.0,,,,,16
40101-2908-27.zip,北九州市門司区,40101,小森江１丁目,任意座標系,ver1.0,,,,,3
40101-2908-28.zip,北九州市門司区,40101,松原１～３丁目,任意座標系,ver1.0,,,,,20
40101-2908-29.zip,北九州市門司区,40101,上本町,任意座標系,ver1.0,,,,,3
40101-2908-3.zip,北九州市門司区,40101,稲積１～２丁目,任意座標系,ver1.0,,,,,7
40101-2908-30.zip,北九州市門司区,40101,上藤松１～３丁目・藤松１～３丁目他,任意座標系,ver1.0,,,,,23
40101-2908-31.zip,北九州市門司区,40101,上二十日町・中二十日町・下二十日町他,任意座標系,ver1.0,,,,,18
40101-2908-32.zip,北九州市門司区,40101,上馬寄１～３丁目,任意座標系,ver1.0,,,,,13
40101-2908-33.zip,北九州市門司区,40101,新開,任意座標系,ver1.0,,,,,9
40101-2908-34.zip,北九州市門司区,40101,新原町,任意座標系,ver1.0,,,,,7
40101-2908-35.zip,北九州市門司区,40101,新門司１～２丁目,任意座標系,ver1.0,,,,,15
40101-2908-36.zip,北九州市門司区,40101,新門司３丁目,任意座標系,ver1.0,,,,,10
40101-2908-37.zip,北九州市門司区,40101,新門司北１～３丁目,任意座標系,ver1.0,,,,,20
40101-2908-38.zip,北九州市門司区,40101,清見１～４丁目,任意座標系,ver1.0,,,,,39
40101-2908-39.zip,北九州市門司区,40101,清滝１～５丁目,任意座標系,ver1.0,,,,,27
40101-2908-4.zip,北九州市門司区,40101,羽山２丁目,任意座標系,ver1.0,,,,,1
40101-2908-40.zip,北九州市門司区,40101,西海岸１～３丁目,任意座標系,ver1.0,,,,,15
40101-2908-41.zip,北九州市門司区,40101,西新,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,31
40101-2908-42.zip,北九州市門司区,40101,青葉台,任意座標系,ver1.0,,,,,3
40101-2908-43.zip,北九州市門司区,40101,泉ヶ丘,任意座標系,ver1.0,,,,,5
40101-2908-44.zip,北九州市門司区,40101,太刀浦海岸,任意座標系,ver1.0,,,,,13
40101-2908-45.zip,北九州市門司区,40101,大久保１～３丁目,任意座標系,ver1.0,,,,,10
40101-2908-46.zip,北九州市門司区,40101,大積Ａ,任意座標系,ver1.0,,,,,34
40101-2908-47.zip,北九州市門司区,40101,大積Ｃ,任意座標系,ver1.0,,,,,30
40101-2908-48.zip,北九州市門司区,40101,大里Ａ,任意座標系,ver1.0,,,,,31
40101-2908-49.zip,北九州市門司区,40101,大里Ｂ,任意座標系,ver1.0,,,,,38
40101-2908-5.zip,北九州市門司区,40101,猿喰Ａ,任意座標系,ver1.0,,,,,36
40101-2908-50.zip,北九州市門司区,40101,大里新町・中町,任意座標系,ver1.0,,,,,28
40101-2908-51.zip,北九州市門司区,40101,大里本町１～３丁目・大里東口・大里本町,任意座標系,ver1.0,,,,,21
40101-2908-52.zip,北九州市門司区,40101,田野浦,任意座標系,ver1.0,,,,,30
40101-2908-53.zip,北九州市門司区,40101,田野浦１丁目,任意座標系,ver1.0,,,,,13
40101-2908-54.zip,北九州市門司区,40101,田野浦２丁目,任意座標系,ver1.0,,,,,9
40101-2908-55.zip,北九州市門司区,40101,田野浦３丁目,任意座標系,ver1.0,,,,,5
40101-2908-56.zip,北九州市門司区,40101,田野浦海岸,任意座標系,ver1.0,,,,,10
40101-2908-57.zip,北九州市門司区,40101,東馬寄,任意座標系,ver1.0,,,,,1
40101-2908-58.zip,北九州市門司区,40101,東本町１～２丁目・浜町・東港町,任意座標系,ver1.0,,,,,10
40101-2908-59.zip,北九州市門司区,40101,東門司１～２丁目,任意座標系,ver1.0,,,,,10
40101-2908-6.zip,北九州市門司区,40101,猿喰Ｂ,任意座標系,ver1.0,,,,,38
40101-2908-60.zip,北九州市門司区,40101,桃山台,任意座標系,ver1.0,,,,,3
