filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
07201-3800-1.zip,福島市,07201,伏拝,任意座標系,ver1.0,,,,,10
07201-3800-10.zip,福島市,07201,山口字三蔵入,任意座標系,ver1.0,,,,,8
07201-3800-100.zip,福島市,07201,福島市下鳥渡,任意座標系,ver1.0,,,,,14
07201-3800-101.zip,福島市,07201,福島市下野寺,任意座標系,ver1.0,,,,,2
07201-3800-102.zip,福島市,07201,福島市鎌田,任意座標系,ver1.0,,,,,15
07201-3800-103.zip,福島市,07201,福島市鎌田月の輪山宅地造成,任意座標系,ver1.0,,,,,9
07201-3800-104.zip,福島市,07201,福島市丸子,任意座標系,ver1.0,,,,,7
07201-3800-105.zip,福島市,07201,福島市金谷川地区,任意座標系,ver1.0,,,,,1
07201-3800-106.zip,福島市,07201,福島市御山,任意座標系,ver1.0,,,,,38
07201-3800-107.zip,福島市,07201,福島市荒井Ａ,任意座標系,ver1.0,,,,,42
07201-3800-108.zip,福島市,07201,福島市荒町・石田・岩之前地区他,任意座標系,ver1.0,,,,,29
07201-3800-109.zip,福島市,07201,福島市佐原Ａ,任意座標系,ver1.0,,,,,51
07201-3800-11.zip,福島市,07201,山口字女形・白山・狢窪,任意座標系,ver1.0,,,,,5
07201-3800-110.zip,福島市,07201,福島市黒岩字棚窪地区他,任意座標系,ver1.0,,,,,17
07201-3800-111.zip,福島市,07201,福島市黒岩字藤西地区他,任意座標系,ver1.0,,,,,6
07201-3800-112.zip,福島市,07201,福島市砂原・土湯温泉町,任意座標系,ver1.0,,,,,3
07201-3800-113.zip,福島市,07201,福島市在庭坂Ａ,任意座標系,ver1.0,,,,,45
07201-3800-114.zip,福島市,07201,福島市在庭坂Ｂ（土地改良）,任意座標系,ver1.0,,,,,1
07201-3800-115.zip,福島市,07201,福島市桜本Ａ,任意座標系,ver1.0,,,,,35
07201-3800-116.zip,福島市,07201,福島市桜本Ｂ,任意座標系,ver1.0,,,,,32
07201-3800-117.zip,福島市,07201,福島市笹木野,任意座標系,ver1.0,,,,,3
07201-3800-118.zip,福島市,07201,福島市三河北町・三河南町地区他,任意座標系,ver1.0,,,,,14
07201-3800-119.zip,福島市,07201,福島市山田字山ノ神前,任意座標系,ver1.0,,,,,1
07201-3800-12.zip,福島市,07201,山口字大窪,任意座標系,ver1.0,,,,,1
07201-3800-120.zip,福島市,07201,福島市山田字中ノ作,任意座標系,ver1.0,,,,,2
07201-3800-121.zip,福島市,07201,福島市山田字陸峯壇,任意座標系,ver1.0,,,,,1
07201-3800-122.zip,福島市,07201,福島市小倉寺,任意座標系,ver1.0,,,,,2
07201-3800-123.zip,福島市,07201,福島市松川町関谷Ａ,任意座標系,ver1.0,,,,,30
07201-3800-124.zip,福島市,07201,福島市松川町関谷Ｂ,任意座標系,ver1.0,,,,,30
07201-3800-125.zip,福島市,07201,福島市松川町関谷Ｃ,任意座標系,ver1.0,,,,,38
07201-3800-126.zip,福島市,07201,福島市松川町金沢Ａ,任意座標系,ver1.0,,,,,31
07201-3800-127.zip,福島市,07201,福島市松川町金沢Ｂ,任意座標系,ver1.0,,,,,30
07201-3800-128.zip,福島市,07201,福島市上鳥渡,任意座標系,ver1.0,,,,,29
07201-3800-129.zip,福島市,07201,福島市松川町金沢Ｃ,任意座標系,ver1.0,,,,,38
07201-3800-13.zip,福島市,07201,山口字中ノ内,任意座標系,ver1.0,,,,,2
07201-3800-130.zip,福島市,07201,福島市松川町金沢Ｄ,任意座標系,ver1.0,,,,,39
07201-3800-131.zip,福島市,07201,福島市松川町金沢Ｅ,任意座標系,ver1.0,,,,,40
07201-3800-132.zip,福島市,07201,福島市松川町金沢Ｆ,任意座標系,ver1.0,,,,,37
07201-3800-133.zip,福島市,07201,福島市松川町浅川Ａ,任意座標系,ver1.0,,,,,38
