filename,map_no,scale,unknown_direct_flg,leftbottom_x,leftbottom_y,lefttop_x,lefttop_y,rightbottom_x,rightbottom_y,righttop_x,righttop_y,maptype,mapcategory,mapmaterial,sonae_ymd_y,sonae_ymd_m,sonae_ymd_d,map_ymd_y,map_ymd_m,map_ymd_d
12101-0400-1.zip,080044,600,false,-22.478,33.114,28.326,291.593,-347.803,96.843,-296.447,361.114,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,12,18
12101-0400-10.zip,0800523-2,600,false,-1844.003,677.667,-1675.208,466.964,-1588.772,881.922,-1419.941,671.296,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800524,600,false,-1648.705,983.405,-1438.757,1153.149,-1854.086,1237.595,-1644.317,1407.437,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800526,600,false,-1768.873,2016.189,-1499.480,2033.348,-1789.595,2342.469,-1520.212,2359.780,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800527,600,false,-2275.255,21.572,-2005.384,27.622,-2282.453,348.316,-2012.585,354.518,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800513,600,false,-799.209,35.305,-529.332,31.113,-794.133,362.098,-524.255,357.905,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800514,600,false,-711.064,513.236,-482.492,656.841,-884.973,790.042,-656.401,933.648,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800525,600,false,-1850.365,1708.066,-1705.745,1480.093,-1574.356,1883.160,-1429.736,1655.186,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800508,600,false,-273.506,26.355,-3.582,23.310,-269.708,353.158,0.177,350.075,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800509,600,false,-276.676,528.420,-6.853,520.384,-266.771,855.134,3.011,847.023,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800510,500,false,-213.170,1031.603,-13.313,1038.989,-222.405,1281.306,-22.646,1288.783,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1986,2,28
12101-0400-10.zip,0800511,500,false,-217.598,1538.575,-17.715,1541.356,-221.168,1788.300,-21.128,1791.179,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1986,2,28
12101-0400-10.zip,0800512,500,false,-219.157,2036.391,-19.209,2033.895,-216.110,2286.215,-16.224,2283.911,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1986,2,28
12101-0400-10.zip,0800515,600,false,-795.551,1045.886,-529.026,1002.813,-743.230,1368.501,-476.813,1325.483,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800516,600,false,-768.643,1525.376,-498.707,1522.788,-765.403,1852.233,-495.468,1849.721,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800517,600,false,-843.668,2160.696,-657.116,1965.539,-607.360,2386.464,-420.833,2191.389,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800518,600,false,-1064.135,-0.310,-947.222,243.001,-1358.708,141.350,-1241.834,384.849,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800519,600,false,-1050.917,508.120,-955.054,760.550,-1356.352,624.308,-1260.566,876.644,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800520,600,false,-1290.011,1037.294,-1021.767,1006.402,-1252.424,1362.027,-984.294,1331.148,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800521,600,false,-1284.471,1538.207,-1015.522,1514.582,-1255.772,1863.777,-986.895,1840.196,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
12101-0400-10.zip,0800522,600,false,-1271.284,2023.904,-1001.268,2024.251,-1271.551,2350.727,-1001.611,2351.150,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,1980,3,
