filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
22101-0800-1.zip,静岡市葵区,22101,安倍口新田,任意座標系,ver1.0,,,,,1
22101-0800-10.zip,静岡市葵区,22101,井川Ｉ,任意座標系,ver1.0,,,,,3
22101-0800-100.zip,静岡市葵区,22101,黒俣Ｉ,任意座標系,ver1.0,,,,,5
22101-0800-101.zip,静岡市葵区,22101,黒俣Ｊ,任意座標系,ver1.0,,,,,19
22101-0800-102.zip,静岡市葵区,22101,黒俣Ｋ,任意座標系,ver1.0,,,,,12
22101-0800-103.zip,静岡市葵区,22101,黒俣Ｌ,任意座標系,ver1.0,,,,,18
22101-0800-104.zip,静岡市葵区,22101,黒俣Ｍ,任意座標系,ver1.0,,,,,24
22101-0800-105.zip,静岡市葵区,22101,黒俣Ｎ,任意座標系,ver1.0,,,,,16
22101-0800-106.zip,静岡市葵区,22101,黒俣Ｐ,任意座標系,ver1.0,,,,,20
22101-0800-107.zip,静岡市葵区,22101,黒俣Ｑ,任意座標系,ver1.0,,,,,13
22101-0800-108.zip,静岡市葵区,22101,黒俣Ｒ,任意座標系,ver1.0,,,,,19
22101-0800-109.zip,静岡市葵区,22101,黒俣Ｓ,任意座標系,ver1.0,,,,,20
22101-0800-11.zip,静岡市葵区,22101,井川Ｊ,任意座標系,ver1.0,,,,,1
22101-0800-110.zip,静岡市葵区,22101,黒俣Ｔ,任意座標系,ver1.0,,,,,14
22101-0800-111.zip,静岡市葵区,22101,黒俣Ｕ,任意座標系,ver1.0,,,,,16
22101-0800-112.zip,静岡市葵区,22101,黒俣Ｗ,任意座標系,ver1.0,,,,,24
22101-0800-113.zip,静岡市葵区,22101,腰越Ａ,任意座標系,ver1.0,,,,,12
22101-0800-114.zip,静岡市葵区,22101,腰越Ｂ,任意座標系,ver1.0,,,,,18
22101-0800-115.zip,静岡市葵区,22101,腰越Ｃ,任意座標系,ver1.0,,,,,17
22101-0800-116.zip,静岡市葵区,22101,紺屋町・呉服町・両替町,任意座標系,ver1.0,,,,,5
22101-0800-117.zip,静岡市葵区,22101,坂ノ上Ａ,任意座標系,ver1.0,,,,,17
22101-0800-118.zip,静岡市葵区,22101,材木町・駒形通４～６丁目,任意座標系,ver1.0,,,,,8
22101-0800-119.zip,静岡市葵区,22101,坂ノ上Ｂ,任意座標系,ver1.0,,,,,18
22101-0800-12.zip,静岡市葵区,22101,一番町,任意座標系,ver1.0,,,,,3
22101-0800-120.zip,静岡市葵区,22101,坂ノ上Ｃ,任意座標系,ver1.0,,,,,11
22101-0800-121.zip,静岡市葵区,22101,坂ノ上Ｅ,任意座標系,ver1.0,,,,,16
22101-0800-122.zip,静岡市葵区,22101,坂ノ上Ｆ,任意座標系,ver1.0,,,,,16
22101-0800-123.zip,静岡市葵区,22101,坂本Ａ,任意座標系,ver1.0,,,,,10
22101-0800-124.zip,静岡市葵区,22101,坂ノ上Ｇ,任意座標系,ver1.0,,,,,17
22101-0800-125.zip,静岡市葵区,22101,坂ノ上Ｉ,任意座標系,ver1.0,,,,,27
22101-0800-126.zip,静岡市葵区,22101,坂ノ上Ｌ,任意座標系,ver1.0,,,,,28
22101-0800-127.zip,静岡市葵区,22101,坂ノ上Ｍ,任意座標系,ver1.0,,,,,14
22101-0800-128.zip,静岡市葵区,22101,坂ノ上Ｎ,任意座標系,ver1.0,,,,,15
22101-0800-129.zip,静岡市葵区,22101,坂本Ｃ,任意座標系,ver1.0,,,,,18
22101-0800-13.zip,静岡市葵区,22101,下,任意座標系,ver1.0,,,,,1
22101-0800-130.zip,静岡市葵区,22101,坂本Ｄ,任意座標系,ver1.0,,,,,17
22101-0800-131.zip,静岡市葵区,22101,坂本Ｅ,任意座標系,ver1.0,,,,,19
22101-0800-132.zip,静岡市葵区,22101,坂本Ｈ,任意座標系,ver1.0,,,,,24
22101-0800-133.zip,静岡市葵区,22101,産女字眞ノ沢・大ダルケ谷・他,任意座標系,ver1.0,,,,,6
22101-0800-134.zip,静岡市葵区,22101,寺島Ａ,任意座標系,ver1.0,,,,,11
22101-0800-135.zip,静岡市葵区,22101,寺島Ｂ,任意座標系,ver1.0,,,,,18
22101-0800-136.zip,静岡市葵区,22101,七間町,任意座標系,ver1.0,,,,,2
22101-0800-137.zip,静岡市葵区,22101,慈悲尾Ｂ,任意座標系,ver1.0,,,,,27
22101-0800-138.zip,静岡市葵区,22101,漆山２,任意座標系,ver1.0,,,,,12
22101-0800-139.zip,静岡市葵区,22101,芝原,任意座標系,ver1.0,,,,,9
22101-0800-14.zip,静岡市葵区,22101,羽鳥Ｅ,任意座標系,ver1.0,,,,,29
22101-0800-140.zip,静岡市葵区,22101,若松町,任意座標系,ver1.0,,,,,4
22101-0800-141.zip,静岡市葵区,22101,秋山町・伊呂波町,任意座標系,ver1.0,,,,,7
22101-0800-142.zip,静岡市葵区,22101,住吉２丁目,任意座標系,ver1.0,,,,,2
22101-0800-143.zip,静岡市葵区,22101,小河内,任意座標系,ver1.0,,,,,18
22101-0800-144.zip,静岡市葵区,22101,駿河町・昭和町・常磐町,任意座標系,ver1.0,,,,,6
22101-0800-145.zip,静岡市葵区,22101,諸子沢Ａ,任意座標系,ver1.0,,,,,26
22101-0800-146.zip,静岡市葵区,22101,諸子沢Ｂ,任意座標系,ver1.0,,,,,19
22101-0800-147.zip,静岡市葵区,22101,諸子沢Ｄ,任意座標系,ver1.0,,,,,22
22101-0800-148.zip,静岡市葵区,22101,諸子沢Ｅ,任意座標系,ver1.0,,,,,22
22101-0800-149.zip,静岡市葵区,22101,諸子沢Ｆ,任意座標系,ver1.0,,,,,25
22101-0800-15.zip,静岡市葵区,22101,羽鳥Ｆ,任意座標系,ver1.0,,,,,35
22101-0800-150.zip,静岡市葵区,22101,諸子沢Ｇ,任意座標系,ver1.0,,,,,21
22101-0800-151.zip,静岡市葵区,22101,諸子沢Ｈ,任意座標系,ver1.0,,,,,23
22101-0800-152.zip,静岡市葵区,22101,小瀬戸Ａ,任意座標系,ver1.0,,,,,16
22101-0800-153.zip,静岡市葵区,22101,小島Ａ,任意座標系,ver1.0,,,,,31
22101-0800-154.zip,静岡市葵区,22101,小瀬戸Ｄ,任意座標系,ver1.0,,,,,2
22101-0800-155.zip,静岡市葵区,22101,小布杉Ａ,任意座標系,ver1.0,,,,,29
22101-0800-156.zip,静岡市葵区,22101,小布杉Ｂ,任意座標系,ver1.0,,,,,28
22101-0800-157.zip,静岡市葵区,22101,小布杉字三本松,任意座標系,ver1.0,,,,,6
22101-0800-158.zip,静岡市葵区,22101,小布杉字横野・仙柄・他Ａ,任意座標系,ver1.0,,,,,20
22101-0800-159.zip,静岡市葵区,22101,小布杉字横野・仙柄・他Ｂ,任意座標系,ver1.0,,,,,13
22101-0800-16.zip,静岡市葵区,22101,羽鳥Ｇ,任意座標系,ver1.0,,,,,30
22101-0800-160.zip,静岡市葵区,22101,小布杉字柿ノ平・向川・他,任意座標系,ver1.0,,,,,19
22101-0800-161.zip,静岡市葵区,22101,小布杉字山中・白石・他,任意座標系,ver1.0,,,,,17
22101-0800-162.zip,静岡市葵区,22101,松富１丁目,任意座標系,ver1.0,,,,,1
22101-0800-163.zip,静岡市葵区,22101,松野Ｂ,任意座標系,ver1.0,,,,,18
22101-0800-164.zip,静岡市葵区,22101,松野Ｃ,任意座標系,ver1.0,,,,,16
22101-0800-165.zip,静岡市葵区,22101,松野Ｄ,任意座標系,ver1.0,,,,,13
22101-0800-166.zip,静岡市葵区,22101,松野Ｅ,任意座標系,ver1.0,,,,,18
22101-0800-167.zip,静岡市葵区,22101,上足洗・上足洗１～４丁目,任意座標系,ver1.0,,,,,23
22101-0800-168.zip,静岡市葵区,22101,上土新田,任意座標系,ver1.0,,,,,1
22101-0800-169.zip,静岡市葵区,22101,上落合Ａ,任意座標系,ver1.0,,,,,25
22101-0800-17.zip,静岡市葵区,22101,栄町・伝馬町・御幸町,任意座標系,ver1.0,,,,,7
22101-0800-170.zip,静岡市葵区,22101,上落合Ｃ,任意座標系,ver1.0,,,,,34
22101-0800-171.zip,静岡市葵区,22101,城内町・駿府町・駿府公園,任意座標系,ver1.0,,,,,15
22101-0800-172.zip,静岡市葵区,22101,城北２丁目・岳美１丁目,任意座標系,ver1.0,,,,,1
22101-0800-173.zip,静岡市葵区,22101,新間Ｂ,任意座標系,ver1.0,,,,,19
22101-0800-174.zip,静岡市葵区,22101,新間Ｇ,任意座標系,ver1.0,,,,,29
22101-0800-175.zip,静岡市葵区,22101,新間Ｈ,任意座標系,ver1.0,,,,,54
22101-0800-176.zip,静岡市葵区,22101,新間Ｉ,任意座標系,ver1.0,,,,,50
22101-0800-177.zip,静岡市葵区,22101,新間Ｋ,任意座標系,ver1.0,,,,,4
22101-0800-178.zip,静岡市葵区,22101,新通２丁目,任意座標系,ver1.0,,,,,1
22101-0800-179.zip,静岡市葵区,22101,新通一丁目,任意座標系,ver1.0,,,,,3
22101-0800-18.zip,静岡市葵区,22101,奥池ヶ谷Ａ,任意座標系,ver1.0,,,,,23
22101-0800-180.zip,静岡市葵区,22101,新富町一丁目～六丁目,任意座標系,ver1.0,,,,,13
22101-0800-181.zip,静岡市葵区,22101,森腰Ａ,任意座標系,ver1.0,,,,,24
22101-0800-182.zip,静岡市葵区,22101,森腰Ｂ,任意座標系,ver1.0,,,,,15
22101-0800-183.zip,静岡市葵区,22101,神明町・末広町,任意座標系,ver1.0,,,,,5
22101-0800-184.zip,静岡市葵区,22101,水見色字宮下・桂山・他Ａ,任意座標系,ver1.0,,,,,20
22101-0800-185.zip,静岡市葵区,22101,水見色字宮下・桂山・他Ｂ,任意座標系,ver1.0,,,,,12
22101-0800-186.zip,静岡市葵区,22101,水見色字見先道・丸山・他,任意座標系,ver1.0,,,,,18
22101-0800-187.zip,静岡市葵区,22101,水道町,任意座標系,ver1.0,,,,,5
22101-0800-188.zip,静岡市葵区,22101,水見色字大日蔭・久ノ沢・他,任意座標系,ver1.0,,,,,21
22101-0800-189.zip,静岡市葵区,22101,水見色字大日蔭・中尾山・他Ａ,任意座標系,ver1.0,,,,,21
22101-0800-19.zip,静岡市葵区,22101,横山Ａ,任意座標系,ver1.0,,,,,23
22101-0800-190.zip,静岡市葵区,22101,水見色字樽奥・木戸沢・他Ａ,任意座標系,ver1.0,,,,,26
22101-0800-191.zip,静岡市葵区,22101,水見色字樽奥・木戸沢・他Ｂ,任意座標系,ver1.0,,,,,32
22101-0800-192.zip,静岡市葵区,22101,水見色字天神山・西ノ谷・他Ａ,任意座標系,ver1.0,,,,,24
22101-0800-193.zip,静岡市葵区,22101,水見色字天神山・西ノ谷・他Ｂ,任意座標系,ver1.0,,,,,25
22101-0800-194.zip,静岡市葵区,22101,水見色字藤渕・白澤・他,任意座標系,ver1.0,,,,,20
22101-0800-195.zip,静岡市葵区,22101,水見色字明神石・樽奥・他Ａ,任意座標系,ver1.0,,,,,25
22101-0800-196.zip,静岡市葵区,22101,水見色字明神石・樽奥・他Ｂ,任意座標系,ver1.0,,,,,12
22101-0800-197.zip,静岡市葵区,22101,水落町Ａ,任意座標系,ver1.0,,,,,6
22101-0800-198.zip,静岡市葵区,22101,水落町Ｂ,任意座標系,ver1.0,,,,,1
22101-0800-199.zip,静岡市葵区,22101,杉尾Ａ,任意座標系,ver1.0,,,,,18
22101-0800-2.zip,静岡市葵区,22101,井川Ａ,任意座標系,ver1.0,,,,,4
22101-0800-20.zip,静岡市葵区,22101,奥池ヶ谷Ｂ,任意座標系,ver1.0,,,,,23
22101-0800-200.zip,静岡市葵区,22101,杉尾Ｂ,任意座標系,ver1.0,,,,,13
22101-0800-201.zip,静岡市葵区,22101,杉尾Ｃ,任意座標系,ver1.0,,,,,9
22101-0800-202.zip,静岡市葵区,22101,杉尾Ｄ,任意座標系,ver1.0,,,,,15
22101-0800-203.zip,静岡市葵区,22101,杉尾Ｅ,任意座標系,ver1.0,,,,,13
22101-0800-204.zip,静岡市葵区,22101,清閑町,任意座標系,ver1.0,,,,,2
22101-0800-205.zip,静岡市葵区,22101,瀬名３・５～７丁目Ｂ,公共座標8系,ver1.0,測量,,,,28
22101-0800-206.zip,静岡市葵区,22101,西ヶ谷,任意座標系,ver1.0,,,,,37
22101-0800-207.zip,静岡市葵区,22101,西千代田町,任意座標系,ver1.0,,,,,4
22101-0800-208.zip,静岡市葵区,22101,西又字聖・三俣・他Ａ,任意座標系,ver1.0,,,,,20
22101-0800-209.zip,静岡市葵区,22101,西又字聖・三俣・他Ｂ,任意座標系,ver1.0,,,,,24
22101-0800-21.zip,静岡市葵区,22101,横山Ｂ,任意座標系,ver1.0,,,,,18
22101-0800-210.zip,静岡市葵区,22101,西門町,任意座標系,ver1.0,,,,,1
22101-0800-211.zip,静岡市葵区,22101,静岡市伊呂波町地区,任意座標系,ver1.0,,,,,1
22101-0800-212.zip,静岡市葵区,22101,静岡市沓谷２丁目地区,任意座標系,ver1.0,,,,,5
22101-0800-213.zip,静岡市葵区,22101,静岡市沓谷３丁目地区,任意座標系,ver1.0,,,,,6
22101-0800-214.zip,静岡市葵区,22101,静岡市沓谷４丁目地区,任意座標系,ver1.0,,,,,7
22101-0800-215.zip,静岡市葵区,22101,静岡市沓谷５・６丁目地区,任意座標系,ver1.0,,,,,9
22101-0800-216.zip,静岡市葵区,22101,静岡市沓谷地区,任意座標系,ver1.0,,,,,7
22101-0800-217.zip,静岡市葵区,22101,静岡市沓谷地区Ｂ,任意座標系,ver1.0,,,,,3
22101-0800-218.zip,静岡市葵区,22101,静岡市昭府１・２丁目・昭府町地区,任意座標系,ver1.0,,,,,10
22101-0800-219.zip,静岡市葵区,22101,静岡市昭和４３年度地区Ｂ,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,25
22101-0800-22.zip,静岡市葵区,22101,横山Ｃ,任意座標系,ver1.0,,,,,16
22101-0800-220.zip,静岡市葵区,22101,赤松,任意座標系,ver1.0,,,,,7
22101-0800-221.zip,静岡市葵区,22101,静岡市昭和５５年度地区,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,50
22101-0800-222.zip,静岡市葵区,22101,静岡市千代田地区,任意座標系,ver1.0,,,,,1
22101-0800-223.zip,静岡市葵区,22101,静岡市昭和６１年度地区,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
22101-0800-224.zip,静岡市葵区,22101,静岡市千代田１丁目地区,任意座標系,ver1.0,,,,,4
22101-0800-225.zip,静岡市葵区,22101,静岡市千代田２丁目地区,任意座標系,ver1.0,,,,,2
22101-0800-226.zip,静岡市葵区,22101,静岡市千代田３丁目地区,任意座標系,ver1.0,,,,,4
22101-0800-227.zip,静岡市葵区,22101,静岡市中ノ郷遠藤新田地区,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,9
22101-0800-228.zip,静岡市葵区,22101,静岡市堤町地区,任意座標系,ver1.0,,,,,2
22101-0800-229.zip,静岡市葵区,22101,静岡市平成４年度地区,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
22101-0800-23.zip,静岡市葵区,22101,横山Ｄ,任意座標系,ver1.0,,,,,19
22101-0800-230.zip,静岡市葵区,22101,静岡市平成７年度地区,公共座標8系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,6
22101-0800-231.zip,静岡市葵区,22101,赤沢Ａ,任意座標系,ver1.0,,,,,60
22101-0800-232.zip,静岡市葵区,22101,静岡市北安東１丁目地区,任意座標系,ver1.0,,,,,4
22101-0800-233.zip,静岡市葵区,22101,静岡市北安東３丁目地区,任意座標系,ver1.0,,,,,5
22101-0800-234.zip,静岡市葵区,22101,静岡市北安東４丁目地区,任意座標系,ver1.0,,,,,7
22101-0800-235.zip,静岡市葵区,22101,静岡市北安東５丁目地区,任意座標系,ver1.0,,,,,7
22101-0800-236.zip,静岡市葵区,22101,静岡市牧ヶ谷地区Ａ１,任意座標系,ver1.0,,,,,8
22101-0800-237.zip,静岡市葵区,22101,静岡市牧ヶ谷地区Ａ２,任意座標系,ver1.0,,,,,4
22101-0800-238.zip,静岡市葵区,22101,静岡市牧ヶ谷地区Ａ３,任意座標系,ver1.0,,,,,10
22101-0800-239.zip,静岡市葵区,22101,静岡市牧ヶ谷地区Ｂ１,任意座標系,ver1.0,,,,,16
22101-0800-24.zip,静岡市葵区,22101,横山Ｅ,任意座標系,ver1.0,,,,,20
22101-0800-240.zip,静岡市葵区,22101,静岡市牧ヶ谷地区Ｂ２,任意座標系,ver1.0,,,,,9
22101-0800-241.zip,静岡市葵区,22101,静岡市牧ヶ谷地区Ｃ,任意座標系,ver1.0,,,,,6
22101-0800-242.zip,静岡市葵区,22101,静岡市牧ヶ谷地区Ｄ１,任意座標系,ver1.0,,,,,3
22101-0800-243.zip,静岡市葵区,22101,静岡市牧ヶ谷地区Ｄ２,任意座標系,ver1.0,,,,,11
22101-0800-244.zip,静岡市葵区,22101,静岡市牧ヶ谷地区Ｅ,任意座標系,ver1.0,,,,,13
22101-0800-245.zip,静岡市葵区,22101,静岡市牧ヶ谷地区Ｆ,任意座標系,ver1.0,,,,,37
22101-0800-246.zip,静岡市葵区,22101,赤沢Ｂ,任意座標系,ver1.0,,,,,42
22101-0800-247.zip,静岡市葵区,22101,千代田２丁目・３丁目,公共座標8系,ver1.0,測量,,,,9
22101-0800-248.zip,静岡市葵区,22101,川合・川合１丁目・上土２丁目,任意座標系,ver1.0,,,,,7
22101-0800-249.zip,静岡市葵区,22101,浅間町・長谷町,任意座標系,ver1.0,,,,,8
22101-0800-25.zip,静岡市葵区,22101,横沢Ａ,任意座標系,ver1.0,,,,,23
22101-0800-250.zip,静岡市葵区,22101,銭座町,任意座標系,ver1.0,,,,,5
22101-0800-251.zip,静岡市葵区,22101,前林,任意座標系,ver1.0,,,,,6
22101-0800-252.zip,静岡市葵区,22101,相生町,任意座標系,ver1.0,,,,,3
22101-0800-253.zip,静岡市葵区,22101,相淵,任意座標系,ver1.0,,,,,26
22101-0800-254.zip,静岡市葵区,22101,相俣Ａ,任意座標系,ver1.0,,,,,31
22101-0800-255.zip,静岡市葵区,22101,相俣Ｂ,任意座標系,ver1.0,,,,,15
22101-0800-256.zip,静岡市葵区,22101,相俣Ｃ,任意座標系,ver1.0,,,,,6
22101-0800-257.zip,静岡市葵区,22101,相俣Ｄ,任意座標系,ver1.0,,,,,2
22101-0800-258.zip,静岡市葵区,22101,相俣Ｅ,任意座標系,ver1.0,,,,,16
22101-0800-259.zip,静岡市葵区,22101,相俣Ｆ,任意座標系,ver1.0,,,,,7
22101-0800-26.zip,静岡市葵区,22101,横沢Ｂ,任意座標系,ver1.0,,,,,25
22101-0800-260.zip,静岡市葵区,22101,相俣Ｇ,任意座標系,ver1.0,,,,,33
22101-0800-261.zip,静岡市葵区,22101,相俣Ｈ,任意座標系,ver1.0,,,,,9
22101-0800-262.zip,静岡市葵区,22101,足久保奥組字アロヲト・奥平・他,任意座標系,ver1.0,,,,,21
22101-0800-263.zip,静岡市葵区,22101,足久保奥組字ジンノウ・タルシタ,任意座標系,ver1.0,,,,,11
22101-0800-264.zip,静岡市葵区,22101,足久保奥組字ホソノ・グミノサク・他Ａ,任意座標系,ver1.0,,,,,23
22101-0800-265.zip,静岡市葵区,22101,足久保奥組字ホソノ・グミノサク・他Ｂ,任意座標系,ver1.0,,,,,20
22101-0800-266.zip,静岡市葵区,22101,足久保奥組字影山・タケノ上・他,任意座標系,ver1.0,,,,,21
22101-0800-267.zip,静岡市葵区,22101,足久保奥組字牛ヶ峯・梅久保,任意座標系,ver1.0,,,,,14
22101-0800-268.zip,静岡市葵区,22101,足久保口組,任意座標系,ver1.0,,,,,5
22101-0800-269.zip,静岡市葵区,22101,足久保奥組字金堀戸・サルビラ,任意座標系,ver1.0,,,,,20
22101-0800-27.zip,静岡市葵区,22101,横沢Ｃ,任意座標系,ver1.0,,,,,21
22101-0800-270.zip,静岡市葵区,22101,足久保奥組字栗尾山・馬平・他Ａ,任意座標系,ver1.0,,,,,20
22101-0800-271.zip,静岡市葵区,22101,足久保奥組字栗尾山・馬平・他Ｂ,任意座標系,ver1.0,,,,,23
22101-0800-272.zip,静岡市葵区,22101,足久保奥組字杉内・タル上,任意座標系,ver1.0,,,,,12
22101-0800-273.zip,静岡市葵区,22101,足久保奥組字小寄沢・向山・他,任意座標系,ver1.0,,,,,16
22101-0800-274.zip,静岡市葵区,22101,足久保奥組字深沢・双谷・他,任意座標系,ver1.0,,,,,32
22101-0800-275.zip,静岡市葵区,22101,足久保奥組字西平山・逆川・他,任意座標系,ver1.0,,,,,15
22101-0800-276.zip,静岡市葵区,22101,足久保奥組字川端・下山戸・他,任意座標系,ver1.0,,,,,14
22101-0800-277.zip,静岡市葵区,22101,足久保奥組字村奥・ジンノウ沢字,任意座標系,ver1.0,,,,,11
22101-0800-278.zip,静岡市葵区,22101,足久保奥組字大城台・小屋ノ沢・他,任意座標系,ver1.0,,,,,12
22101-0800-279.zip,静岡市葵区,22101,足久保奥組字滝ノ沢・草木沢・他Ａ,任意座標系,ver1.0,,,,,26
22101-0800-28.zip,静岡市葵区,22101,横沢Ｄ,任意座標系,ver1.0,,,,,22
22101-0800-280.zip,静岡市葵区,22101,足久保奥組字滝ノ沢・草木沢・他Ｂ,任意座標系,ver1.0,,,,,13
22101-0800-281.zip,静岡市葵区,22101,足久保奥組字沢奥・高山・他,任意座標系,ver1.0,,,,,19
22101-0800-282.zip,静岡市葵区,22101,足久保奥組字炭沢山・中野・他,任意座標系,ver1.0,,,,,22
22101-0800-283.zip,静岡市葵区,22101,足久保奥組字中山・火打石・他,任意座標系,ver1.0,,,,,20
22101-0800-284.zip,静岡市葵区,22101,太田町,任意座標系,ver1.0,,,,,3
22101-0800-285.zip,静岡市葵区,22101,足久保奥組字法明寺,任意座標系,ver1.0,,,,,8
22101-0800-286.zip,静岡市葵区,22101,足久保口（宅地開発）,任意座標系,ver1.0,,,,,2
22101-0800-287.zip,静岡市葵区,22101,足久保口組Ｂ,任意座標系,ver1.0,,,,,8
22101-0800-288.zip,静岡市葵区,22101,足久保口組Ｃ,任意座標系,ver1.0,,,,,28
22101-0800-289.zip,静岡市葵区,22101,足久保口組Ｄ,任意座標系,ver1.0,,,,,38
22101-0800-29.zip,静岡市葵区,22101,横沢Ｅ,任意座標系,ver1.0,,,,,21
22101-0800-290.zip,静岡市葵区,22101,足久保口組Ｅ,任意座標系,ver1.0,,,,,18
22101-0800-291.zip,静岡市葵区,22101,足久保口組Ｆ,任意座標系,ver1.0,,,,,23
22101-0800-292.zip,静岡市葵区,22101,足久保口組Ｇ,任意座標系,ver1.0,,,,,31
22101-0800-293.zip,静岡市葵区,22101,大間Ｂ,任意座標系,ver1.0,,,,,26
22101-0800-294.zip,静岡市葵区,22101,大岩,任意座標系,ver1.0,,,,,20
22101-0800-295.zip,静岡市葵区,22101,大岩１～４丁目,任意座標系,ver1.0,,,,,28
22101-0800-296.zip,静岡市葵区,22101,大原Ｂ,任意座標系,ver1.0,,,,,10
22101-0800-297.zip,静岡市葵区,22101,谷津,任意座標系,ver1.0,,,,,32
22101-0800-298.zip,静岡市葵区,22101,大原Ｃ,任意座標系,ver1.0,,,,,33
