filename,map_no,scale,unknown_direct_flg,leftbottom_x,leftbottom_y,lefttop_x,lefttop_y,rightbottom_x,rightbottom_y,righttop_x,righttop_y,maptype,mapcategory,mapmaterial,sonae_ymd_y,sonae_ymd_m,sonae_ymd_d,map_ymd_y,map_ymd_m,map_ymd_d
22101-0800-1.zip,67-5,600,false,-9.969,-195.097,208.778,-35.761,-203.192,68.685,15.519,228.136,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-10.zip,12-1-89,600,false,-192.688,-25.853,0.168,-210.181,33.249,210.399,226.293,26.102,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-10.zip,12-1-90,600,false,-198.389,91.538,59.834,24.064,-115.658,407.756,142.761,340.428,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-10.zip,12-1-91,600,false,-317.902,39.519,-88.571,-96.929,-150.739,320.402,78.904,184.031,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-100.zip,23-19-115,600,false,1.141,-193.383,207.138,-28.401,-203.107,61.707,2.818,226.534,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-100.zip,23-19-117,600,false,-303.841,-212.423,-39.575,-97.846,-433.849,87.432,-169.582,202.009,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-100.zip,23-19-116,600,false,-66.274,104.864,174.863,212.124,-201.555,408.996,39.582,516.256,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-100.zip,23-19-120,600,false,-617.483,699.359,-398.651,551.755,-434.704,970.340,-215.872,822.736,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-100.zip,23-19-123,600,false,-695.297,803.268,-504.801,985.819,-929.724,1047.896,-739.228,1230.448,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-101.zip,23-19-138,600,false,-388.744,225.992,-247.117,490.458,-706.102,395.945,-564.476,660.410,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-101.zip,23-19-134,600,false,145.213,-135.650,160.792,127.355,-181.497,-116.297,-165.917,146.708,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-101.zip,23-19-136,600,false,133.711,-4.767,294.190,204.465,-125.552,194.150,34.976,403.202,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-101.zip,23-19-137A,600,false,-91.538,335.318,81.439,534.695,-338.333,549.514,-165.289,748.735,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
22101-0800-101.zip,23-19-127,600,false,543.325,72.580,805.674,98.766,510.873,397.713,773.221,423.898,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
