filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
27102-1203-1.zip,大阪市都島区,27102,内代町１丁目～４丁目,任意座標系,ver1.0,,,,,11
27102-1203-10.zip,大阪市都島区,27102,網島町・東野田町１丁目～２丁目・他,任意座標系,ver1.0,,,,,25
27102-1203-11.zip,大阪市都島区,27102,網島町・片町１丁目～３丁目,任意座標系,ver1.0,,,,,7
27102-1203-12.zip,大阪市都島区,27102,東野田町,公共座標6系,ver1.0,測量,,,,4
27102-1203-2.zip,大阪市都島区,27102,毛馬町１丁目・５丁目,任意座標系,ver1.0,,,,,7
27102-1203-3.zip,大阪市都島区,27102,毛馬町２～４丁目・大東町１～３丁目,任意座標系,ver1.0,,,,,21
27102-1203-4.zip,大阪市都島区,27102,友渕町１丁目～３丁目・中野町５丁目,任意座標系,ver1.0,,,,,13
27102-1203-5.zip,大阪市都島区,27102,高倉町１～３丁目・御幸町１・２丁目,任意座標系,ver1.0,,,,,11
27102-1203-6.zip,大阪市都島区,27102,善源寺町１・２丁目・都島本通１丁目,任意座標系,ver1.0,,,,,5
27102-1203-7.zip,大阪市都島区,27102,中野町１～４丁目・都島南通１・２丁目,任意座標系,ver1.0,,,,,18
27102-1203-8.zip,大阪市都島区,27102,都島北通１・２丁目・都島中通１丁目・他,任意座標系,ver1.0,,,,,24
27102-1203-9.zip,大阪市都島区,27102,東野田町４・５丁目・都島南通２丁目,任意座標系,ver1.0,,,,,10
27103-1203-1.zip,大阪市福島区,27103,玉川１～４丁目,任意座標系,ver1.0,,,,,18
27103-1203-10.zip,大阪市福島区,27103,27100_2021_1,公共座標6系,ver1.0,測量,,,,9
27103-1203-11.zip,大阪市福島区,27103,27100_2021_1,公共座標6系,ver1.0,測量,,,,5
27103-1203-2.zip,大阪市福島区,27103,鷺洲１～６丁目,任意座標系,ver1.0,,,,,37
27103-1203-3.zip,大阪市福島区,27103,福島１～４丁目,任意座標系,ver1.0,,,,,25
27103-1203-4.zip,大阪市福島区,27103,福島５～８丁目,任意座標系,ver1.0,,,,,28
27103-1203-5.zip,大阪市福島区,27103,海老江１～８丁目,任意座標系,ver1.0,,,,,49
27103-1203-6.zip,大阪市福島区,27103,吉野１～５丁目,任意座標系,ver1.0,,,,,36
27103-1203-7.zip,大阪市福島区,27103,大開１～４丁目,任意座標系,ver1.0,,,,,45
27103-1203-8.zip,大阪市福島区,27103,野田１～６丁目,任意座標系,ver1.0,,,,,44
27103-1203-9.zip,大阪市福島区,27103,海老江修正後,公共座標6系,ver1.0,測量,,,,3
27104-1203-1.zip,大阪市此花区,27104,此花区西部臨海地区Ａ,公共座標6系,ver1.0,測量,,,,18
27104-1203-10.zip,大阪市此花区,27104,酉島・常吉,任意座標系,ver1.0,,,,,8
27104-1203-11.zip,大阪市此花区,27104,梅町・北港・桜島,任意座標系,ver1.0,,,,,13
27104-1203-12.zip,大阪市此花区,27104,夢洲東１丁目,任意座標系,ver1.0,,,,,1
27104-1203-13.zip,大阪市此花区,27104,高見１～３丁目,任意座標系,ver1.0,,,,,21
27104-1203-14.zip,大阪市此花区,27104,春日出北・酉島,任意座標系,ver1.0,,,,,30
27104-1203-15.zip,大阪市此花区,27104,春日出中・春日出南,任意座標系,ver1.0,,,,,14
27104-1203-16.zip,大阪市此花区,27104,西九条１～７丁目,任意座標系,ver1.0,,,,,43
27104-1203-17.zip,大阪市此花区,27104,朝日・梅香・四貫島,任意座標系,ver1.0,,,,,22
27104-1203-18.zip,大阪市此花区,27104,伝法１～６丁目,任意座標系,ver1.0,,,,,35
27104-1203-19.zip,大阪市此花区,27104,大阪市此花区舞洲地区,公共座標6系,ver1.0,測量,,,,117
27104-1203-2.zip,大阪市此花区,27104,此花区西部臨海地区Ｂ,公共座標6系,ver1.0,測量,,,,48
27104-1203-3.zip,大阪市此花区,27104,此花区西部臨海地区Ｃ,公共座標6系,ver1.0,測量,,,,6
27104-1203-4.zip,大阪市此花区,27104,此花区西部臨海地区Ｄ,公共座標6系,ver1.0,測量,,,,2
27104-1203-5.zip,大阪市此花区,27104,此花区西部臨海地区Ｅ,公共座標6系,ver1.0,測量,,,,7
27104-1203-6.zip,大阪市此花区,27104,此花区西部臨海地区Ｆ,公共座標6系,ver1.0,測量,,,,13
27104-1203-7.zip,大阪市此花区,27104,此花区西部臨海地区Ｇ,公共座標6系,ver1.0,測量,,,,24
