filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
32201-2800-1.zip,松江市,32201,伊志見・佐々布,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,6
32201-2800-10.zip,松江市,32201,下宇部尾１１Ａ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,70
32201-2800-100.zip,松江市,32201,出雲郷（１／５００）Ａ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,114
32201-2800-101.zip,松江市,32201,出雲郷（１／５００）土改Ｂ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,7
32201-2800-102.zip,松江市,32201,出雲郷１１Ｖ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,8
32201-2800-103.zip,松江市,32201,出雲郷１１Ｘ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,22
32201-2800-104.zip,松江市,32201,出雲郷１３Ａ,任意座標系,ver1.0,,,,,2
32201-2800-105.zip,松江市,32201,出雲郷１３Ｃ０１,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,1
32201-2800-106.zip,松江市,32201,春日（１／５００）,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,98
32201-2800-107.zip,松江市,32201,春日１１Ｑ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
32201-2800-108.zip,松江市,32201,春日１１Ｒ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
32201-2800-109.zip,松江市,32201,諸喰１１Ａ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,85
32201-2800-11.zip,松江市,32201,下宇部尾１１Ｂ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,7
32201-2800-110.zip,松江市,32201,諸喰１３Ａ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,38
32201-2800-111.zip,松江市,32201,昭和新田１３Ａ,任意座標系,ver1.0,,,,,26
32201-2800-112.zip,松江市,32201,上意東（１／１０００）,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,49
32201-2800-113.zip,松江市,32201,上意東（１／５００）,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,169
32201-2800-114.zip,松江市,32201,上講武Ａ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,23
32201-2800-115.zip,松江市,32201,上意東（１／５００）土改,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,14
32201-2800-116.zip,松江市,32201,上意東１１Ｖ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,59
32201-2800-117.zip,松江市,32201,上講武Ｂ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
32201-2800-118.zip,松江市,32201,上講武Ｃ,任意座標系,ver1.0,,,,,1
32201-2800-119.zip,松江市,32201,上講武Ｄ,任意座標系,ver1.0,,,,,2
32201-2800-12.zip,松江市,32201,加賀（１／５００）,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,321
32201-2800-120.zip,松江市,32201,上東川津１４Ｃ０１,任意座標系,ver1.0,,,,,1
32201-2800-121.zip,松江市,32201,上東川津町１３Ａ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
32201-2800-122.zip,松江市,32201,上東川津町１３Ｂ,公共座標3系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,8
32201-2800-123.zip,松江市,32201,上東川津町１３Ｃ,任意座標系,ver1.0,,,,,1
