filename,map_no,scale,unknown_direct_flg,leftbottom_x,leftbottom_y,lefttop_x,lefttop_y,rightbottom_x,rightbottom_y,righttop_x,righttop_y,maptype,mapcategory,mapmaterial,sonae_ymd_y,sonae_ymd_m,sonae_ymd_d,map_ymd_y,map_ymd_m,map_ymd_d
42201-3100-1.zip,5,500,false,-25830.730,42990.850,-25630.729,42990.850,-25830.724,43240.852,-25630.722,43240.852,土地区画整理所在図,法第14条1項地図,P-F,,,,1992,12,1
42201-3100-1.zip,6,500,false,-25830.724,43240.852,-25630.722,43240.852,-25830.718,43490.855,-25630.716,43490.854,土地区画整理所在図,法第14条1項地図,P-F,,,,1992,12,1
42201-3100-1.zip,7,500,false,-25830.718,43490.855,-25630.716,43490.854,-25830.711,43740.857,-25630.710,43740.856,土地区画整理所在図,法第14条1項地図,P-F,,,,1992,12,1
42201-3100-1.zip,10,500,false,-26030.732,42990.850,-25830.730,42990.850,-26030.726,43240.853,-25830.724,43240.852,土地区画整理所在図,法第14条1項地図,P-F,,,,1992,12,1
42201-3100-1.zip,11,500,false,-26030.726,43240.853,-25830.724,43240.852,-26030.719,43490.855,-25830.718,43490.855,土地区画整理所在図,法第14条1項地図,P-F,,,,1992,12,1
42201-3100-1.zip,12,500,false,-26030.719,43490.855,-25830.718,43490.855,-26030.713,43740.858,-25830.711,43740.857,土地区画整理所在図,法第14条1項地図,P-F,,,,1992,12,1
42201-3100-1.zip,13,500,false,-26030.713,43740.858,-25830.711,43740.857,-26030.707,43990.861,-25830.705,43990.860,土地区画整理所在図,法第14条1項地図,P-F,,,,1992,12,1
42201-3100-1.zip,18,500,false,-26030.739,42740.846,-25830.737,42740.846,-26030.732,42990.850,-25830.730,42990.850,土地区画整理所在図,法第14条1項地図,P-F,,,,1992,12,1
42201-3100-10.zip,4,500,false,-25830.730,42990.850,-25630.729,42990.850,-25830.724,43240.852,-25630.722,43240.852,土地区画整理所在図,法第14条1項地図,P-F,,,,1991,12,18
42201-3100-10.zip,9,500,false,-26030.732,42990.850,-25830.730,42990.850,-26030.726,43240.853,-25830.724,43240.852,土地区画整理所在図,法第14条1項地図,P-F,,,,1991,12,18
42201-3100-10.zip,15,500,false,-25830.737,42740.846,-25630.736,42740.847,-25830.730,42990.850,-25630.729,42990.850,土地区画整理所在図,法第14条1項地図,P-F,,,,1991,12,18
