filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
46201-3400-1.zip,鹿児島市,46201,伊敷3丁目,公共座標2系,ver1.0,測量,,,,1
46201-3400-10.zip,鹿児島市,46201,伊敷町Ｃ,任意座標系,ver1.0,,,,,21
46201-3400-100.zip,鹿児島市,46201,吉田町１９９３年,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,10
46201-3400-101.zip,鹿児島市,46201,吉田町１９９４年,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,9
46201-3400-102.zip,鹿児島市,46201,吉田町１９９５年Ａ,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,9
46201-3400-103.zip,鹿児島市,46201,吉田町本名,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,87
46201-3400-104.zip,鹿児島市,46201,吉田町１９９５年Ｂ,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,12
46201-3400-105.zip,鹿児島市,46201,吉田町１９９５年Ｃ,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,1
46201-3400-106.zip,鹿児島市,46201,吉田町西佐多浦,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,3
46201-3400-107.zip,鹿児島市,46201,吉田町１９９６年,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,4
46201-3400-108.zip,鹿児島市,46201,吉田町本城本名,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,141
46201-3400-109.zip,鹿児島市,46201,吉田町本名（１９９５年調査地区）,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,86
46201-3400-11.zip,鹿児島市,46201,伊敷町Ｄ,任意座標系,ver1.0,,,,,19
46201-3400-110.zip,鹿児島市,46201,吉田町本名Ａ,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,79
46201-3400-111.zip,鹿児島市,46201,吉田町本名宮之浦の一部,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,89
46201-3400-112.zip,鹿児島市,46201,吉田町本名第１工区Ａ,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
46201-3400-113.zip,鹿児島市,46201,吉田町本名第１工区Ｂ,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,36
46201-3400-114.zip,鹿児島市,46201,吉田町本名第２工区,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,37
46201-3400-115.zip,鹿児島市,46201,吉田町本名南丸,公共座標2系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,5
46201-3400-116.zip,鹿児島市,46201,吉野町・大明ヶ丘１～３丁目,任意座標系,ver1.0,,,,,11
46201-3400-117.zip,鹿児島市,46201,吉野町（０６９ー１５４１）,任意座標系,ver1.0,,,,,4
46201-3400-118.zip,鹿児島市,46201,吉野町１８Ａ０１,任意座標系,ver1.0,,,,,1
46201-3400-119.zip,鹿児島市,46201,吉野町Ａ,任意座標系,ver1.0,,,,,14
46201-3400-12.zip,鹿児島市,46201,伊敷町Ｅ,任意座標系,ver1.0,,,,,16
46201-3400-120.zip,鹿児島市,46201,吉野町Ｃ,任意座標系,ver1.0,,,,,29
46201-3400-121.zip,鹿児島市,46201,吉野町Ｅ,任意座標系,ver1.0,,,,,28
46201-3400-122.zip,鹿児島市,46201,吉野町Ｇ,任意座標系,ver1.0,,,,,25
46201-3400-123.zip,鹿児島市,46201,吉野町Ｋ,任意座標系,ver1.0,,,,,25
