filename,map_no,scale,unknown_direct_flg,leftbottom_x,leftbottom_y,lefttop_x,lefttop_y,rightbottom_x,rightbottom_y,righttop_x,righttop_y,maptype,mapcategory,mapmaterial,sonae_ymd_y,sonae_ymd_m,sonae_ymd_d,map_ymd_y,map_ymd_m,map_ymd_d
46201-3400-1.zip,606-19-1,1000,false,-24.244,-81.895,375.756,-81.895,-24.244,418.105,375.756,418.105,その他,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-52,,true,1359.535,955.360,1348.486,1224.842,1033.207,941.872,1022.196,1211.507,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-53,,true,1167.581,1064.102,1008.475,1281.730,903.776,871.468,744.784,1089.058,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-54,,true,1085.703,1108.224,849.406,978.264,1243.247,822.016,1006.684,692.095,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-55,,true,1037.494,920.804,1165.281,683.403,1325.264,1075.491,1452.937,837.975,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-56,,true,1280.285,876.122,1011.069,891.438,1261.844,549.985,992.362,565.454,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-57,,true,1063.955,930.550,809.065,842.539,1170.330,621.673,915.479,533.852,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-58,,true,735.236,831.054,957.360,678.158,920.441,1100.231,1142.602,947.031,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-59,,true,831.005,883.666,637.990,695.299,1059.225,649.922,865.981,461.555,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-60,,true,599.081,524.141,868.791,518.121,606.548,850.697,876.145,844.639,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-61,,true,452.896,680.929,657.189,504.945,666.104,928.504,870.397,752.215,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-62,,true,374.613,536.178,605.766,397.303,543.091,816.099,774.130,677.034,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-63,,true,764.952,508.913,553.725,676.591,561.916,253.033,350.613,420.863,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-64,,true,253.936,450.983,450.380,266.274,477.927,688.842,674.218,504.019,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-65,,true,258.766,435.246,257.623,165.536,585.512,433.913,584.216,164.012,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-66,,true,179.404,347.895,396.727,188.408,372.838,611.129,590.085,451.489,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-67,,true,61.587,150.469,287.444,3.251,239.895,424.218,465.867,276.695,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-68,,true,16.282,401.693,159.004,172.902,293.574,574.401,436.182,345.495,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-69,,true,685.715,362.959,954.054,336.327,717.986,688.144,986.553,661.245,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
46201-3400-10.zip,077-71,,true,838.852,587.289,950.599,341.848,1136.261,722.430,1247.856,476.913,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
