filename,map_no,scale,unknown_direct_flg,leftbottom_x,leftbottom_y,lefttop_x,lefttop_y,rightbottom_x,rightbottom_y,righttop_x,righttop_y,maptype,mapcategory,mapmaterial,sonae_ymd_y,sonae_ymd_m,sonae_ymd_d,map_ymd_y,map_ymd_m,map_ymd_d
02201-4200-1.zip,133-1,1000,false,261.359,25.925,673.411,208.805,41.394,519.511,454.018,703.026,その他,地図に準ずる図面,P-F,,,,1989,3,25
02201-4200-1.zip,133-2,1000,false,42.630,684.222,493.417,703.336,19.135,1224.608,470.684,1243.785,その他,地図に準ずる図面,P-F,,,,1989,3,25
02201-4200-1.zip,132,1000,false,79.966,1569.414,477.794,1569.477,80.537,2068.398,478.111,2067.445,その他,地図に準ずる図面,P-F,,,,,,
02201-4200-1.zip,134,1000,false,150.778,1971.944,548.416,1973.341,149.952,2470.738,546.892,2470.928,その他,地図に準ずる図面,P-F,,,,,,
02201-4200-10.zip,区26-1,600,false,-102.322,-184.371,163.059,-133.539,-163.253,133.541,102.248,184.550,土地区画整理所在図,法第14条1項地図,P-F,1976,9,1,1976,8,11
02201-4200-10.zip,区26-2,600,false,-100.504,69.106,164.685,121.340,-163.101,386.893,102.067,439.239,土地区画整理所在図,法第14条1項地図,P-F,1976,9,1,1976,8,11
02201-4200-10.zip,区26-3,600,false,-280.516,36.019,-15.953,91.339,-346.824,353.013,-82.231,408.378,土地区画整理所在図,法第14条1項地図,P-F,1976,9,1,1976,8,11
02201-4200-100.zip,178-44,600,true,-123.894,-150.273,146.040,-152.131,-121.894,175.708,147.846,173.547,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-46,600,true,-615.638,-331.055,-345.662,-330.560,-616.515,-4.995,-346.728,-4.919,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-47,600,true,73.486,-425.388,88.544,-155.985,-252.126,-407.608,-236.736,-138.415,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-48,600,true,-315.971,-655.999,-45.956,-655.999,-316.276,-329.977,-46.490,-330.282,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-49,600,true,-244.213,-494.207,-241.624,-224.320,-570.187,-491.534,-567.371,-221.878,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-50,600,true,-317.764,-719.047,-320.065,-449.042,-643.772,-722.106,-645.804,-452.326,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-54,600,true,-758.044,-972.505,-495.234,-1034.292,-683.422,-655.101,-420.612,-716.888,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-52,600,true,-298.849,-1032.411,-28.873,-1033.050,-298.492,-706.387,-28.669,-707.292,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-55,600,true,-1132.526,-672.090,-935.561,-856.730,-902.675,-426.895,-705.710,-611.534,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-58,600,true,-1034.898,-995.134,-921.649,-1240.004,-738.985,-858.277,-625.736,-1103.147,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-59,600,true,-1295.806,-1016.537,-1034.890,-1085.912,-1212.049,-701.532,-951.133,-770.907,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-56,600,true,-280.394,-1368.897,-14.930,-1320.377,-339.467,-1048.194,-74.122,-1000.083,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-57,600,true,-487.843,-1451.768,-219.709,-1419.635,-527.014,-1128.108,-259.084,-1096.192,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
02201-4200-100.zip,178-63,600,true,-1076.904,-1425.965,-1169.566,-1172.344,-1383.201,-1537.872,-1475.863,-1284.251,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
