filename,city_name,city_code,map_name,coordinate,version,sokuti_hanbetu,conv_pgm,conv_pgm_version,conv_pgm_param_version,numbers_of_zukaku
30201-1700-1.zip,和歌山市,30201,２００２年１０月調査地籍図井戸,公共座標6系,ver1.0,測量,,,,10
30201-1700-10.zip,和歌山市,30201,芦原地区３（１７条）,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
30201-1700-100.zip,和歌山市,30201,下和佐・吉礼Ｃ,任意座標系,ver1.0,,,,,7
30201-1700-101.zip,和歌山市,30201,加太１,任意座標系,ver1.0,,,,,21
30201-1700-102.zip,和歌山市,30201,加太２,任意座標系,ver1.0,,,,,24
30201-1700-103.zip,和歌山市,30201,加太３,任意座標系,ver1.0,,,,,20
30201-1700-104.zip,和歌山市,30201,加太４,任意座標系,ver1.0,,,,,7
30201-1700-105.zip,和歌山市,30201,加太字大崎９６－２２－２,任意座標系,ver1.0,,,,,3
30201-1700-106.zip,和歌山市,30201,梶取,任意座標系,ver1.0,,,,,11
30201-1700-107.zip,和歌山市,30201,関戸２～４丁目,任意座標系,ver1.0,,,,,3
30201-1700-108.zip,和歌山市,30201,岩橋Ａ,任意座標系,ver1.0,,,,,21
30201-1700-109.zip,和歌山市,30201,岩橋Ｂ,任意座標系,ver1.0,,,,,15
30201-1700-11.zip,和歌山市,30201,芦原地区４（１７条）,公共座標6系,ver1.0,変換,TKY2JGD,1.3.77,2.0.6,2
30201-1700-110.zip,和歌山市,30201,岩橋Ｃ,任意座標系,ver1.0,,,,,5
30201-1700-111.zip,和歌山市,30201,紀三井寺Ａ,任意座標系,ver1.0,,,,,11
30201-1700-112.zip,和歌山市,30201,栗栖,任意座標系,ver1.0,,,,,23
30201-1700-113.zip,和歌山市,30201,紀三井寺Ｂ,任意座標系,ver1.0,,,,,14
30201-1700-114.zip,和歌山市,30201,吉原・広原Ｂ,任意座標系,ver1.0,,,,,9
30201-1700-115.zip,和歌山市,30201,吉原・広原Ｃ,任意座標系,ver1.0,,,,,14
30201-1700-116.zip,和歌山市,30201,吉里・頭陀寺・境原Ａ,任意座標系,ver1.0,,,,,12
