filename,map_no,scale,unknown_direct_flg,leftbottom_x,leftbottom_y,lefttop_x,lefttop_y,rightbottom_x,rightbottom_y,righttop_x,righttop_y,maptype,mapcategory,mapmaterial,sonae_ymd_y,sonae_ymd_m,sonae_ymd_d,map_ymd_y,map_ymd_m,map_ymd_d
30201-1700-1.zip,F10 12-1,500,false,-198875.000,-71400.000,-198750.000,-71400.000,-198875.000,-71225.000,-198750.000,-71225.000,地籍図,法第14条1項地図,P-F,,,,,,
30201-1700-1.zip,F10 12-2,500,false,-198875.000,-71225.000,-198750.000,-71225.000,-198875.000,-71050.000,-198750.000,-71050.000,地籍図,法第14条1項地図,P-F,,,,,,
30201-1700-1.zip,F10 12-3,500,false,-199000.000,-71400.000,-198875.000,-71400.000,-199000.000,-71225.000,-198875.000,-71225.000,地籍図,法第14条1項地図,P-F,,,,,,
30201-1700-1.zip,F10 12-4,500,false,-199000.000,-71225.000,-198875.000,-71225.000,-199000.000,-71050.000,-198875.000,-71050.000,地籍図,法第14条1項地図,P-F,,,,,,
30201-1700-1.zip,F10 13-3,500,false,-199000.000,-71050.000,-198875.000,-71050.000,-199000.000,-70875.000,-198875.000,-70875.000,地籍図,法第14条1項地図,P-F,,,,,,
30201-1700-1.zip,F10 22-1,500,false,-199125.000,-71400.000,-199000.000,-71400.000,-199125.000,-71225.000,-199000.000,-71225.000,地籍図,法第14条1項地図,P-F,,,,,,
30201-1700-1.zip,F10 22-2,500,false,-199125.000,-71225.000,-199000.000,-71225.000,-199125.000,-71050.000,-199000.000,-71050.000,地籍図,法第14条1項地図,P-F,,,,,,
30201-1700-1.zip,F10 22-4,500,false,-199250.000,-71225.000,-199125.000,-71225.000,-199250.000,-71050.000,-199125.000,-71050.000,地籍図,法第14条1項地図,P-F,,,,,,
30201-1700-1.zip,F10 23-1,500,false,-199125.000,-71050.000,-199000.000,-71050.000,-199125.000,-70875.000,-199000.000,-70875.000,地籍図,法第14条1項地図,P-F,,,,,,
30201-1700-1.zip,F10 23-3,500,false,-199250.000,-71050.000,-199125.000,-71050.000,-199250.000,-70875.000,-199125.000,-70875.000,地籍図,法第14条1項地図,P-F,,,,,,
30201-1700-10.zip,137,500,false,-197002.709,-75711.587,-196802.712,-75711.584,-197002.709,-75461.585,-196802.711,-75461.583,土地区画整理所在図,法第14条1項地図,P-F,1989,1,17,1989,1,15
30201-1700-10.zip,140-2,500,false,-197082.708,-75461.586,-196882.710,-75461.583,-197082.708,-75211.585,-196882.710,-75211.582,土地区画整理所在図,法第14条1項地図,P-F,1989,1,17,1989,1,15
30201-1700-100.zip,251-2-2,,false,1801.123,1529.497,2250.807,1520.706,1811.758,2073.523,2261.443,2064.732,土地改良所在図,地図に準ずる図面,P-F,,,,,,
30201-1700-100.zip,158-34-2,,true,2557.686,1279.334,2827.481,1275.311,2562.497,1605.854,2832.481,1601.752,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-100.zip,251-4,,false,1265.540,1553.816,1715.039,1538.198,1284.435,2097.618,1733.934,2082.000,土地改良所在図,地図に準ずる図面,P-F,,,,,,
30201-1700-100.zip,158-37,,true,2545.533,438.095,2557.797,168.511,2871.751,452.925,2883.870,183.183,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-100.zip,158-38,,true,2515.408,980.592,2591.514,721.723,2828.598,1072.793,2904.780,813.668,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-100.zip,251-3,,false,1259.189,313.367,1708.807,301.605,1273.548,857.375,1723.349,845.353,土地改良所在図,地図に準ずる図面,P-F,,,,,,
30201-1700-100.zip,251-2-1,,false,1837.906,382.002,2287.592,373.254,1848.560,926.029,2298.371,917.216,土地改良所在図,地図に準ずる図面,P-F,,,,,,
30201-1700-101.zip,96-8-3,,true,171.248,735.787,441.225,736.028,170.945,1062.418,440.998,1062.545,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-101.zip,96-1-1,,true,2491.653,140.013,2761.553,138.946,2493.062,466.682,2763.039,465.425,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-101.zip,96-1-2,,true,2602.731,225.850,2872.614,222.723,2606.632,552.498,2876.591,549.181,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-101.zip,96-2-1,,true,2543.431,1371.968,2801.083,1291.711,2640.516,1683.718,2898.238,1603.560,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-101.zip,96-2-2,,true,2558.827,1967.518,2817.807,1891.656,2650.595,2280.875,2909.644,2205.112,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-101.zip,96-2-3,,true,2549.754,2521.194,2819.215,2506.469,2567.549,2847.227,2837.054,2832.614,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-101.zip,96-2-4,,true,1957.526,119.341,2226.991,104.686,1975.237,445.378,2244.746,430.835,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-101.zip,96-2-5,,true,1970.502,722.725,2239.967,708.070,1988.213,1048.762,2257.722,1034.219,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
30201-1700-101.zip,96-3-1,,true,1965.432,1380.737,2210.723,1268.225,2101.687,1677.594,2347.035,1564.931,旧土地台帳附属地図,地図に準ずる図面,P-F,,,,,,
