filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
06201-3900-1.zip	山形市	06201	あかねヶ丘・あこや町・あさひ町・旭が丘他	任意座標系	ver1.0					26
06201-3900-10.zip	山形市	06201	黄金	任意座標系	ver1.0					3
06201-3900-100.zip	山形市	06201	山形市大字山家町１	任意座標系	ver1.0					19
06201-3900-101.zip	山形市	06201	山形市大字山家町１０	任意座標系	ver1.0					13
06201-3900-102.zip	山形市	06201	山形市大字山家町１１	任意座標系	ver1.0					10
06201-3900-103.zip	山形市	06201	山形市大字山家町２	任意座標系	ver1.0					21
06201-3900-104.zip	山形市	06201	山形市大字山家町３	任意座標系	ver1.0					7
06201-3900-105.zip	山形市	06201	山形市大字山家町４	任意座標系	ver1.0					3
06201-3900-106.zip	山形市	06201	山形市大字山家町６	任意座標系	ver1.0					5
06201-3900-107.zip	山形市	06201	山形市大字山家町７	任意座標系	ver1.0					15
06201-3900-108.zip	山形市	06201	山形市大字山家町８	任意座標系	ver1.0					7
06201-3900-109.zip	山形市	06201	山形市大字中野１	任意座標系	ver1.0					30
06201-3900-11.zip	山形市	06201	羽黒堂・浜崎・花岡	任意座標系	ver1.0					7
06201-3900-110.zip	山形市	06201	山形市大字山家町９	任意座標系	ver1.0					17
06201-3900-111.zip	山形市	06201	山形市大字上宝沢１	任意座標系	ver1.0					19
06201-3900-112.zip	山形市	06201	山形市大字上宝沢２	任意座標系	ver1.0					29
06201-3900-113.zip	山形市	06201	山形市大字上宝沢３	任意座標系	ver1.0					28
06201-3900-114.zip	山形市	06201	山形市大字上宝沢４	任意座標系	ver1.0					28
06201-3900-115.zip	山形市	06201	山形市大字上宝沢５	任意座標系	ver1.0					16
06201-3900-116.zip	山形市	06201	山形市大字上宝沢６	任意座標系	ver1.0					24
06201-3900-117.zip	山形市	06201	山形市大字上宝沢７	任意座標系	ver1.0					33
06201-3900-118.zip	山形市	06201	山形市大字中野２	任意座標系	ver1.0					16
06201-3900-119.zip	山形市	06201	山形市大字南志戸田	任意座標系	ver1.0					2
06201-3900-12.zip	山形市	06201	栄原（土地改良）	任意座標系	ver1.0					3
06201-3900-120.zip	山形市	06201	山形市大字南松原１丁目１	任意座標系	ver1.0					2
06201-3900-121.zip	山形市	06201	山形市大字南松原２丁目	任意座標系	ver1.0					2
06201-3900-122.zip	山形市	06201	山形市大字本屋敷	任意座標系	ver1.0					0
06201-3900-123.zip	山形市	06201	山形市大字門伝１	任意座標系	ver1.0					14
06201-3900-124.zip	山形市	06201	山形市大字門伝１０	任意座標系	ver1.0					8
06201-3900-125.zip	山形市	06201	山形市大字門伝１１	任意座標系	ver1.0					8
06201-3900-126.zip	山形市	06201	山形市大字門伝１２	任意座標系	ver1.0					9
06201-3900-127.zip	山形市	06201	山形市大字門伝２	任意座標系	ver1.0					16
