filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
09201-0600-1.zip	宇都宮市	09201	さつき１丁目・他	任意座標系	ver1.0					2
09201-0600-10.zip	宇都宮市	09201	芦沼３	任意座標系	ver1.0					25
09201-0600-100.zip	宇都宮市	09201	下小倉８	任意座標系	ver1.0					29
09201-0600-1000.zip	宇都宮市	09201	11947_hosei_20121114115735	公共座標9系	ver1.0	測量				14
09201-0600-1001.zip	宇都宮市	09201	11950_hosei_20121114115931	公共座標9系	ver1.0	測量				13
09201-0600-1002.zip	宇都宮市	09201	11961_hosei_20121114120111	公共座標9系	ver1.0	測量				25
09201-0600-1003.zip	宇都宮市	09201	11964_hosei_20121114120215	公共座標9系	ver1.0	測量				43
09201-0600-1004.zip	宇都宮市	09201	11967_hosei_20121114120319	公共座標9系	ver1.0	測量				33
09201-0600-1005.zip	宇都宮市	09201	11969_hosei_20121114120558	公共座標9系	ver1.0	測量				39
09201-0600-1006.zip	宇都宮市	09201	11970_hosei_20121114120632	公共座標9系	ver1.0	測量				37
09201-0600-1007.zip	宇都宮市	09201	11974_hosei_20121114120705	公共座標9系	ver1.0	測量				21
09201-0600-1008.zip	宇都宮市	09201	11976_hosei_20121114120739	公共座標9系	ver1.0	測量				42
09201-0600-1009.zip	宇都宮市	09201	11980_hosei_20121114120829	公共座標9系	ver1.0	変換	1.3.79	TKY2JGD.par	2.1.1	9
09201-0600-101.zip	宇都宮市	09201	下小倉９	任意座標系	ver1.0					26
09201-0600-1010.zip	宇都宮市	09201	11983_hosei_20121114120933	公共座標9系	ver1.0	変換	1.3.79	TKY2JGD.par	2.1.1	15
09201-0600-1011.zip	宇都宮市	09201	12475_hosei_20121114122114	公共座標9系	ver1.0	測量				1
09201-0600-1012.zip	宇都宮市	09201	12476_hosei_20121114122131	公共座標9系	ver1.0	測量				1
09201-0600-1013.zip	宇都宮市	09201	12477_hosei_20121114122148	公共座標9系	ver1.0	測量				1
09201-0600-1014.zip	宇都宮市	09201	12478_hosei_20121114122205	公共座標9系	ver1.0	測量				1
09201-0600-1015.zip	宇都宮市	09201	12479_hosei_20121114122222	公共座標9系	ver1.0	測量				1
09201-0600-1016.zip	宇都宮市	09201	12480_hosei_20121114122239	公共座標9系	ver1.0	測量				1
09201-0600-1017.zip	宇都宮市	09201	12481_hosei_20121114122256	公共座標9系	ver1.0	測量				1
09201-0600-1018.zip	宇都宮市	09201	12482_hosei_20121114122313	公共座標9系	ver1.0	測量				1
09201-0600-1019.zip	宇都宮市	09201	12483_hosei_20121114122330	公共座標9系	ver1.0	測量				1
09201-0600-102.zip	宇都宮市	09201	下小池町	任意座標系	ver1.0					27
09201-0600-1020.zip	宇都宮市	09201	12484_hosei_20121114122348	公共座標9系	ver1.0	測量				1
09201-0600-1021.zip	宇都宮市	09201	12485_hosei_20121114122405	公共座標9系	ver1.0	測量				1
09201-0600-1022.zip	宇都宮市	09201	12486_hosei_20121114122422	公共座標9系	ver1.0	測量				1
09201-0600-1023.zip	宇都宮市	09201	12487_hosei_20121114122439	公共座標9系	ver1.0	測量				1
09201-0600-1024.zip	宇都宮市	09201	12488_hosei_20121114122456	公共座標9系	ver1.0	測量				1
09201-0600-1025.zip	宇都宮市	09201	12489_hosei_20121114122513	公共座標9系	ver1.0	測量				1
09201-0600-1026.zip	宇都宮市	09201	12491_hosei_20121114122530	公共座標9系	ver1.0	測量				1
09201-0600-1027.zip	宇都宮市	09201	12492_hosei_20121114122547	公共座標9系	ver1.0	測量				1
09201-0600-1028.zip	宇都宮市	09201	12493_hosei_20121114122604	公共座標9系	ver1.0	測量				1
09201-0600-1029.zip	宇都宮市	09201	12495_hosei_20121114122622	公共座標9系	ver1.0	測量				1
