filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
13101-0100-1.zip	千代田区	13101	１番町・２番町・３番町	任意座標系	ver1.0					15
13101-0100-10.zip	千代田区	13101	内幸町他	任意座標系	ver1.0					21
13101-0100-11.zip	千代田区	13101	富士見１丁目	任意座標系	ver1.0					4
13101-0100-12.zip	千代田区	13101	富士見２丁目	任意座標系	ver1.0					5
13101-0100-13.zip	千代田区	13101	有楽町１丁目	任意座標系	ver1.0					3
13101-0100-14.zip	千代田区	13101	有楽町２丁目Ａ	任意座標系	ver1.0					2
13101-0100-15.zip	千代田区	13101	有楽町２丁目Ｂ	任意座標系	ver1.0					1
13101-0100-16.zip	千代田区	13101	六番町	任意座標系	ver1.0					3
13101-0100-17.zip	千代田区	13101	外神田他	任意座標系	ver1.0					21
13101-0100-18.zip	千代田区	13101	岩本町他	任意座標系	ver1.0					20
13101-0100-19.zip	千代田区	13101	神保町他	任意座標系	ver1.0					22
13101-0100-2.zip	千代田区	13101	５番町	任意座標系	ver1.0					3
13101-0100-20.zip	千代田区	13101	内神田他	任意座標系	ver1.0					19
13101-0100-21.zip	千代田区	13101	平河町２丁目	任意座標系	ver1.0					4
13101-0100-22.zip	千代田区	13101	和泉町他	任意座標系	ver1.0					9
13101-0100-23.zip	千代田区	13101	10064_hosei_20121116083511	公共座標9系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	2
13101-0100-24.zip	千代田区	13101	10065_hosei_20121116083528	公共座標9系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	5
13101-0100-25.zip	千代田区	13101	10066_hosei_20121116083545	公共座標9系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	2
13101-0100-26.zip	千代田区	13101	10143_hosei_20121116083602	公共座標9系	ver1.0	測量				5
13101-0100-27.zip	千代田区	13101	10231_hosei_20121116084110	公共座標9系	ver1.0	測量				11
13101-0100-28.zip	千代田区	13101	10288_hosei_20140331163159	公共座標9系	ver1.0	測量				15
13101-0100-29.zip	千代田区	13101	13101_2018_0	公共座標9系	ver1.0	測量				4
