filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
19201-0900-1.zip	甲府市	19201	甲府市羽黒町	任意座標系	ver1.0					12
19201-0900-10.zip	甲府市	19201	青葉町	任意座標系	ver1.0					1
19201-0900-100.zip	甲府市	19201	10132_hosei_20121127084730	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	42
19201-0900-101.zip	甲府市	19201	10134_hosei_20121127084948	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	26
19201-0900-102.zip	甲府市	19201	10135_hosei_20121127085106	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	44
19201-0900-103.zip	甲府市	19201	10138_hosei_20121127085325	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	12
19201-0900-104.zip	甲府市	19201	10141_hosei_20121127085342	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	23
19201-0900-105.zip	甲府市	19201	10143_hosei_20121127085459	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	77
19201-0900-106.zip	甲府市	19201	10144_hosei_20121127085718	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	5
19201-0900-107.zip	甲府市	19201	10158_hosei_20121127090445	公共座標8系	ver1.0	測量				16
19201-0900-108.zip	甲府市	19201	10164_hosei_20121127091128	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	33
19201-0900-109.zip	甲府市	19201	10230_hosei_20121127095001	公共座標8系	ver1.0	測量				22
19201-0900-11.zip	甲府市	19201	甲府市宮前町	任意座標系	ver1.0					2
19201-0900-110.zip	甲府市	19201	10269_hosei_20121127100446	公共座標8系	ver1.0	測量				24
19201-0900-111.zip	甲府市	19201	10315_hosei_20121127102625	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	45
19201-0900-112.zip	甲府市	19201	10329_hosei_20121127104754	公共座標8系	ver1.0	測量				61
19201-0900-113.zip	甲府市	19201	10345_hosei_20121127112516	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	106
19201-0900-114.zip	甲府市	19201	10346_hosei_20121127112937	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	107
19201-0900-115.zip	甲府市	19201	10347_hosei_20121127113324	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	149
19201-0900-116.zip	甲府市	19201	10349_hosei_20121127113839	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	167
19201-0900-117.zip	甲府市	19201	10350_hosei_20121127114411	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	204
19201-0900-118.zip	甲府市	19201	10351_hosei_20121127115151	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	78
19201-0900-119.zip	甲府市	19201	10352_hosei_20121127115552	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	41
19201-0900-12.zip	甲府市	19201	甲府市元紺屋町	任意座標系	ver1.0					3
19201-0900-120.zip	甲府市	19201	10353_hosei_20121127115744	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	94
19201-0900-121.zip	甲府市	19201	10354_hosei_20121127120204	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	64
19201-0900-122.zip	甲府市	19201	10362_hosei_20121127120422	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	107
19201-0900-123.zip	甲府市	19201	10363_hosei_20121127120815	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	52
19201-0900-124.zip	甲府市	19201	10364_hosei_20121127121106	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	38
19201-0900-125.zip	甲府市	19201	10365_hosei_20121127121258	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	40
19201-0900-126.zip	甲府市	19201	10366_hosei_20121127121507	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	42
19201-0900-127.zip	甲府市	19201	10367_hosei_20121127121716	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	37
19201-0900-128.zip	甲府市	19201	10371_hosei_20121127122208	公共座標8系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	26
19201-0900-129.zip	甲府市	19201	10396_hosei_20121127133639	公共座標8系	ver1.0	測量				43
19201-0900-13.zip	甲府市	19201	甲府市古府中町	任意座標系	ver1.0					19
19201-0900-130.zip	甲府市	19201	10450_hosei_20121127143032	公共座標8系	ver1.0	測量				24
19201-0900-131.zip	甲府市	19201	10460_hosei_20121127143049	公共座標8系	ver1.0	測量				24
19201-0900-132.zip	甲府市	19201	10461_hosei_20121127143106	公共座標8系	ver1.0	測量				24
19201-0900-133.zip	甲府市	19201	10464_hosei_20121127143358	公共座標8系	ver1.0	測量				3
19201-0900-134.zip	甲府市	19201	10465_hosei_20121127143516	公共座標8系	ver1.0	測量				71
19201-0900-135.zip	甲府市	19201	10473_hosei_20121127143835	公共座標8系	ver1.0	変換	1.3.77	TKY2JGD.par	2.0.6	11
19201-0900-136.zip	甲府市	19201	10487_hosei_20121127145553	公共座標8系	ver1.0	変換	1.3.77	TKY2JGD.par	2.0.6	103
19201-0900-137.zip	甲府市	19201	10488_hosei_20121127150013	公共座標8系	ver1.0	変換	1.3.77	TKY2JGD.par	2.0.6	133
19201-0900-138.zip	甲府市	19201	10489_hosei_20121127150533	公共座標8系	ver1.0	変換	1.3.77	TKY2JGD.par	2.0.6	90
19201-0900-139.zip	甲府市	19201	10491_hosei_20121127151814	公共座標8系	ver1.0	変換	1.3.77	TKY2JGD.par	2.0.6	148
19201-0900-14.zip	甲府市	19201	甲府市御岳町Ａ	任意座標系	ver1.0					27
19201-0900-140.zip	甲府市	19201	10493_hosei_20121127153659	公共座標8系	ver1.0	変換	1.3.77	TKY2JGD.par	2.0.6	114
19201-0900-141.zip	甲府市	19201	10495_hosei_20121127154438	公共座標8系	ver1.0	変換	1.3.77	TKY2JGD.par	2.0.6	124
19201-0900-142.zip	甲府市	19201	10566_hosei_20121129093221	公共座標8系	ver1.0	変換	1.3.77	TKY2JGD.par	2.0.6	26
19201-0900-143.zip	甲府市	19201	10601_hosei_20121129102359	公共座標8系	ver1.0	測量				13
