filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
21201-2000-1.zip	岐阜市	21201	あ・茜町	任意座標系	ver1.0					2
21201-2000-10.zip	岐阜市	21201	あ・粟野　Ａ	任意座標系	ver1.0					13
21201-2000-100.zip	岐阜市	21201	お・奥字榎木洞・他	任意座標系	ver1.0					10
21201-2000-101.zip	岐阜市	21201	お・奥字石原・他	任意座標系	ver1.0					25
21201-2000-102.zip	岐阜市	21201	お・奥字南畑・他	任意座標系	ver1.0					12
21201-2000-103.zip	岐阜市	21201	お・沖ノ橋町１～３丁目	任意座標系	ver1.0					1
21201-2000-104.zip	岐阜市	21201	お・御浪町	任意座標系	ver1.0					1
21201-2000-105.zip	岐阜市	21201	お・小熊町１丁目・他	任意座標系	ver1.0					2
21201-2000-106.zip	岐阜市	21201	お・織田町１・２丁目	任意座標系	ver1.0					2
21201-2000-107.zip	岐阜市	21201	お・織田塚町１・２丁目	任意座標系	ver1.0					2
21201-2000-108.zip	岐阜市	21201	お・折立字屋敷・他	任意座標系	ver1.0					19
21201-2000-109.zip	岐阜市	21201	お・折立字乙井・他	任意座標系	ver1.0					10
21201-2000-11.zip	岐阜市	21201	あ・粟野　Ｃ	任意座標系	ver1.0					13
21201-2000-110.zip	岐阜市	21201	お・大宮町１・２丁目	任意座標系	ver1.0					1
21201-2000-111.zip	岐阜市	21201	お・大池町	任意座標系	ver1.0					1
21201-2000-112.zip	岐阜市	21201	お・大洞１丁目・他	任意座標系	ver1.0					5
21201-2000-113.zip	岐阜市	21201	お・大洞１～４丁目	任意座標系	ver1.0					15
21201-2000-114.zip	岐阜市	21201	お・大洞桐が丘１～４丁目	任意座標系	ver1.0					2
21201-2000-115.zip	岐阜市	21201	お・大洞紅葉が丘	任意座標系	ver1.0					3
21201-2000-116.zip	岐阜市	21201	お・大洞桜台１～８丁目	任意座標系	ver1.0					4
21201-2000-117.zip	岐阜市	21201	お・大洞西	任意座標系	ver1.0					1
21201-2000-118.zip	岐阜市	21201	お・大洞柏台１～７丁目	任意座標系	ver1.0					3
21201-2000-119.zip	岐阜市	21201	お・大洞緑山１・２丁目	任意座標系	ver1.0					5
21201-2000-12.zip	岐阜市	21201	あ・粟野　Ｄ	任意座標系	ver1.0					14
21201-2000-120.zip	岐阜市	21201	お・大洞緑山１丁目	任意座標系	ver1.0					3
21201-2000-121.zip	岐阜市	21201	お・大富町・大倉町	任意座標系	ver1.0					2
21201-2000-122.zip	岐阜市	21201	お・大脇１・２丁目	任意座標系	ver1.0					2
21201-2000-123.zip	岐阜市	21201	お・雄総柳町１～５丁目	任意座標系	ver1.0					5
21201-2000-124.zip	岐阜市	21201	お・雄総緑町１～６丁目	任意座標系	ver1.0					6
21201-2000-125.zip	岐阜市	21201	か・加納愛宕町	任意座標系	ver1.0					1
21201-2000-126.zip	岐阜市	21201	か・加納安良町	任意座標系	ver1.0					1
21201-2000-127.zip	岐阜市	21201	か・加納栄町１丁目	任意座標系	ver1.0					1
21201-2000-128.zip	岐阜市	21201	か・加納栄町通１～７丁目	任意座標系	ver1.0					3
21201-2000-129.zip	岐阜市	21201	か・加納奥平町１・２丁目	任意座標系	ver1.0					2
21201-2000-13.zip	岐阜市	21201	あ・安食　Ｂ	任意座標系	ver1.0					15
21201-2000-130.zip	岐阜市	21201	か・神楽町	任意座標系	ver1.0					1
21201-2000-131.zip	岐阜市	21201	か・加納黒木町１・２丁目	任意座標系	ver1.0					1
21201-2000-132.zip	岐阜市	21201	か・加納坂井町	任意座標系	ver1.0					1
21201-2000-133.zip	岐阜市	21201	か・加納寿町１～５丁目	任意座標系	ver1.0					2
21201-2000-134.zip	岐阜市	21201	か・加納清野町	任意座標系	ver1.0					1
21201-2000-135.zip	岐阜市	21201	か・加納青藤町１丁目	任意座標系	ver1.0					1
21201-2000-136.zip	岐阜市	21201	か・加納大手町	任意座標系	ver1.0					1
21201-2000-137.zip	岐阜市	21201	か・加納朝日町１丁目	任意座標系	ver1.0					1
21201-2000-138.zip	岐阜市	21201	か・加納梅田町	任意座標系	ver1.0					1
21201-2000-139.zip	岐阜市	21201	か・加納北広江町	任意座標系	ver1.0					1
21201-2000-14.zip	岐阜市	21201	あ・安食字荒毛・三内前・川通・竹田	任意座標系	ver1.0					11
21201-2000-140.zip	岐阜市	21201	か・加野字君ヶ洞・他	任意座標系	ver1.0					21
21201-2000-141.zip	岐阜市	21201	か・加野字北長塚・他	任意座標系	ver1.0					23
21201-2000-142.zip	岐阜市	21201	か・水主町１・２丁目	任意座標系	ver1.0					2
21201-2000-143.zip	岐阜市	21201	コモンヒルズ北山地区	任意座標系	ver1.0					10
21201-2000-144.zip	岐阜市	21201	一日市場・曽我屋・寺田・河渡の一部	任意座標系	ver1.0					14
21201-2000-145.zip	岐阜市	21201	下西郷	任意座標系	ver1.0					32
21201-2000-146.zip	岐阜市	21201	下土居	任意座標系	ver1.0					13
21201-2000-147.zip	岐阜市	21201	下奈良・薮田・須賀地区	任意座標系	ver1.0					24
21201-2000-148.zip	岐阜市	21201	下奈良・薮田・須賀地区１	任意座標系	ver1.0					10
21201-2000-149.zip	岐阜市	21201	下奈良・薮田・須賀地区２	任意座標系	ver1.0					9
21201-2000-15.zip	岐阜市	21201	あ・安食字三内前・竜巣前	任意座標系	ver1.0					1
21201-2000-150.zip	岐阜市	21201	下奈良・薮田・須賀地区３	任意座標系	ver1.0					5
21201-2000-151.zip	岐阜市	21201	加和屋町裏	任意座標系	ver1.0					1
21201-2000-152.zip	岐阜市	21201	加納・茜部地区２	任意座標系	ver1.0					2
21201-2000-153.zip	岐阜市	21201	加納新本町・加納伏見町・他	任意座標系	ver1.0					9
21201-2000-154.zip	岐阜市	21201	加納清水町・加納新町・加納新柳町・他	任意座標系	ver1.0					17
21201-2000-155.zip	岐阜市	21201	華陽・厚見地区Ａ	任意座標系	ver1.0					5
21201-2000-156.zip	岐阜市	21201	華陽・厚見地区Ｃ	任意座標系	ver1.0					22
21201-2000-157.zip	岐阜市	21201	華陽１６Ａ０１	任意座標系	ver1.0					1
21201-2000-158.zip	岐阜市	21201	外山	任意座標系	ver1.0					24
21201-2000-159.zip	岐阜市	21201	萱場町	任意座標系	ver1.0					0
21201-2000-16.zip	岐阜市	21201	あ・安食字川通	任意座標系	ver1.0					3
21201-2000-160.zip	岐阜市	21201	岩田坂１～４丁目	任意座標系	ver1.0					16
21201-2000-161.zip	岐阜市	21201	祇園	任意座標系	ver1.0					4
21201-2000-162.zip	岐阜市	21201	菊水町	任意座標系	ver1.0					2
21201-2000-163.zip	岐阜市	21201	旧高富地区２－Ａ	任意座標系	ver1.0					26
21201-2000-164.zip	岐阜市	21201	吉野町・城東通・領下・高砂地区Ｂ	任意座標系	ver1.0					26
21201-2000-165.zip	岐阜市	21201	旧高富地区２－Ｂ	任意座標系	ver1.0					25
21201-2000-166.zip	岐阜市	21201	旧高富地区３	任意座標系	ver1.0					19
21201-2000-167.zip	岐阜市	21201	旧高富地区４－Ａ	任意座標系	ver1.0					25
21201-2000-168.zip	岐阜市	21201	旧高富地区４－Ｂ	任意座標系	ver1.0					4
21201-2000-169.zip	岐阜市	21201	旧高富地区５－Ｃ	任意座標系	ver1.0					14
21201-2000-17.zip	岐阜市	21201	あ・安宅町	任意座標系	ver1.0					1
21201-2000-170.zip	岐阜市	21201	旧高富地区６－Ａ	任意座標系	ver1.0					25
