filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
26101-1300-1.zip	京都市北区	26101	雲ケ畑Ａ	任意座標系	ver1.0					34
26101-1300-10.zip	京都市北区	26101	上賀茂Ｇ	任意座標系	ver1.0					1
26101-1300-11.zip	京都市北区	26101	真弓	任意座標系	ver1.0					22
26101-1300-12.zip	京都市北区	26101	杉阪	任意座標系	ver1.0					18
26101-1300-13.zip	京都市北区	26101	西賀茂Ｂ	任意座標系	ver1.0					20
26101-1300-14.zip	京都市北区	26101	西賀茂Ｃ	任意座標系	ver1.0					25
26101-1300-15.zip	京都市北区	26101	西賀茂Ｅ	任意座標系	ver1.0					9
26101-1300-16.zip	京都市北区	26101	大宮Ａ	任意座標系	ver1.0					34
26101-1300-17.zip	京都市北区	26101	大宮Ｂ	任意座標系	ver1.0					22
26101-1300-18.zip	京都市北区	26101	大宮Ｃ	任意座標系	ver1.0					5
26101-1300-19.zip	京都市北区	26101	大森Ａ	任意座標系	ver1.0					12
26101-1300-2.zip	京都市北区	26101	雲ケ畑Ｂ	任意座標系	ver1.0					31
26101-1300-20.zip	京都市北区	26101	大森Ｂ	任意座標系	ver1.0					29
26101-1300-21.zip	京都市北区	26101	大森Ｃ	任意座標系	ver1.0					30
26101-1300-22.zip	京都市北区	26101	大森Ｄ	任意座標系	ver1.0					13
26101-1300-23.zip	京都市北区	26101	鷹峯Ａ	任意座標系	ver1.0					46
26101-1300-24.zip	京都市北区	26101	鷹峯Ｂ	任意座標系	ver1.0					25
26101-1300-25.zip	京都市北区	26101	中川	任意座標系	ver1.0					21
26101-1300-26.zip	京都市北区	26101	衣笠・金閣寺町	任意座標系	ver1.0					49
26101-1300-27.zip	京都市北区	26101	紫竹Ａ	任意座標系	ver1.0					19
26101-1300-28.zip	京都市北区	26101	紫竹Ｂ	任意座標系	ver1.0					26
26101-1300-29.zip	京都市北区	26101	紫野Ａ	任意座標系	ver1.0					25
26101-1300-3.zip	京都市北区	26101	雲ケ畑Ｃ	任意座標系	ver1.0					19
26101-1300-30.zip	京都市北区	26101	紫野Ｂ	任意座標系	ver1.0					25
26101-1300-31.zip	京都市北区	26101	紫野Ｃ	任意座標系	ver1.0					25
26101-1300-32.zip	京都市北区	26101	小山	任意座標系	ver1.0					35
26101-1300-33.zip	京都市北区	26101	小松原・等持院	任意座標系	ver1.0					16
26101-1300-34.zip	京都市北区	26101	上賀茂Ｂ	任意座標系	ver1.0					23
26101-1300-35.zip	京都市北区	26101	上賀茂Ｅ	任意座標系	ver1.0					20
26101-1300-36.zip	京都市北区	26101	上賀茂Ｆ	任意座標系	ver1.0					30
26101-1300-37.zip	京都市北区	26101	上京区１０年度－Ａ	任意座標系	ver1.0					23
26101-1300-38.zip	京都市北区	26101	西賀茂Ａ	任意座標系	ver1.0					37
26101-1300-39.zip	京都市北区	26101	西賀茂Ｄ	任意座標系	ver1.0					23
26101-1300-4.zip	京都市北区	26101	字なしＤ	任意座標系	ver1.0					10
26101-1300-40.zip	京都市北区	26101	静市Ｃ	任意座標系	ver1.0					28
26101-1300-41.zip	京都市北区	26101	大将軍・北野	任意座標系	ver1.0					16
26101-1300-42.zip	京都市北区	26101	大北山	任意座標系	ver1.0					57
26101-1300-43.zip	京都市北区	26101	平野	任意座標系	ver1.0					18
26101-1300-44.zip	京都市北区	26101	北区紫野東舟岡町・東野町他	公共座標6系	ver1.0	測量				19
26101-1300-45.zip	京都市北区	26101	京都市北区西賀茂第三地区	公共座標6系	ver1.0	測量				14
26101-1300-46.zip	京都市北区	26101	京都市北区西賀茂第三地区	公共座標6系	ver1.0	測量				14
26101-1300-47.zip	京都市北区	26101	京都市北区西賀茂第三地区	公共座標6系	ver1.0	測量				14
