filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
31201-2700-1.zip	鳥取市	31201	安蔵Ａ	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	27
31201-2700-10.zip	鳥取市	31201	雨瀧字鎌渕・町頭・ジヤ山・佛谷・他	任意座標系	ver1.0					6
31201-2700-100.zip	鳥取市	31201	河原町大字山手Ｃ	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	4
31201-2700-1000.zip	鳥取市	31201	八重原（数値）１２Ａ	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	4
31201-2700-1001.zip	鳥取市	31201	八重原１１Ａ	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	8
31201-2700-1002.zip	鳥取市	31201	八重原１４Ｃ０１	公共座標5系	ver1.0	変換	TKY2JGD	1.3.79	2.1.1	13
31201-2700-1003.zip	鳥取市	31201	八重原１４Ｃ０２	公共座標5系	ver1.0	変換	TKY2JGD	1.3.79	2.1.1	20
31201-2700-1004.zip	鳥取市	31201	八束水、宝木、高江、常松、八幡、下原、他	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	128
31201-2700-1005.zip	鳥取市	31201	八束水１４Ｃ０１	任意座標系	ver1.0					53
31201-2700-1006.zip	鳥取市	31201	八束水１４Ｃ０２	任意座標系	ver1.0					12
31201-2700-1007.zip	鳥取市	31201	八束水１４Ｃ０３	任意座標系	ver1.0					72
31201-2700-1008.zip	鳥取市	31201	八束水１４Ｃ０４	任意座標系	ver1.0					1
31201-2700-1009.zip	鳥取市	31201	八束水１４Ｃ０５	任意座標系	ver1.0					1
31201-2700-101.zip	鳥取市	31201	河原町大字山手Ｄ	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	2
31201-2700-1010.zip	鳥取市	31201	八束水１４Ｃ０６	任意座標系	ver1.0					1
31201-2700-1011.zip	鳥取市	31201	八束水１４Ｃ０７	任意座標系	ver1.0					1
31201-2700-1012.zip	鳥取市	31201	尾崎Ａ	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	24
31201-2700-1013.zip	鳥取市	31201	尾崎Ｂ	任意座標系	ver1.0					4
31201-2700-1014.zip	鳥取市	31201	尾崎Ｃ	任意座標系	ver1.0					16
31201-2700-1015.zip	鳥取市	31201	尾崎Ｄ	任意座標系	ver1.0					4
31201-2700-1016.zip	鳥取市	31201	美萩野１２Ｂ	任意座標系	ver1.0					10
31201-2700-1017.zip	鳥取市	31201	美萩野１２Ｃ	任意座標系	ver1.0					2
31201-2700-1018.zip	鳥取市	31201	美和１２Ａ	任意座標系	ver1.0					11
31201-2700-1019.zip	鳥取市	31201	美和１２Ｂ	任意座標系	ver1.0					15
31201-2700-102.zip	鳥取市	31201	河原町大字小河内Ａ	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	22
31201-2700-1020.zip	鳥取市	31201	百谷１２Ａ	任意座標系	ver1.0					1
31201-2700-1021.zip	鳥取市	31201	百谷１２Ｂ	任意座標系	ver1.0					31
31201-2700-1022.zip	鳥取市	31201	百谷１２Ｃ	任意座標系	ver1.0					89
31201-2700-1023.zip	鳥取市	31201	浜坂１３Ａ	任意座標系	ver1.0					5
31201-2700-1024.zip	鳥取市	31201	浜坂１３ＡＡ	任意座標系	ver1.0					1
31201-2700-1025.zip	鳥取市	31201	浜坂１３Ｃ	任意座標系	ver1.0					2
31201-2700-1026.zip	鳥取市	31201	浜坂１３Ｄ	任意座標系	ver1.0					4
31201-2700-1027.zip	鳥取市	31201	浜坂１３Ｅ	任意座標系	ver1.0					2
31201-2700-1028.zip	鳥取市	31201	浜坂１３Ｆ	任意座標系	ver1.0					2
31201-2700-1029.zip	鳥取市	31201	浜坂１３Ｇ	任意座標系	ver1.0					3
31201-2700-103.zip	鳥取市	31201	河原町大字小河内Ｂ	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	4
31201-2700-1030.zip	鳥取市	31201	浜坂１３Ｈ	任意座標系	ver1.0					2
31201-2700-1031.zip	鳥取市	31201	浜坂１３Ｉ	任意座標系	ver1.0					1
31201-2700-1032.zip	鳥取市	31201	浜坂１３Ｊ	任意座標系	ver1.0					1
31201-2700-1033.zip	鳥取市	31201	浜坂１３Ｋ	任意座標系	ver1.0					1
31201-2700-1034.zip	鳥取市	31201	浜坂１３Ｌ	任意座標系	ver1.0					1
31201-2700-1035.zip	鳥取市	31201	富安Ａ	任意座標系	ver1.0					11
31201-2700-1036.zip	鳥取市	31201	浜坂１３Ｍ	任意座標系	ver1.0					2
31201-2700-1037.zip	鳥取市	31201	浜坂１３Ｎ	任意座標系	ver1.0					63
31201-2700-1038.zip	鳥取市	31201	浜坂１３Ｏ	任意座標系	ver1.0					8
31201-2700-1039.zip	鳥取市	31201	浜坂１３Ｐ	任意座標系	ver1.0					6
31201-2700-104.zip	鳥取市	31201	河原町大字小畑	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	12
31201-2700-1040.zip	鳥取市	31201	浜坂１３Ｑ	任意座標系	ver1.0					5
31201-2700-1041.zip	鳥取市	31201	浜坂１３Ｒ	任意座標系	ver1.0					14
31201-2700-1042.zip	鳥取市	31201	浜坂１３Ｓ	任意座標系	ver1.0					5
31201-2700-1043.zip	鳥取市	31201	浜坂１３Ｔ	任意座標系	ver1.0					7
31201-2700-1044.zip	鳥取市	31201	浜坂１３Ｕ	任意座標系	ver1.0					2
31201-2700-1045.zip	鳥取市	31201	浜坂１３Ｖ	任意座標系	ver1.0					3
31201-2700-1046.zip	鳥取市	31201	浜坂１３Ｗ	任意座標系	ver1.0					4
31201-2700-1047.zip	鳥取市	31201	浜坂１３Ｙ	任意座標系	ver1.0					12
31201-2700-1048.zip	鳥取市	31201	浜坂１３Ｚ	任意座標系	ver1.0					10
31201-2700-1049.zip	鳥取市	31201	浜坂東１３Ａ	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	7
31201-2700-105.zip	鳥取市	31201	河原町大字水根Ａ	公共座標5系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	18
31201-2700-1050.zip	鳥取市	31201	浜坂東１３Ｂ	任意座標系	ver1.0					7
31201-2700-1051.zip	鳥取市	31201	布勢１１Ａ	任意座標系	ver1.0					1
31201-2700-1052.zip	鳥取市	31201	布勢１１Ｂ	任意座標系	ver1.0					26
