filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
35201-2504-1.zip	下関市	35201	あるかぽーと１４Ａ０１	任意座標系	ver1.0					4
35201-2504-10.zip	下関市	35201	阿内Ａ	公共座標3系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	35
35201-2504-100.zip	下関市	35201	観音崎町１４Ａ０１	任意座標系	ver1.0					5
35201-2504-1000.zip	下関市	35201	東向山町１４Ｃ０２	公共座標3系	ver1.0	測量				1
35201-2504-1001.zip	下関市	35201	南部町１４Ａ０２	公共座標3系	ver1.0	測量				1
35201-2504-1002.zip	下関市	35201	稗田西町１３Ｃ０１	公共座標3系	ver1.0	測量				6
35201-2504-1003.zip	下関市	35201	稗田北町１３Ｃ０１	公共座標3系	ver1.0	測量				4
35201-2504-1004.zip	下関市	35201	伊倉町１３Ｃ０２	公共座標3系	ver1.0	測量				3
35201-2504-1005.zip	下関市	35201	彦島西山町１３Ａ	公共座標3系	ver1.0	測量				8
35201-2504-1006.zip	下関市	35201	彦島西山町１３Ｃ	公共座標3系	ver1.0	測量				2
35201-2504-1007.zip	下関市	35201	彦島迫町１３Ｅ	公共座標3系	ver1.0	測量				1
35201-2504-1008.zip	下関市	35201	彦島本村町１３Ａ	公共座標3系	ver1.0	測量				1
35201-2504-1009.zip	下関市	35201	武久町１４Ｃ０１	公共座標3系	ver1.0	測量				3
35201-2504-101.zip	下関市	35201	観音崎町１４Ａ０２	任意座標系	ver1.0					1
35201-2504-1010.zip	下関市	35201	羽山町１４Ｃ０３	公共座標3系	ver1.0	測量				1
35201-2504-1011.zip	下関市	35201	武久町１４Ｃ０２	公共座標3系	ver1.0	測量				7
35201-2504-1012.zip	下関市	35201	武久町１４Ｃ０５	公共座標3系	ver1.0	測量				1
35201-2504-1013.zip	下関市	35201	綾羅木南町１３Ｃ０３	公共座標3系	ver1.0	測量				1
35201-2504-1014.zip	下関市	35201	一の宮町１３Ｃ０２	公共座標3系	ver1.0	測量				2
