filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
38201-5000-1.zip	松山市	38201	402-1	任意座標系	ver1.0					0
38201-5000-10.zip	松山市	38201	安城寺町１２Ａ１	任意座標系	ver1.0					1
38201-5000-100.zip	松山市	38201	玉谷町１２Ａ	任意座標系	ver1.0					4
38201-5000-101.zip	松山市	38201	玉谷町１２Ｂ	任意座標系	ver1.0					4
38201-5000-102.zip	松山市	38201	玉谷町１２Ｃ	任意座標系	ver1.0					3
38201-5000-103.zip	松山市	38201	玉谷町１２Ｄ	任意座標系	ver1.0					5
38201-5000-104.zip	松山市	38201	九川Ａ	公共座標4系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	18
38201-5000-105.zip	松山市	38201	九川Ｂ	公共座標4系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	114
38201-5000-106.zip	松山市	38201	空港通１１Ａ	任意座標系	ver1.0					8
38201-5000-107.zip	松山市	38201	桑原１１Ａ	任意座標系	ver1.0					4
38201-5000-108.zip	松山市	38201	桑原１１Ｂ	任意座標系	ver1.0					16
38201-5000-109.zip	松山市	38201	桑原１１Ｃ	任意座標系	ver1.0					15
38201-5000-11.zip	松山市	38201	安城寺町１２Ａ２	任意座標系	ver1.0					1
38201-5000-110.zip	松山市	38201	桑原町	任意座標系	ver1.0					4
38201-5000-111.zip	松山市	38201	桑原１１Ｄ	任意座標系	ver1.0					16
38201-5000-112.zip	松山市	38201	桑原町３丁目１２Ａ	任意座標系	ver1.0					1
38201-5000-113.zip	松山市	38201	古三津１１Ａ	任意座標系	ver1.0					1
38201-5000-114.zip	松山市	38201	古三津１１Ｂ	任意座標系	ver1.0					4
38201-5000-115.zip	松山市	38201	古三津１丁目１２Ａ	任意座標系	ver1.0					2
38201-5000-116.zip	松山市	38201	古川西（数値）１８Ａ０１	公共座標4系	ver1.0	測量				100
38201-5000-117.zip	松山市	38201	古川西１１Ｂ	任意座標系	ver1.0					3
38201-5000-118.zip	松山市	38201	古川西１１Ｃ	任意座標系	ver1.0					0
38201-5000-119.zip	松山市	38201	古川北１１Ａ	任意座標系	ver1.0					0
38201-5000-12.zip	松山市	38201	安城寺町１２Ｂ	任意座標系	ver1.0					1
38201-5000-120.zip	松山市	38201	光洋台	公共座標4系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	17
38201-5000-121.zip	松山市	38201	溝辺町１１Ａ	任意座標系	ver1.0					10
38201-5000-122.zip	松山市	38201	溝辺町１１Ｂ	任意座標系	ver1.0					19
38201-5000-123.zip	松山市	38201	溝辺町１２Ａ	任意座標系	ver1.0					3
38201-5000-124.zip	松山市	38201	溝辺町１２Ｂ	任意座標系	ver1.0					2
38201-5000-125.zip	松山市	38201	溝辺町１２Ｃ	任意座標系	ver1.0					6
38201-5000-126.zip	松山市	38201	高山Ａ	公共座標4系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	21
38201-5000-127.zip	松山市	38201	溝辺町１２Ｄ	任意座標系	ver1.0					5
38201-5000-128.zip	松山市	38201	高井町１１Ａ	任意座標系	ver1.0					35
38201-5000-129.zip	松山市	38201	高井町１１Ｂ	任意座標系	ver1.0					1
38201-5000-13.zip	松山市	38201	衣山１１Ａ	任意座標系	ver1.0					51
38201-5000-130.zip	松山市	38201	高井町１１Ｃ	任意座標系	ver1.0					1
38201-5000-131.zip	松山市	38201	高山Ｂ	公共座標4系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	27
