filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
39201-4900-1.zip	高知市	39201	あぞうの170128	公共座標4系	ver1.0	測量				1
39201-4900-10.zip	高知市	39201	愛宕町１～３丁目	任意座標系	ver1.0					4
39201-4900-100.zip	高知市	39201	弘岡下１１Ｃ	任意座標系	ver1.0					80
39201-4900-101.zip	高知市	39201	弘岡下１１Ｄ	任意座標系	ver1.0					45
39201-4900-102.zip	高知市	39201	弘瀬Ａ	公共座標4系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	115
39201-4900-103.zip	高知市	39201	弘岡下１１Ｅ	任意座標系	ver1.0					48
39201-4900-104.zip	高知市	39201	弘岡下１１Ｆ	任意座標系	ver1.0					19
39201-4900-105.zip	高知市	39201	弘岡下１２Ａ	任意座標系	ver1.0					2
39201-4900-106.zip	高知市	39201	弘岡下１２Ｂ	任意座標系	ver1.0					2
39201-4900-107.zip	高知市	39201	弘岡下１２Ｃ	任意座標系	ver1.0					3
39201-4900-108.zip	高知市	39201	弘岡上１１Ｃ	任意座標系	ver1.0					64
39201-4900-109.zip	高知市	39201	弘岡上１１Ｄ	任意座標系	ver1.0					53
39201-4900-11.zip	高知市	39201	旭駅前町　他	任意座標系	ver1.0					8
39201-4900-110.zip	高知市	39201	弘岡上１１Ｅ	任意座標系	ver1.0					21
39201-4900-111.zip	高知市	39201	弘岡上１１Ｆ	任意座標系	ver1.0					3
39201-4900-112.zip	高知市	39201	弘岡上１２Ａ	任意座標系	ver1.0					1
39201-4900-113.zip	高知市	39201	弘岡中１１Ｃ	任意座標系	ver1.0					39
39201-4900-114.zip	高知市	39201	弘岡中１１Ｄ	任意座標系	ver1.0					1
39201-4900-115.zip	高知市	39201	弘岡中１２Ａ	任意座標系	ver1.0					4
39201-4900-116.zip	高知市	39201	弘瀬Ｂ	公共座標4系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	155
39201-4900-117.zip	高知市	39201	江陽町	任意座標系	ver1.0					6
39201-4900-118.zip	高知市	39201	甲殿１２Ａ	任意座標系	ver1.0					45
39201-4900-119.zip	高知市	39201	甲殿１２Ｂ	任意座標系	ver1.0					47
39201-4900-12.zip	高知市	39201	伊勢崎町	任意座標系	ver1.0					10
39201-4900-120.zip	高知市	39201	行川Ａ	任意座標系	ver1.0					13
39201-4900-121.zip	高知市	39201	甲殿１２Ｃ	任意座標系	ver1.0					20
