filename	city_name	city_code	map_name	coordinate	version	sokuti_hanbetu	conv_pgm	conv_pgm_version	conv_pgm_param_version	numbers_of_zukaku
47201-3600-1.zip	那覇市	47201	安里他	公共座標15系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	31
47201-3600-10.zip	那覇市	47201	宮城１丁目・具志１丁目～３丁目	公共座標15系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	11
47201-3600-100.zip	那覇市	47201	真嘉比（数値）２６Ｒ０１	公共座標15系	ver1.0	測量				29
47201-3600-101.zip	那覇市	47201	山下町（数値）２６Ｒ０１	公共座標15系	ver1.0	測量				18
47201-3600-102.zip	那覇市	47201	首里金城町（数値）２６Ｒ０１	公共座標15系	ver1.0	測量				14
47201-3600-103.zip	那覇市	47201	松尾（数値）２７Ｒ０１	公共座標15系	ver1.0	測量				16
47201-3600-104.zip	那覇市	47201	首里崎山町（数値）２７Ｓ０１	公共座標15系	ver1.0	測量				21
47201-3600-105.zip	那覇市	47201	首里赤田町（数値）２７Ｓ０１	公共座標15系	ver1.0	測量				16
47201-3600-106.zip	那覇市	47201	港町（数値）２７Ｔ０２	公共座標15系	ver1.0	測量				3
47201-3600-107.zip	那覇市	47201	港町（数値）２７Ｔ０１	公共座標15系	ver1.0	測量				8
47201-3600-108.zip	那覇市	47201	樋川（数値）２８Ｒ０１	公共座標15系	ver1.0	測量				5
47201-3600-109.zip	那覇市	47201	地区	公共座標15系	ver1.0	測量				17
47201-3600-11.zip	那覇市	47201	鏡原町	公共座標15系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	9
47201-3600-110.zip	那覇市	47201	00000_2017_0	公共座標15系	ver1.0	測量				21
47201-3600-111.zip	那覇市	47201	那覇市字鏡水崎原	公共座標15系	ver1.0	変換	TKY2JGD	1.3.79	2.1.1	18
47201-3600-112.zip	那覇市	47201	那覇市寄宮２丁目地区	公共座標15系	ver1.0	変換	TKY2JGD	1.3.79	2.1.1	1
47201-3600-113.zip	那覇市	47201	那覇市泉崎一丁目、久茂地一丁目の一部地区	公共座標15系	ver1.0	測量				20
47201-3600-114.zip	那覇市	47201	那覇市前島一丁目、前島二丁目、牧志二丁目の一部	公共座標15系	ver1.0	測量				19
47201-3600-115.zip	那覇市	47201	那覇市泊一丁目、泊二丁目	公共座標15系	ver1.0	測量				24
47201-3600-116.zip	那覇市	47201	那覇市首里金城町四丁目、繁多川四丁目地区	公共座標15系	ver1.0	変換	TKY2JGD	1.3.79	2.1.1	10
47201-3600-117.zip	那覇市	47201	那覇市首里金城町四丁目、繁多川四丁目地区	公共座標15系	ver1.0	変換	TKY2JGD	1.3.79	2.1.1	10
47201-3600-118.zip	那覇市	47201	那覇市首里金城町四丁目、繁多川四丁目地区	公共座標15系	ver1.0	変換	TKY2JGD	1.3.79	2.1.1	14
47201-3600-119.zip	那覇市	47201	那覇市泊三丁目、前島三丁目	公共座標15系	ver1.0	測量				30
47201-3600-12.zip	那覇市	47201	具志	公共座標15系	ver1.0	変換	TKY2JGD	1.3.77	2.0.6	4
47201-3600-120.zip	那覇市	47201	47201_2020_1	公共座標15系	ver1.0	測量				69
47201-3600-121.zip	那覇市	47201	那覇市字具志1339他（空港・公有水面埋立）	公共座標15系	ver1.0	測量				8
